|            chances | eromapper_idx |        ra |       dec | best_z | best_zerr | best_z_type | lambda | lambda_e | dist (arcmin) | dist (Mpc) | dist (r200) |
|         Abell 0521 |       2451801 |  73.04234 | -10.37214 | 0.2169 |    0.0080 |     photo_z |    4.4 |      1.1 |         30.33 |       7.29 |        4.50 |
|         Abell 0521 |        530360 |  73.92349 | -10.59389 | 0.2494 |    0.0098 |     photo_z |    4.0 |      1.3 |         31.16 |       7.49 |        4.62 |
|         Abell 1300 |           394 | 172.98042 | -19.89264 | 0.3000 |    0.0056 |     photo_z |   34.2 |      4.8 |          2.13 |       0.60 |        0.29 |
|         Abell 1300 |          1549 | 173.05064 | -19.94837 | 0.3039 |    0.0059 |     photo_z |   69.0 |      5.8 |          4.33 |       1.21 |        0.59 |
|         Abell 1300 |       2175095 | 173.09833 | -20.00233 | 0.2908 |    0.0082 |     photo_z |   23.6 |      2.7 |          8.16 |       2.28 |        1.12 |
|         Abell 1300 |       3275868 | 172.85545 | -19.78213 | 0.3114 |    0.0167 |     photo_z |    3.9 |      1.0 |         11.12 |       3.11 |        1.53 |
|         Abell 1300 |        200198 | 172.68852 | -20.02889 | 0.3314 |    0.0131 |     photo_z |    9.3 |      1.6 |         17.36 |       4.86 |        2.38 |
|         Abell 1300 |        101900 | 172.92659 | -19.62008 | 0.3444 |    0.0126 |     photo_z |   13.0 |      1.9 |         18.69 |       5.23 |        2.56 |
|         Abell 1300 |       1552711 | 173.25968 | -19.75948 | 0.3332 |    0.0215 |     photo_z |    4.2 |      1.3 |         18.88 |       5.28 |        2.59 |
|         Abell 1300 |        951130 | 173.31260 | -19.69645 | 0.3173 |    0.0183 |     photo_z |    3.0 |      1.0 |         23.49 |       6.57 |        3.22 |
|         Abell 1300 |        625369 | 172.66711 | -20.21001 | 0.3428 |    0.0202 |     photo_z |    4.0 |      1.1 |         24.32 |       6.81 |        3.34 |
|         Abell 1300 |        827199 | 172.88967 | -19.52744 | 0.3286 |    0.0148 |     photo_z |    5.9 |      1.6 |         24.54 |       6.87 |        3.37 |
|         Abell 1300 |        515369 | 172.77171 | -19.53511 | 0.2934 |    0.0108 |     photo_z |   14.0 |      1.8 |         26.27 |       7.35 |        3.60 |
|         Abell 1300 |       3022688 | 173.21917 | -19.54702 | 0.3403 |    0.0197 |     photo_z |    6.8 |      1.6 |         26.64 |       7.45 |        3.65 |
|         Abell 1300 |        471711 | 173.31766 | -20.23693 | 0.3161 |    0.0100 |     photo_z |   13.9 |      2.1 |         26.68 |       7.47 |        3.66 |
|         Abell 1300 |       1389411 | 173.05849 | -19.47340 | 0.3187 |    0.0112 |     photo_z |   13.0 |      1.8 |         27.66 |       7.74 |        3.79 |
|         Abell 1300 |       3146485 | 173.51902 | -19.76076 | 0.2784 |    0.0171 |     photo_z |    4.9 |      1.2 |         32.19 |       9.01 |        4.42 |
|         Abell 1300 |       3258627 | 172.64240 | -20.36523 | 0.2926 |    0.0176 |     photo_z |    3.9 |      1.2 |         32.31 |       9.04 |        4.43 |
|         Abell 1300 |        173201 | 173.46180 | -20.25384 | 0.3035 |    0.0081 |     photo_z |   32.5 |      3.9 |         33.59 |       9.40 |        4.61 |
|         Abell 1300 |       3446504 | 173.57395 | -20.03620 | 0.3290 |    0.0096 |     photo_z |   17.3 |      2.2 |         34.28 |       9.59 |        4.70 |
|         Abell 1300 |       1882912 | 173.40476 | -19.51879 | 0.3358 |    0.0175 |     photo_z |    7.5 |      1.3 |         34.44 |       9.64 |        4.72 |
|         Abell 1300 |        832215 | 173.57886 | -19.83067 | 0.2803 |    0.0184 |     photo_z |    3.8 |      1.3 |         34.45 |       9.64 |        4.73 |
