|       chances | eromapper_idx |        ra |       dec | best_z | best_zerr | best_z_type | lambda | lambda_e | dist (arcmin) | dist (Mpc) | dist (r200) | vpec (km/s) | is_main |     m200 | r200 |  d200 |
|    Abell 3526 |        365434 | 187.68729 | -39.60504 | 0.0118 |    0.0004 |   cg_spec_z |    4.0 |      1.4 |        229.89 |       3.21 |        2.34 |         243 |       0 | 1.43e+13 | 0.51 | 33.95 |
|    Abell 3526 |       2998454 | 200.44477 | -41.73535 | 0.0388 |    0.0004 |   cg_spec_z |    5.5 |      1.5 |        371.15 |       5.17 |        3.78 |        8229 |       0 | 2.18e+13 | 0.58 | 12.22 |
|    Abell 3526 |       1644683 | 201.87364 | -41.16216 | 0.0368 |    0.0002 |   cg_spec_z |    6.8 |      4.1 |        436.38 |       6.08 |        4.44 |        7642 |       0 | 2.92e+13 | 0.64 | 14.17 |
|    Abell 3565 |       3497096 | 204.29283 | -31.89219 | 0.0430 |    0.0029 | spec_z_boot |   11.6 |      3.3 |        140.64 |       2.33 |        1.94 |        8871 |       0 | 5.96e+13 | 0.81 | 15.46 |
|    Abell 3565 |        360030 | 197.99602 | -33.63114 | 0.0349 |    0.0002 | spec_z_boot |    4.7 |      1.6 |        301.92 |       4.99 |        4.16 |        6487 |       0 | 1.80e+13 | 0.55 | 12.67 |
|    Abell 3571 |       1532706 | 205.49423 | -34.05527 | 0.0509 |    0.0011 | spec_z_boot |    4.7 |      1.6 |         99.83 |       4.79 |        2.41 |        3422 |       0 | 1.78e+13 | 0.54 |  8.80 |
|    Abell 3571 |       1012418 | 206.54989 | -30.93308 | 0.0659 |    0.0161 |     photo_z |    4.1 |      1.2 |        116.09 |       5.57 |        2.80 |        7748 |       0 | 1.47e+13 | 0.51 |  6.45 |
|    Abell 3571 |        288763 | 205.36319 | -34.36854 | 0.0515 |    0.0014 | spec_z_boot |    7.9 |      1.8 |        118.17 |       5.67 |        2.85 |        3607 |       0 | 3.56e+13 | 0.68 | 10.95 |
|    Abell 3571 |        227182 | 207.47518 | -34.98196 | 0.0491 |    0.0013 | spec_z_boot |    7.5 |      4.8 |        131.50 |       6.31 |        3.17 |        2928 |       0 | 3.34e+13 | 0.67 | 11.21 |
|    Abell 3571 |       3497096 | 204.29283 | -31.89219 | 0.0430 |    0.0029 | spec_z_boot |   11.6 |      3.3 |        142.56 |       6.84 |        3.44 |        1147 |       0 | 5.96e+13 | 0.81 | 15.46 |
|    Abell 3571 |        730018 | 206.38868 | -35.26944 | 0.0701 |    0.0153 |     photo_z |    4.2 |      1.5 |        147.17 |       7.06 |        3.55 |        8964 |       0 | 1.51e+13 | 0.51 |  6.15 |
|    Abell 3571 |        723853 | 205.32803 | -30.62052 | 0.0513 |    0.0002 |   cg_spec_z |    3.7 |      1.0 |        155.08 |       7.44 |        3.74 |        3549 |       0 | 1.31e+13 | 0.49 |  7.87 |
|    Abell 3571 |       2352364 | 207.74586 | -30.32336 | 0.0678 |    0.0156 |     photo_z |    5.3 |      4.2 |        158.04 |       7.58 |        3.81 |        8304 |       0 | 2.06e+13 | 0.57 |  7.03 |
|    Abell 3571 |        759603 | 203.62698 | -32.97304 | 0.0507 |    0.0004 | spec_z_boot |    5.4 |      1.1 |        163.41 |       7.84 |        3.94 |        3369 |       0 | 2.15e+13 | 0.58 |  9.40 |
|    Abell 3571 |       1911011 | 207.43542 | -30.13924 | 0.0736 |    0.0005 | spec_z_boot |    9.2 |      1.9 |        165.16 |       7.92 |        3.98 |        9996 |       0 | 4.40e+13 | 0.73 |  8.38 |
|    Abell 3571 |        150321 | 208.40251 | -30.34257 | 0.0734 |    0.0002 |   cg_spec_z |   14.6 |      4.8 |        169.60 |       8.13 |        4.09 |        9918 |       0 | 8.15e+13 | 0.89 | 10.32 |
|    Abell 3571 |         56984 | 208.11822 | -35.80743 | 0.0729 |    0.0002 |   cg_spec_z |    8.6 |      2.8 |        188.00 |       9.02 |        4.53 |        9791 |       0 | 4.00e+13 | 0.70 |  8.19 |
|    Abell 3571 |       1302581 | 203.03997 | -32.79214 | 0.0488 |    0.0004 | spec_z_boot |   24.7 |      2.9 |        193.03 |       9.26 |        4.65 |        2822 |       0 | 1.64e+14 | 1.14 | 19.17 |
|    Abell 3571 |        102906 | 207.75744 | -36.15986 | 0.0732 |    0.0013 | spec_z_boot |    8.5 |      2.5 |        203.46 |       9.76 |        4.90 |        9871 |       0 | 3.95e+13 | 0.70 |  8.12 |
|    Abell 3574 |       3497096 | 204.29283 | -31.89219 | 0.0430 |    0.0029 | spec_z_boot |   11.6 |      3.3 |        179.84 |       3.64 |        2.67 |        7959 |       0 | 5.96e+13 | 0.81 | 15.46 |
|    Abell 3574 |       1707457 | 202.66775 | -29.38245 | 0.0484 |    0.0006 | spec_z_boot |   10.7 |      1.8 |        246.47 |       4.98 |        3.66 |        9556 |       0 | 5.32e+13 | 0.78 | 13.29 |
|    Abell 3574 |       2866052 | 202.52295 | -31.60167 | 0.0492 |    0.0021 | spec_z_boot |    5.6 |      2.1 |        256.31 |       5.18 |        3.81 |        9799 |       0 | 2.22e+13 | 0.58 |  9.77 |
|    Abell 3574 |       1302581 | 203.03997 | -32.79214 | 0.0488 |    0.0004 | spec_z_boot |   24.7 |      2.9 |        262.33 |       5.31 |        3.90 |        9672 |       0 | 1.64e+14 | 1.14 | 19.17 |
|    Abell 3574 |        593714 | 202.32080 | -32.04277 | 0.0477 |    0.0025 | spec_z_boot |    4.3 |      1.7 |        274.47 |       5.55 |        4.08 |        9355 |       0 | 1.59e+13 | 0.52 |  9.00 |
|    Abell 3574 |        227182 | 207.47518 | -34.98196 | 0.0491 |    0.0013 | spec_z_boot |    7.5 |      4.8 |        279.54 |       5.65 |        4.16 |        9781 |       0 | 3.34e+13 | 0.67 | 11.21 |
|    Abell 3574 |       1434378 | 201.25429 | -31.53301 | 0.0472 |    0.0009 | spec_z_boot |    7.8 |      6.1 |        318.32 |       6.44 |        4.73 |        9194 |       0 | 3.50e+13 | 0.68 | 11.85 |
|    Abell 3581 |       1597783 | 212.59098 | -28.62180 | 0.0563 |    0.0002 |   cg_spec_z |    4.1 |      1.0 |        103.78 |       2.99 |        2.43 |        9773 |       0 | 1.48e+13 | 0.51 |  7.50 |
|    Abell 3651 |         13049 | 297.95422 | -55.11410 | 0.0605 |    0.0009 | spec_z_boot |   78.5 |      5.6 |          5.00 |       0.36 |        0.26 |         130 |       1 | 7.73e+14 | 1.90 | 26.22 |
|    Abell 3651 |         70041 | 298.70676 | -55.26588 | 0.0570 |    0.0028 | spec_z_boot |   16.3 |      3.5 |         25.08 |       1.81 |        1.32 |        -850 |       0 | 9.34e+13 | 0.94 | 13.71 |
|    Abell 3651 |       1255750 | 298.39148 | -55.63461 | 0.0601 |    0.0004 |   cg_spec_z |    5.3 |      1.3 |         36.09 |       2.60 |        1.90 |          25 |       0 | 2.09e+13 | 0.57 |  7.91 |
|    Abell 3651 |        102568 | 299.62133 | -55.15358 | 0.0574 |    0.0011 | spec_z_boot |   30.0 |      3.2 |         53.60 |       3.86 |        2.82 |        -729 |       0 | 2.12e+14 | 1.23 | 17.88 |
|    Abell 3667 |           215 | 303.12861 | -56.79833 | 0.0556 |    0.0005 | spec_z_boot |  122.9 |      7.3 |          1.19 |       0.08 |        0.04 |         742 |       1 | 1.42e+15 | 2.33 | 34.77 |
|    Abell 3667 |         40992 | 303.49439 | -57.03965 | 0.0551 |    0.0006 | spec_z_boot |   30.5 |      6.3 |         18.35 |       1.18 |        0.61 |         584 |       0 | 2.16e+14 | 1.24 | 18.75 |
|    Abell 3667 |         87209 | 302.10604 | -56.65698 | 0.0587 |    0.0018 | spec_z_boot |   10.4 |      3.8 |         34.46 |       2.21 |        1.14 |        1634 |       0 | 5.15e+13 | 0.77 | 10.92 |
|    Abell 3667 |       2731391 | 303.00859 | -56.22956 | 0.0519 |    0.0008 | spec_z_boot |    3.5 |      0.9 |         35.35 |       2.26 |        1.17 |        -314 |       0 | 1.17e+13 | 0.47 |  7.51 |
|    Abell 3667 |       1988011 | 303.90322 | -57.31278 | 0.0556 |    0.0006 | spec_z_boot |    8.6 |      2.4 |         39.43 |       2.53 |        1.30 |         743 |       0 | 3.99e+13 | 0.71 | 10.57 |
|    Abell 3667 |        375970 | 304.51988 | -56.86576 | 0.0858 |    0.0127 |     photo_z |    3.7 |      1.3 |         46.30 |       2.97 |        1.53 |        9329 |       0 | 1.28e+13 | 0.48 |  4.82 |
|    Abell 3667 |        262774 | 301.73522 | -56.42161 | 0.0561 |    0.0019 | spec_z_boot |   14.5 |      6.4 |         51.24 |       3.28 |        1.69 |         872 |       0 | 7.99e+13 | 0.89 | 13.22 |
|    Abell 3667 |        350935 | 304.50545 | -55.65882 | 0.0606 |    0.0004 |   cg_spec_z |    3.7 |      1.3 |         83.54 |       5.35 |        2.76 |        2172 |       0 | 1.30e+13 | 0.49 |  6.70 |
|    Abell 3667 |       2328868 | 300.62841 | -56.18730 | 0.0559 |    0.0009 | spec_z_boot |   13.1 |      4.9 |         90.48 |       5.80 |        2.99 |         827 |       0 | 6.97e+13 | 0.85 | 12.67 |
|    Abell 3667 |       2672740 | 304.54799 | -58.13045 | 0.0843 |    0.0141 |     photo_z |    4.5 |      1.0 |         91.46 |       5.86 |        3.02 |        8908 |       0 | 1.68e+13 | 0.53 |  5.36 |
|    Abell 3667 |        377535 | 305.49633 | -57.77697 | 0.0567 |    0.0004 |   cg_spec_z |    4.3 |      1.1 |         96.42 |       6.18 |        3.18 |        1059 |       0 | 1.59e+13 | 0.52 |  7.63 |
|    Abell 3667 |       2707087 | 304.08337 | -54.81433 | 0.0643 |    0.0176 |     photo_z |    5.2 |      2.1 |        124.48 |       7.98 |        4.11 |        3203 |       0 | 2.05e+13 | 0.57 |  7.39 |
|    Abell 3667 |        634888 | 303.00440 | -54.55840 | 0.0603 |    0.0004 |   cg_spec_z |    4.3 |      1.0 |        135.51 |       8.68 |        4.48 |        2067 |       0 | 1.60e+13 | 0.52 |  7.21 |
|    Abell 3667 |        120072 | 302.26324 | -54.45044 | 0.0521 |    0.0013 | spec_z_boot |   16.3 |      2.8 |        144.81 |       9.28 |        4.78 |        -266 |       0 | 9.35e+13 | 0.94 | 14.95 |
|    Abell 3667 |        971607 | 299.01657 | -57.97372 | 0.0845 |    0.0123 |     photo_z |    4.9 |      2.4 |        149.49 |       9.58 |        4.94 |        8969 |       0 | 1.86e+13 | 0.54 |  5.53 |
|    Abell 3716 |        291054 | 312.28603 | -53.05081 | 0.0435 |    0.0012 | spec_z_boot |    5.0 |      1.6 |         29.30 |       1.60 |        1.00 |        -437 |       0 | 1.91e+13 | 0.56 | 10.46 |
|    Abell 3716 |        293357 | 312.04807 | -52.48145 | 0.0758 |    0.0141 |     photo_z |    3.6 |      1.2 |         33.26 |       1.82 |        1.14 |        8831 |       0 | 1.25e+13 | 0.48 |  5.35 |
|    Abell 3716 |         49912 | 313.18580 | -52.02757 | 0.0476 |    0.0007 | spec_z_boot |   22.4 |      3.0 |         42.85 |       2.35 |        1.47 |         747 |       0 | 1.43e+14 | 1.09 | 18.79 |
|    Abell 3716 |        188033 | 311.54678 | -52.65293 | 0.0501 |    0.0056 | spec_z_boot |    4.8 |      1.6 |         48.46 |       2.65 |        1.66 |        1449 |       0 | 1.81e+13 | 0.55 |  8.99 |
|    Abell 3716 |        471974 | 311.12115 | -53.55911 | 0.0481 |    0.0012 | spec_z_boot |    4.7 |      1.4 |         80.89 |       4.43 |        2.77 |         889 |       0 | 1.78e+13 | 0.54 |  9.27 |
|    Abell 3716 |         77844 | 310.06791 | -53.03301 | 0.0443 |    0.0013 | spec_z_boot |   11.6 |      2.6 |        103.41 |       5.66 |        3.54 |        -208 |       0 | 5.93e+13 | 0.81 | 15.00 |
|    Abell 3716 |       1812674 | 313.83768 | -54.75780 | 0.0440 |    0.0002 |   cg_spec_z |    5.2 |      1.8 |        127.18 |       6.96 |        4.35 |        -288 |       0 | 2.02e+13 | 0.57 | 10.54 |
|    Abell 3716 |         45383 | 316.28352 | -51.83567 | 0.0499 |    0.0008 | spec_z_boot |   10.7 |      2.4 |        135.81 |       7.44 |        4.65 |        1406 |       0 | 5.32e+13 | 0.78 | 12.90 |
|    Abell 3809 |          5122 | 326.95932 | -43.88614 | 0.0625 |    0.0003 | spec_z_boot |   32.8 |      4.4 |          9.27 |       0.70 |        0.72 |        -135 |       1 | 2.39e+14 | 1.28 | 17.18 |
|    Abell 3809 |         40351 | 326.46964 | -43.89467 | 0.0629 |    0.0004 | spec_z_boot |    8.5 |      2.5 |         11.93 |       0.90 |        0.93 |         -39 |       0 | 3.91e+13 | 0.70 |  9.34 |
|    Abell 4059 |          3093 | 359.20738 | -34.71356 | 0.0491 |    0.0005 | spec_z_boot |   66.3 |      7.2 |          3.44 |       0.20 |        0.11 |         329 |       1 | 6.14e+14 | 1.77 | 29.59 |
|    Abell 4059 |       3458759 | 359.26594 | -34.99032 | 0.0497 |    0.0006 | spec_z_boot |    6.5 |      3.0 |         13.90 |       0.81 |        0.46 |         485 |       0 | 2.74e+13 | 0.63 | 10.38 |
|    Abell 4059 |       1221414 | 358.89886 | -34.60228 | 0.0557 |    0.0172 | spec_z_boot |    5.4 |      3.9 |         19.71 |       1.15 |        0.65 |        2200 |       0 | 2.15e+13 | 0.58 |  8.59 |
|    Abell 4059 |        281461 | 359.96943 | -34.99468 | 0.0486 |    0.0004 | spec_z_boot |    5.5 |      1.2 |         38.13 |       2.23 |        1.26 |         170 |       0 | 2.16e+13 | 0.58 |  9.80 |
|    Abell 4059 |       1344712 | 358.39128 | -34.61820 | 0.0550 |    0.0034 | spec_z_boot |    5.5 |      1.5 |         43.20 |       2.53 |        1.43 |        2010 |       0 | 2.16e+13 | 0.58 |  8.71 |
|    Abell 4059 |        485281 | 358.66674 | -34.14793 | 0.0736 |    0.0004 |   cg_spec_z |    6.4 |      5.1 |         46.66 |       2.73 |        1.54 |        7317 |       0 | 2.71e+13 | 0.62 |  7.13 |
|    Abell 4059 |       2545434 | 357.64752 | -34.47823 | 0.0604 |    0.0117 | spec_z_boot |   17.4 |      2.1 |         80.90 |       4.73 |        2.67 |        3548 |       0 | 1.02e+14 | 0.97 | 13.36 |
|    Abell 4059 |       2491292 |   0.22159 | -35.98636 | 0.0502 |    0.0004 |   cg_spec_z |    5.5 |      1.9 |         87.65 |       5.12 |        2.89 |         624 |       0 | 2.20e+13 | 0.58 |  9.56 |
|    Abell 4059 |       2988922 | 357.25909 | -35.00264 | 0.0435 |    0.0002 |   cg_spec_z |    4.8 |      1.3 |         99.08 |       5.79 |        3.27 |       -1298 |       0 | 1.83e+13 | 0.55 | 10.32 |
|    Abell 4059 |         13228 |   0.91287 | -35.91378 | 0.0500 |    0.0003 | spec_z_boot |   25.9 |      2.9 |        106.89 |       6.25 |        3.53 |         575 |       0 | 1.74e+14 | 1.16 | 19.10 |
|    Abell 4059 |       1337178 | 357.75497 | -36.09588 | 0.0673 |    0.0159 |     photo_z |    3.6 |      1.2 |        108.52 |       6.34 |        3.58 |        5532 |       0 | 1.25e+13 | 0.48 |  5.98 |
|    Abell 4059 |        116101 | 358.75371 | -32.90912 | 0.0586 |    0.0006 | spec_z_boot |   14.8 |      1.6 |        113.71 |       6.65 |        3.76 |        3045 |       0 | 8.27e+13 | 0.90 | 12.81 |
|    Abell 4059 |       2576117 | 356.71899 | -35.15226 | 0.0568 |    0.0001 | spec_z_boot |   10.9 |      4.8 |        126.68 |       7.40 |        4.18 |        2530 |       0 | 5.47e+13 | 0.79 | 11.50 |
|    Abell 4059 |       2754933 | 358.56591 | -37.11730 | 0.0569 |    0.0172 |     photo_z |   10.5 |      7.1 |        145.35 |       8.50 |        4.80 |        2555 |       0 | 5.24e+13 | 0.78 | 11.32 |
|    Abell S560 |       2228263 |  90.11437 | -58.86271 | 0.0372 |    0.0006 | spec_z_boot |   24.0 |     12.1 |         16.76 |       0.77 |        0.84 |          64 |       1 | 1.57e+14 | 1.13 | 24.54 |
|    Abell S560 |        295712 |  91.61836 | -58.63685 | 0.0710 |    0.0004 |   cg_spec_z |    3.3 |      0.9 |         44.40 |       2.03 |        2.23 |        9832 |       0 | 1.09e+13 | 0.46 |  5.44 |
|    Abell S560 |       1663181 |  91.06184 | -59.66004 | 0.0472 |    0.0004 |   cg_spec_z |    6.8 |      1.6 |         69.63 |       3.18 |        3.50 |        2946 |       0 | 2.92e+13 | 0.64 | 11.15 |
|    Abell S560 |       1812310 |  89.70341 | -60.05775 | 0.0668 |    0.0132 |     photo_z |    8.7 |      2.0 |         89.55 |       4.09 |        4.50 |        8613 |       0 | 4.07e+13 | 0.71 |  8.95 |
|        Fornax |       1719047 |  48.21339 | -28.37649 | 0.0376 |    0.0004 |   cg_spec_z |    8.4 |      1.6 |        534.82 |       3.44 |        4.99 |        9728 |       0 | 3.83e+13 | 0.70 | 15.18 |
| Hydra (A1060) |       2224279 | 161.10227 | -27.57166 | 0.0095 |    0.0002 |   cg_spec_z |   13.6 |      1.6 |        102.61 |       1.56 |        1.24 |        -732 |       0 | 7.32e+13 | 0.88 | 72.48 |
| Hydra (A1060) |        514335 | 154.42532 | -27.42480 | 0.0427 |    0.0004 |   cg_spec_z |    3.9 |      1.7 |        252.85 |       3.85 |        3.05 |        9106 |       0 | 1.39e+13 | 0.50 |  9.58 |
|       IIZw108 |       1940435 | 318.24051 |   2.89506 | 0.0486 |    0.0001 |   cg_spec_z |    5.2 |      1.8 |         24.56 |       1.44 |        1.28 |         177 |       0 | 2.03e+13 | 0.57 |  9.60 |
|       IIZw108 |        394167 | 319.92568 |   2.13735 | 0.0669 |    0.0004 |   cg_spec_z |    4.4 |      1.3 |         90.22 |       5.27 |        4.71 |        5417 |       0 | 1.62e+13 | 0.52 |  6.56 |
|          MKW8 |       1206393 | 219.14303 |   5.50109 | 0.0597 |    0.0002 | spec_z_boot |    4.4 |      1.3 |        136.52 |       4.58 |        4.21 |        9551 |       0 | 1.65e+13 | 0.53 |  7.36 |
