| CHANCES_FIELD | CHANCES_z | CHANCES_M200c | CHANCES_R200c_deg |     AXES | 2MRS | z_LEGACY | LAMBDA | LEGACY |      z |      RA_X |     DEC_X |        Lx |       eLx |     M200c |    eM200c | R200c_deg | CHANCES_DIST_deg | CHANCES_DIST_R200c | VPEC_kms |
|         A3526 |    0.0108 |     3.360e+14 |            1.7735 | 93252820 |    0 |   0.0706 |  16.39 |      1 | 0.0706 | 203.37529 | -42.58015 | 5.380e+43 | 1.125e+43 | 3.633e+14 | 4.715e+13 |    0.2957 |           8.3849 |               4.73 |    17736 |
|         A3526 |    0.0108 |     3.360e+14 |            1.7735 | 93242915 |    0 |   0.2055 |  32.88 |      1 | 0.2055 | 194.05130 | -37.49070 | 1.669e+44 | 6.285e+43 | 6.717e+14 | 1.531e+14 |    0.1386 |           4.0750 |               2.30 |    57746 |
|         A3526 |    0.0108 |     3.360e+14 |            1.7735 | 93242911 |    1 |   0.0494 |  29.25 |      1 | 0.0508 | 196.62949 | -37.56200 | 7.272e+43 | 8.235e+42 | 3.040e+14 | 2.160e+13 |    0.3769 |           5.0636 |               2.86 |    11864 |
|         A3526 |    0.0108 |     3.360e+14 |            1.7735 | 93242817 |    0 |   0.2366 |  41.06 |      1 | 0.2366 | 191.05392 | -39.56250 | 7.699e+44 | 1.173e+44 | 1.745e+15 | 1.666e+14 |    0.1692 |           1.9635 |               1.11 |    66970 |
|         A3526 |    0.0108 |     3.360e+14 |            1.7735 | 93232920 |    0 |   0.0728 |  15.08 |      1 | 0.0728 | 189.95503 | -34.21674 | 3.882e+43 | 9.163e+42 | 2.940e+14 | 4.290e+13 |    0.2677 |           7.3185 |               4.13 |    18389 |
|         A3526 |    0.0108 |     3.360e+14 |            1.7735 | 93242908 |    0 |   0.0504 |  34.51 |      1 | 0.0504 | 199.79477 | -37.15446 | 2.008e+43 | 5.387e+42 | 1.959e+14 | 3.233e+13 |    0.3317 |           7.1854 |               4.05 |    11745 |
|         A3526 |    0.0108 |     3.360e+14 |            1.7735 | 93242901 |    1 |  -1.0000 |  -1.00 |      0 | 0.0095 | 195.67426 | -41.63104 | 1.689e+42 | 3.657e+41 | 2.825e+13 | 3.775e+12 |    0.8766 |           2.6056 |               1.47 |     -386 |
|         A3526 |    0.0108 |     3.360e+14 |            1.7735 | 93252501 |    1 |  -1.0000 |  -1.00 |      0 | 0.0336 | 182.63757 | -46.74505 | 3.005e+43 | 3.502e+42 | 1.750e+14 | 1.279e+13 |    0.4670 |           8.7641 |               4.94 |     6762 |
|         A3526 |    0.0108 |     3.360e+14 |            1.7735 | 93242821 |    1 |  -1.0000 |  -1.00 |      0 | 0.0127 | 188.99734 | -39.90034 | 3.231e+42 | 5.713e+41 | 4.269e+13 | 4.688e+12 |    0.7582 |           2.8266 |               1.59 |      564 |
|         A3526 |    0.0108 |     3.360e+14 |            1.7735 | 93242916 |    0 |   0.0823 |  15.81 |      1 | 0.0823 | 200.23007 | -41.00750 | 8.728e+43 | 1.452e+43 | 4.912e+14 | 5.105e+13 |    0.2835 |           6.0343 |               3.40 |    21206 |
|         A3526 |    0.0108 |     3.360e+14 |            1.7735 | 93232917 |    0 |   0.0795 |  15.20 |      1 | 0.0795 | 189.17054 | -33.94912 | 8.371e+43 | 1.395e+43 | 4.792e+14 | 4.990e+13 |    0.2904 |           7.7490 |               4.37 |    20376 |
|         A3526 |    0.0108 |     3.360e+14 |            1.7735 | 93252711 |    1 |  -1.0000 |  -1.00 |      0 | 0.0123 | 200.11894 | -43.64485 | 3.165e+42 | 5.662e+41 | 4.214e+13 | 4.680e+12 |    0.7815 |           6.2700 |               3.54 |      445 |
|         A3526 |    0.0108 |     3.360e+14 |            1.7735 | 93233001 |    0 |   0.0867 |  15.92 |      1 | 0.0867 | 196.56401 | -34.35847 | 6.953e+43 | 1.438e+43 | 4.229e+14 | 5.428e+13 |    0.2568 |           7.7512 |               4.37 |    22511 |
|         A3526 |    0.0108 |     3.360e+14 |            1.7735 | 93233101 |    0 |   0.0489 |   9.51 |      1 | 0.0489 | 198.73087 | -36.57301 | 1.344e+43 | 4.385e+42 | 1.515e+14 | 3.015e+13 |    0.3131 |           6.9310 |               3.91 |    11300 |
|         A3526 |    0.0108 |     3.360e+14 |            1.7735 | 93252706 |    1 |  -1.0000 |  -1.00 |      0 | 0.0116 | 198.76982 | -42.61432 | 1.601e+43 | 1.232e+42 | 1.190e+14 | 5.780e+12 |    1.1657 |           5.0378 |               2.84 |      237 |
|         A3526 |    0.0108 |     3.360e+14 |            1.7735 | 93242707 |    1 |  -1.0000 |  -1.00 |      0 | 0.0124 | 186.47803 | -38.33039 | 2.030e+42 | 4.374e+41 | 3.171e+13 | 4.217e+12 |    0.7004 |           5.3237 |               3.00 |      475 |
|         A3571 |    0.0394 |     1.050e+15 |            0.7283 | 93223401 |    1 |  -1.0000 |  -1.00 |      0 | 0.0160 | 207.27802 | -30.32663 | 7.406e+43 | 2.487e+42 | 3.160e+14 | 6.752e+12 |    1.1792 |           2.5682 |               3.53 |    -6749 |
|         A3571 |    0.0394 |     1.050e+15 |            0.7283 | 93233140 |    1 |   0.0490 |  44.98 |      1 | 0.0504 | 203.09537 | -33.11216 | 9.967e+43 | 8.320e+42 | 3.720e+14 | 1.959e+13 |    0.4064 |           3.1469 |               4.32 |     3173 |
|         A3571 |    0.0394 |     1.050e+15 |            0.7283 | 93233201 |    1 |  -1.0000 |  -1.00 |      0 | 0.0134 | 204.01947 | -34.22526 | 4.040e+43 | 1.544e+42 | 2.149e+14 | 5.220e+12 |    1.2351 |           2.7118 |               3.72 |    -7499 |
|         A3571 |    0.0394 |     1.050e+15 |            0.7283 | 93233312 |    1 |  -1.0000 |  -1.00 |      0 | 0.0146 | 210.91297 | -33.95983 | 8.305e+42 | 1.095e+42 | 7.799e+13 | 6.433e+12 |    0.8082 |           3.5739 |               4.91 |    -7153 |
|         A3571 |    0.0394 |     1.050e+15 |            0.7283 | 93233210 |    1 |   0.0485 |  41.96 |      1 | 0.0497 | 203.50577 | -31.67597 | 1.628e+44 | 1.038e+43 | 5.095e+14 | 2.056e+13 |    0.4569 |           3.0572 |               4.20 |     2971 |
