|               name |        Cluster Name |        ra |       dec |     z |  gal_l |  mass | complete | lowmass |            CHANCES |  Abell |  CODEX |             ACT-DR5 |               PSZ2 |         LoVoCCS | HIFLUGCS |           MeerKAT |  m200 | c200 | r200 |  d200 |
| PSZ2 G224.38-24.95 |               A3358 |  84.58471 | -20.64543 | 0.091 | 224.38 |  3.42 |    False |    True |                    |  A3358 |  73591 | ACT-CL J0538.2-2038 | PSZ2 G224.38-24.95 |                 |          |                   |  4.95 | 4.06 | 1.62 | 15.33 |
| PSZ2 G099.57-58.64 |               A2700 |   0.94506 |   2.05365 | 0.092 |  99.58 |  3.02 |    False |   False |                    |  A2700 |  55038 | ACT-CL J0003.8+0203 | PSZ2 G099.57-58.64 |                 |          |                   |  4.37 | 4.08 | 1.55 | 14.57 |
| PSZ2 G008.80-35.18 |               A3694 | 308.65951 | -34.06151 | 0.094 |   8.81 |  4.01 |    False |    True |                    |  A3694 |  83605 |                     | PSZ2 G008.80-35.18 |                 |          |                   |  5.80 | 4.04 | 1.71 | 15.83 |
| PSZ2 G321.98-47.96 |          Abell 3921 | 342.45636 | -64.41519 | 0.094 | 321.98 |  5.43 |    False |    True |         Abell 3921 |  A3921 |  99375 |                     | PSZ2 G321.98-47.96 |           A3921 |    A3921 |                   |  7.85 | 4.04 | 1.89 | 17.43 |
| PSZ2 G072.40-78.45 |                 A13 |   3.43054 | -19.48619 | 0.094 |  72.40 |  3.72 |    False |    True |                    |    A13 |        |                     | PSZ2 G072.40-78.45 |             A13 |          | MCXC J0013.6-1930 |  5.38 | 4.05 | 1.66 | 15.37 |
| PSZ2 G033.46-48.43 |               A2384 | 328.08144 | -19.61292 | 0.094 |  33.46 |  5.50 |    False |    True |                    |  A2384 |  72087 |                     | PSZ2 G033.46-48.43 |           A2384 |          |                   |  7.95 | 4.04 | 1.90 | 17.46 |
| PSZ2 G324.54-44.97 |              101367 | 334.50479 | -65.17700 | 0.095 | 324.54 |  4.05 |    False |    True |                    |        | 101367 |                     | PSZ2 G324.54-44.97 |         RBS1847 |          |                   |  5.86 | 4.04 | 1.71 | 15.65 |
| PSZ2 G358.94-70.57 |               A4010 | 352.78031 | -36.54981 | 0.096 | 358.94 |  3.40 |    False |   False |                    |  A4010 |        | ACT-CL J2331.2-3630 | PSZ2 G358.94-70.57 |           A4010 |          |                   |  4.92 | 4.06 | 1.61 | 14.68 |
| PSZ2 G336.60-55.43 |          Abell 3911 | 341.57173 | -52.72214 | 0.097 | 336.60 |  5.77 |    False |    True |         Abell 3911 |  A3911 |        |                     | PSZ2 G336.60-55.43 |           A3911 |          |                   |  8.35 | 4.04 | 1.93 | 17.37 |
| PSZ2 G356.53+28.66 |  PSZ2 G356.53+28.66 | 239.61320 | -14.16067 | 0.097 | 356.54 |  3.98 |    False |    True |                    |        |        |                     | PSZ2 G356.53+28.66 | RXCJ1558.3-1410 |          |                   |  5.76 | 4.04 | 1.70 | 15.27 |
| PSZ2 G272.08-29.06 |               AS567 |  91.48696 | -62.79719 | 0.098 | 272.09 |  3.00 |    False |   False |                    |  AS567 |  97725 |                     | PSZ2 G272.08-29.06 |                 |          |                   |  4.33 | 4.08 | 1.55 | 13.80 |
| PSZ2 G049.69-49.46 |               A2426 | 333.61761 | -10.35244 | 0.098 |  49.70 |  4.90 |    False |    True |                    |  A2426 |  68049 | ACT-CL J2214.5-1022 | PSZ2 G049.69-49.46 |           A2426 |          |                   |  7.08 | 4.04 | 1.82 | 16.21 |
| PSZ2 G332.23-46.37 |          Abell 3827 | 330.46907 | -59.93991 | 0.098 | 332.24 |  7.78 |     True |   False |         Abell 3827 |  A3827 |        | ACT-CL J2201.8-5956 | PSZ2 G332.23-46.37 |           A3827 |    A3827 |                   | 11.26 | 4.08 | 2.13 | 18.92 |
| PSZ2 G311.62-42.31 |               A3992 | 350.05187 | -73.23780 | 0.098 | 311.63 |  2.63 |    False |   False |                    |  A3992 |        |                     | PSZ2 G311.62-42.31 |                 |          |                   |  3.81 | 4.11 | 1.48 | 13.13 |
| PSZ2 G226.16-21.95 |                A550 |  88.21371 | -21.06502 | 0.099 | 226.16 |  5.22 |    False |    True |                    |   A550 |  73599 | ACT-CL J0552.9-2103 | PSZ2 G226.16-21.95 |                 |          |                   |  7.56 | 4.04 | 1.86 | 16.43 |
| PSZ2 G314.26-55.35 |               A4067 | 359.70648 | -60.59652 | 0.099 | 314.27 |  3.05 |    False |   False |                    |  A4067 |        |                     | PSZ2 G314.26-55.35 |           A4067 |          |                   |  4.41 | 4.08 | 1.56 | 13.73 |
| PSZ2 G340.46-52.20 |               A3864 | 335.08023 | -52.45181 | 0.102 | 340.46 |  3.42 |    False |   False |                    |  A3864 |  94020 |                     | PSZ2 G340.46-52.20 |                 |          |                   |  4.95 | 4.06 | 1.61 | 13.87 |
| PSZ2 G244.11-53.59 |               A3142 |  54.24953 | -39.82990 | 0.103 | 244.12 |  3.73 |    False |    True |                    |  A3142 |        |                     | PSZ2 G244.11-53.59 |                 |          |                   |  5.40 | 4.05 | 1.66 | 14.15 |
