|               name |         ra |       dec |     z |  gal_l |  mass | complete | lowmass |        S-PLUS |            CHANCES |       Abell |  CODEX |             ACT-DR5 |         LoVoCCS | HIFLUGCS |           MeerKAT |
| PSZ2 G224.40-76.54 |   27.96798 | -28.98980 | 0.413 | 224.40 |  5.82 |    False |    True |  SPLUS-s23s19 |                    |             |  77013 | ACT-CL J0151.6-2859 |                 |          |                   |
| PSZ2 G224.03-76.42 |   28.11274 | -28.91324 | 0.413 | 224.04 |  5.93 |    False |    True |  SPLUS-s23s19 |                    |             |  77011 | ACT-CL J0152.5-2853 |                 |          |                   |
| PSZ2 G153.00-58.26 |   28.14512 |   0.99034 | 0.227 | 153.01 |  5.04 |    False |    True | STRIPE82_0042 |                    |  ABELL 0267 |  55475 | ACT-CL J0152.6+0100 |                 |          |                   |
| PSZ2 G155.46-60.15 |   28.38664 |  -1.26598 | 0.244 | 155.46 |  4.26 |    False |    True | STRIPE82_0041 |                    |  ABELL 0268 |  55505 | ACT-CL J0153.5-0118 |                 |          |                   |
| PSZ2 G243.15-73.84 |   29.76292 | -34.23511 | 0.410 | 243.15 |  8.09 |    False |    True |  SPLUS-s27s19 | PSZ2 G243.15-73.84 |             |  80876 | ACT-CL J0159.0-3413 |                 |          |                   |
| PSZ2 G167.66-65.59 |   29.97755 |  -8.85889 | 0.405 | 167.67 |  7.20 |    False |    True |               |                    |             |  64550 | ACT-CL J0159.8-0849 |                 |          |                   |
| PSZ2 G181.71-68.65 |   31.64900 | -14.88002 | 0.153 | 181.71 |  3.97 |    False |    True |               |                    |  ABELL 0305 |  68763 |                     |                 |          |                   |
| PSZ2 G188.57-68.86 |   32.95654 | -17.03482 | 0.174 | 188.58 |  3.34 |    False |   False |               |                    |  ABELL 2985 |  68800 | ACT-CL J0211.8-1701 |                 |          |                   |
| PSZ2 G269.82-64.35 |   33.22314 | -47.20038 | 0.115 | 269.82 |  2.28 |    False |   False |  SPLUS-s36s18 |                    |  ABELL 2988 |  88156 |                     |           A2988 |          | MCXC J0212.8-4707 |
| PSZ2 G167.98-59.95 |   33.68422 |  -4.58562 | 0.139 | 167.99 |  4.31 |    False |    True |               |                    |  ABELL 0329 |  60076 | ACT-CL J0214.7-0432 |                 |          |                   |
| PSZ2 G276.75-59.82 |   34.32938 | -52.71826 | 0.343 | 276.76 |  4.48 |    False |    True |  SPLUS-s41s16 |                    |             |  91480 | ACT-CL J0217.1-5244 |                 |          | MCXC J0217.2-5244 |
| PSZ2 G249.80-68.11 |   35.25240 | -38.47809 | 0.228 | 249.81 |  3.75 |    False |   False |  SPLUS-s30s21 |                    |             |        | ACT-CL J0220.9-3828 |                 |          |                   |
| PSZ2 G256.53-65.70 |   36.46238 | -41.92138 | 0.220 | 256.53 |  6.08 |    False |    True |  SPLUS-s32s21 |                    |  ABELL 3017 |  84568 | ACT-CL J0225.8-4154 |                 |          | MCXC J0225.9-4154 |
| PSZ2 G223.16-68.81 |   36.80960 | -28.83774 | 0.214 | 223.17 |  4.14 |    False |    True |               |                    |             |  77089 | ACT-CL J0227.1-2851 |                 |          |                   |
| PSZ2 G235.74-67.98 |   37.33753 | -33.51074 | 0.079 | 235.75 |  2.01 |    False |    True |  SPLUS-s26s24 |                    |             |  80950 |                     |                 |          |                   |
| PSZ2 G174.40-57.33 |   37.93007 |  -4.86115 | 0.184 | 174.41 |  3.96 |    False |    True |               |                    |  ABELL 0362 |  60155 | ACT-CL J0231.7-0453 |                 |          |                   |
| PSZ2 G259.98-63.43 |   38.07817 | -44.36122 | 0.284 | 259.99 |  7.54 |    False |    True |  SPLUS-s34s21 | PSZ2 G259.98-63.43 |             |  88216 | ACT-CL J0232.2-4421 |                 |          | MCXC J0232.2-4420 |
| PSZ2 G280.23-53.84 |   38.68215 | -58.49170 | 0.415 | 280.23 |  4.79 |    False |    True |  SPLUS-s45s16 |                    |             |  94478 | ACT-CL J0234.7-5831 |                 |          |                   |
| PSZ2 G270.93-58.78 |   38.94684 | -51.36232 | 0.278 | 270.94 |  5.95 |    False |    True |  SPLUS-s40s19 |                    |             |  91463 | ACT-CL J0235.7-5120 |                 |          |                   |
| PSZ2 G200.63-64.71 |   39.10859 | -19.34895 | 0.091 | 200.63 |  2.48 |    False |    True |               |                    |  ABELL 0367 |  68918 |                     |                 |          |                   |
| PSZ2 G260.85-62.19 |   39.27204 | -45.35554 | 0.190 | 260.86 |  3.76 |    False |   False |  SPLUS-s35s22 |                    |  ABELL 3036 |  88234 | ACT-CL J0236.6-4516 |                 |          |                   |
| PSZ2 G172.98-53.55 |   39.96505 |  -1.56808 | 0.373 | 172.99 |  7.65 |    False |    True | STRIPE82_0057 |          Abell0370 |  ABELL 0370 |        | ACT-CL J0239.8-0134 |                 |          |  ZwCl 0237.2-0146 |
| PSZ2 G222.99-65.70 |   40.35443 | -28.65943 | 0.232 | 223.00 |  6.18 |    False |    True |               |                    |  ABELL 3041 |  77178 | ACT-CL J0241.3-2838 |                 |          |                   |
| PSZ2 G271.53-56.57 |   41.36870 | -53.04224 | 0.300 | 271.54 |  6.78 |    False |    True |  SPLUS-s41s20 | PSZ2 G271.53-56.57 | ABELL S0295 |  91486 | ACT-CL J0245.5-5302 |                 |          | PSZ1 G271.48-56.5 |
| PSZ2 G173.90-51.89 |   41.51149 |  -0.74336 | 0.179 | 173.91 |  3.74 |    False |    True | STRIPE82_0059 |                    |  ABELL 0381 |  55606 | ACT-CL J0245.8-0042 |                 |          |                   |
| PSZ2 G205.05-62.95 |   41.60763 | -20.52687 | 0.310 | 205.05 |  7.64 |    False |    True |               | PSZ2 G205.05-62.95 |  ABELL 3048 |  73036 | ACT-CL J0246.4-2033 |                 |          |                   |
| PSZ2 G176.25-52.57 |   42.05598 |  -2.23740 | 0.236 | 176.26 |  6.07 |    False |    True |               |                    |  ABELL 0384 |        | ACT-CL J0248.2-0216 |                 |          |                   |
| PSZ2 G277.76-51.74 |   43.56849 | -58.96076 | 0.438 | 277.76 |  9.69 |     True |   False |  SPLUS-s45s18 | PSZ2 G277.76-51.74 |             |  94481 | ACT-CL J0254.3-5857 |                 |          |                   |
| PSZ2 G210.08-60.96 |   44.41812 | -22.16270 | 0.322 | 210.09 |  6.05 |    False |    True |               |                    |  ABELL 0402 |  73057 | ACT-CL J0257.7-2209 |                 |          | MCXC J0257.6-2209 |
