|               name |        ra |       dec |     z |  gal_l |  mass | complete | lowmass |        S-PLUS |                    CHANCES |       Abell |  CODEX |             ACT-DR5 |         LoVoCCS | HIFLUGCS |           MeerKAT |  m200 | c200 | r200 |  d200 |
| PSZ2 G295.19-56.99 |  21.20583 | -59.63250 | 0.217 | 295.19 |  5.19 |    False |    True |  SPLUS-s46s09 |                            | ABELL S0157 |  96952 | ACT-CL J0124.7-5937 |                 |          |                   |  7.48 | 4.07 | 1.78 |  8.17 |
| PSZ2 G296.27-52.05 |  22.41213 | -64.57923 | 0.326 | 296.28 |  7.16 |    False |    True |               |                            |             |  96941 |                     |                 |          |                   | 10.23 | 4.23 | 1.89 |  6.48 |
| PSZ2 G159.91-73.50 |  22.98088 | -13.61399 | 0.206 | 159.92 | 11.42 |     True |   False |               |                 Abell 0209 |  ABELL 0209 |  64532 | ACT-CL J0131.8-1336 |                 |          | MCXC J0131.8-1336 | 16.25 | 4.31 | 2.31 | 11.05 |
| PSZ2 G295.63-51.96 |  23.35873 | -64.56788 | 0.333 | 295.64 |  8.21 |    False |    True |               |                            |             |  97000 |                     |                 |          |                   | 11.68 | 4.30 | 1.97 |  6.67 |
| PSZ2 G209.17-80.38 |  23.55604 | -26.09296 | 0.160 | 209.17 |  4.27 |    False |    True |  SPLUS-s20s17 |                            |  ABELL 0214 |        | ACT-CL J0134.4-2606 |                 |          |                   |  6.15 | 4.04 | 1.70 |  9.97 |
| PSZ2 G251.13-78.15 |  24.07704 | -34.00304 | 0.304 | 251.13 |  5.62 |    False |    True |  SPLUS-s26s16 |                            |             |        | ACT-CL J0136.2-3359 |                 |          |                   |  8.07 | 4.14 | 1.77 |  6.34 |
| PSZ2 G162.49-71.98 |  24.50997 | -12.79744 | 0.211 | 162.49 |  6.26 |    False |    True |               |                            |  ABELL 0223 |  64520 |                     |                 |          |                   |  9.00 | 4.10 | 1.90 |  8.90 |
| PSZ2 G285.52-62.23 |  26.26237 | -53.04050 | 0.117 | 285.52 |  4.90 |    False |    True |  SPLUS-s41s13 |                            |  ABELL 2941 |  91401 | ACT-CL J0144.9-5301 |           A2941 |          | MCXC J0145.0-5300 |  7.07 | 4.04 | 1.81 | 13.80 |
| PSZ2 G291.34-55.31 |  26.31629 | -60.58803 | 0.181 | 291.35 |  4.97 |    False |    True |               |                            |             |  97021 |                     |                 |          | MCXC J0145.2-6033 |  7.17 | 4.05 | 1.78 |  9.42 |
| PSZ2 G273.69-68.38 |  27.66509 | -45.23682 | 0.320 | 273.69 |  4.87 |    False |   False |  SPLUS-s35s16 |                            |             |        | ACT-CL J0150.6-4511 |                 |          |                   |  6.99 | 4.11 | 1.67 |  5.80 |
| PSZ2 G224.40-76.54 |  27.96798 | -28.98980 | 0.413 | 224.40 |  7.84 |    False |    True |  SPLUS-s23s19 |                            |             |  77013 | ACT-CL J0151.6-2859 |                 |          |                   | 11.13 | 4.37 | 1.88 |  5.55 |
| PSZ2 G224.03-76.42 |  28.11274 | -28.91324 | 0.413 | 224.04 |  8.00 |    False |    True |  SPLUS-s23s19 |                            |             |  77011 | ACT-CL J0152.5-2853 |                 |          |                   | 11.35 | 4.38 | 1.89 |  5.59 |
| PSZ2 G153.00-58.26 |  28.14512 |   0.99034 | 0.227 | 153.01 |  6.81 |    False |    True | STRIPE82_0042 |                            |  ABELL 0267 |  55475 | ACT-CL J0152.6+0100 |                 |          |                   |  9.77 | 4.14 | 1.94 |  8.59 |
| PSZ2 G155.46-60.15 |  28.38664 |  -1.26598 | 0.244 | 155.46 |  5.75 |    False |    True | STRIPE82_0041 |                            |  ABELL 0268 |  55505 | ACT-CL J0153.5-0118 |                 |          |                   |  8.26 | 4.10 | 1.82 |  7.65 |
| PSZ2 G243.15-73.84 |  29.76292 | -34.23511 | 0.410 | 243.15 | 10.91 |     True |   False |  SPLUS-s27s19 |         PSZ2 G243.15-73.84 |             |  80876 | ACT-CL J0159.0-3413 |                 |          |                   | 15.33 | 4.59 | 2.10 |  6.22 |
| PSZ2 G167.66-65.59 |  29.97755 |  -8.85889 | 0.405 | 167.67 |  9.72 |    False |    True |               |                            |             |  64550 | ACT-CL J0159.8-0849 |                 |          |                   | 13.72 | 4.50 | 2.03 |  6.05 |
| PSZ2 G181.71-68.65 |  31.64900 | -14.88002 | 0.153 | 181.71 |  5.35 |    False |    True |               |                            |  ABELL 0305 |  68763 |                     |                 |          |                   |  7.71 | 4.05 | 1.84 | 11.16 |
| PSZ2 G188.57-68.86 |  32.95654 | -17.03482 | 0.174 | 188.58 |  4.51 |    False |    True |               |                            |  ABELL 2985 |  68800 | ACT-CL J0211.8-1701 |                 |          |                   |  6.49 | 4.04 | 1.72 |  9.41 |
| PSZ2 G269.82-64.35 |  33.22314 | -47.20038 | 0.115 | 269.82 |  3.07 |    False |   False |  SPLUS-s36s18 |                            |  ABELL 2988 |  88156 |                     |           A2988 |          | MCXC J0212.8-4707 |  4.42 | 4.07 | 1.55 | 11.97 |
| PSZ2 G167.98-59.95 |  33.68422 |  -4.58562 | 0.139 | 167.99 |  5.81 |    False |    True |               |                            |  ABELL 0329 |  60076 | ACT-CL J0214.7-0432 |                 |          |                   |  8.37 | 4.06 | 1.90 | 12.46 |
| PSZ2 G276.75-59.82 |  34.32938 | -52.71826 | 0.343 | 276.76 |  6.05 |    False |    True |  SPLUS-s41s16 |                            |             |  91480 | ACT-CL J0217.1-5244 |                 |          | MCXC J0217.2-5244 |  8.66 | 4.19 | 1.78 |  5.90 |
| PSZ2 G249.80-68.11 |  35.25240 | -38.47809 | 0.228 | 249.81 |  5.06 |    False |   False |  SPLUS-s30s21 |                            |             |        | ACT-CL J0220.9-3828 |                 |          |                   |  7.30 | 4.07 | 1.76 |  7.77 |
