|   name |               Cluster Name |         ra |       dec |     z |  gal_l |   mass | complete | lowmass |                    CHANCES |                   Abell |  CODEX |             ACT-DR5 |               PSZ2 |         LoVoCCS | HIFLUGCS |           MeerKAT |
|  67967 |                      67967 |  -31.24861 |  -9.60679 | 0.083 |  47.18 |  24.24 |    False |   False |                            |                         |  67967 |                     |                    |                 |          |                   |
|  68241 |                 ABELL 2597 |   -8.67165 | -12.12684 | 0.083 |  65.33 |  26.91 |    False |   False |                            |              ABELL 2597 |  68241 |                     | PSZ2 G065.32-64.84 |           A2597 |    A2597 | MCXC J2325.3-1207 |
|  78915 |                 ABELL 3507 | -176.78875 | -26.06217 | 0.083 | 292.21 |  31.35 |    False |   False |                            |              ABELL 3507 |  78915 |                     |                    |                 |          |                   |
|  57884 |                      57884 | -162.68563 |  -1.61648 | 0.083 | 312.13 |  25.31 |    False |   False |                            |                         |  57884 |                     |                    |                 |          |                   |
|  78939 |                 ABELL 3506 | -176.77057 | -28.65037 | 0.083 | 292.80 |  23.39 |    False |   False |                            |              ABELL 3506 |  78939 |                     | PSZ2 G292.74+33.49 |                 |          |                   |
|  87406 |                      87406 |  -41.82118 | -39.78718 | 0.083 |   2.59 |  25.91 |    False |   False |                            |                         |  87406 |                     |                    |                 |          |                   |
|  66934 |                      66934 | -140.78752 |  -9.00501 | 0.083 | 341.86 |  24.49 |    False |   False |                            |                         |  66934 |                     |                    |                 |          |                   |
|  73591 |                 ABELL 3358 |   84.56676 | -20.62335 | 0.084 | 224.35 |  40.54 |    False |    True |                            |              ABELL 3358 |  73591 | ACT-CL J0538.2-2038 | PSZ2 G224.38-24.95 |                 |          |                   |
|  57834 |                 ABELL 1663 | -164.29298 |  -2.50379 | 0.084 | 308.67 |  60.69 |    False |    True |                            |              ABELL 1663 |  57834 | ACT-CL J1302.8-0230 | PSZ2 G308.64+60.26 |                 |          |                   |
|  68066 |                  Abell2420 |  -27.41249 | -12.16972 | 0.084 |  46.50 |  92.11 |     True |   False |                  Abell2420 |              ABELL 2420 |  68066 | ACT-CL J2210.3-1209 | PSZ2 G046.47-49.44 |           A2420 |          |                   |
