|   name |         ra |       dec |     z |  gal_l |   mass | complete | lowmass |        S-PLUS | CHANCES |                   Abell |             ACT-DR5 |               PSZ2 |         LoVoCCS | HIFLUGCS |           MeerKAT | WINGS |
|  57829 | -165.32478 |  -1.76073 | 0.084 | 306.68 |  65.13 |    False |    True |  SPLUS-n02s33 |         |              ABELL 1650 | ACT-CL J1258.7-0145 | PSZ2 G306.66+61.06 |           A1650 |    A1650 |                   |       |
|  62335 | -165.15474 |  -4.19150 | 0.084 | 306.74 |  56.66 |    False |    True |  SPLUS-n04s33 |         |              ABELL 1651 | ACT-CL J1259.3-0410 | PSZ2 G306.77+58.61 |           A1651 |    A1651 |                   |       |
|  75043 | -164.77751 | -21.59540 | 0.135 | 305.85 |  31.69 |    False |   False |  SPLUS-n17s31 |         |              ABELL 3538 |                     |                    |                 |          |                   |       |
|  62325 | -164.71944 |  -3.50115 | 0.084 | 307.67 |  21.45 |    False |   False |  SPLUS-n04s34 |         |              ABELL 1658 |                     |                    |                 |          |                   |       |
|  82673 | -164.68068 | -32.95391 | 0.203 | 305.31 |  49.70 |    False |   False |               |         |                         |                     |                    |                 |          |                   |       |
|  62373 | -164.60432 |  -6.84276 | 0.080 | 307.43 |  25.56 |    False |   False |  SPLUS-n06s34 |         |                         |                     |                    |                 |          |                   |       |
|  57834 | -164.29298 |  -2.50379 | 0.084 | 308.67 |  60.69 |    False |    True |  SPLUS-n03s34 |         |              ABELL 1663 | ACT-CL J1302.8-0230 | PSZ2 G308.64+60.26 |                 |          |                   |       |
|  75079 | -164.06728 | -24.25675 | 0.130 | 306.51 |  78.43 |    False |    True |  SPLUS-n19s22 |         |              ABELL 3541 |                     | PSZ2 G306.50+38.50 |                 |          |                   |       |
|  75072 | -163.93123 | -23.82751 | 0.349 | 306.71 |  70.53 |    False |   False |  SPLUS-n19s22 |         |                         |                     |                    |                 |          |                   |       |
|  62366 | -163.22452 |  -6.53321 | 0.227 | 309.92 |  50.42 |    False |   False |  SPLUS-n06s35 |         |                         |                     |                    |                 |          |                   |       |
|  62423 | -163.21836 |  -6.51763 | 0.226 | 309.94 |  51.98 |    False |   False |  SPLUS-n06s35 |         |                         |                     |                    |                 |          |                   |       |
|  86357 | -162.77493 | -41.71293 | 0.208 | 306.42 |  77.01 |    False |    True |               |         |                         |                     |                    |                 |          |                   |       |
|  57884 | -162.68563 |  -1.61648 | 0.083 | 312.13 |  25.31 |    False |   False |  SPLUS-n02s35 |         |                         |                     |                    |                 |          |                   |       |
|  75058 | -162.40822 | -23.07245 | 0.293 | 308.58 |  76.16 |    False |    True |  SPLUS-n18s33 |         |                         |                     |                    |                 |          |                   |       |
|  57879 | -162.12560 |  -1.33678 | 0.183 | 313.36 | 174.81 |     True |   False |  SPLUS-n02s36 |         |              ABELL 1689 | ACT-CL J1311.5-0119 | PSZ2 G313.33+61.13 |                 |    A1689 |                   |       |
|  86360 | -161.96911 | -41.95083 | 0.103 | 307.04 |  24.85 |    False |   False |               |         |                         |                     |                    |                 |          |                   |       |
|  79065 | -161.77101 | -29.97427 | 0.107 | 308.46 |  32.16 |    False |   False |               |         |              ABELL 3546 |                     |                    |                 |          |                   |       |
|  62425 | -161.46159 |  -6.99468 | 0.192 | 312.90 |  83.57 |    False |    True |  SPLUS-n06s37 |         |              ABELL 1698 |                     | PSZ2 G312.94+55.38 |                 |          |                   |       |
|  75021 | -161.38571 | -25.26042 | 0.246 | 309.48 | 101.39 |    False |    True |  SPLUS-n20s24 |         |                         |                     | PSZ2 G309.49+37.31 |                 |          | MCXC J1314.4-2515 |       |
|  62431 | -161.33653 |  -7.96268 | 0.215 | 312.85 |  49.67 |    False |   False |  SPLUS-n07s36 |         |                         |                     |                    |                 |          |                   |       |
|  75048 | -161.25034 | -22.10142 | 0.133 | 310.11 |  37.23 |    False |   False |  SPLUS-n17s34 |         |              ABELL 1699 |                     |                    |                 |          |                   |       |
|  86325 | -160.70582 | -38.36503 | 0.266 | 308.46 | 121.97 |    False |    True |               |         |                         |                     | PSZ2 G308.44+24.24 |                 |          |                   |       |
|  82752 | -160.03051 | -35.92369 | 0.274 | 309.37 |  71.75 |    False |   False |               |         |                         |                     |                    |                 |          |                   |       |
|  79097 | -159.90109 | -27.00200 | 0.120 | 310.85 |  27.60 |    False |   False |               |         |                         |                     |                    |                 |          |                   |       |
|  82743 | -159.59588 | -34.62807 | 0.141 | 309.95 |  33.32 |    False |   False |               |         |                         |                     |                    |                 |          |                   |       |
|  66773 | -159.38640 | -11.11368 | 0.435 | 315.08 | 118.52 |    False |    True |  SPLUS-n09s37 |         |                         |                     |                    |                 |          |                   |       |
|  53269 | -159.08103 |   4.72984 | 0.134 | 323.29 |  35.53 |    False |   False |  SPLUS-n04n38 |         |                         | ACT-CL J1323.6+0446 |                    |                 |          |                   |       |
|  62393 | -158.94071 |  -3.32831 | 0.240 | 318.76 |  66.78 |    False |   False |  SPLUS-n03s38 |         |              ABELL 1729 | ACT-CL J1324.2-0319 | PSZ2 G318.62+58.55 |                 |          |                   |       |
|  53273 | -158.90455 |   4.32331 | 0.263 | 323.39 |  63.43 |    False |   False |  SPLUS-n04n38 |         |                         | ACT-CL J1324.3+0419 |                    |                 |          |                   |       |
|  57852 | -158.24739 |   1.34186 | 0.079 | 322.72 |  18.23 |    False |   False |  SPLUS-n02n39 |         |                         |                     |                    |                 |          |                   |       |
|  57842 | -158.24460 |   2.22928 | 0.259 | 323.33 | 110.92 |    False |    True |  SPLUS-n03n39 |         |              ABELL 1733 | ACT-CL J1327.0+0212 | PSZ2 G323.30+63.66 |                 |          |                   |       |
|  53279 | -158.14857 |   3.63135 | 0.221 | 324.57 |  79.30 |    False |    True |  SPLUS-n04n39 |         |              ABELL 1743 | ACT-CL J1327.3+0337 |                    |                 |          |                   |       |
|  66776 | -157.90235 | -11.29579 | 0.335 | 317.28 | 102.32 |    False |    True |  SPLUS-n09s39 |         |                         |                     |                    |                 |          |                   |       |
|  53322 | -157.12319 |   4.90154 | 0.170 | 327.95 |  49.54 |    False |   False |  SPLUS-n05n40 |         |              ABELL 1753 | ACT-CL J1331.6+0452 |                    |                 |          |                   |       |
|  57957 | -157.07154 |  -1.86188 | 0.085 | 323.03 |  29.06 |    False |   False |  SPLUS-n02s39 |         |                         |                     | PSZ2 G322.77+59.52 |                 |          |                   |       |
|  75132 | -156.58302 | -23.28471 | 0.126 | 315.36 |  72.16 |    False |    True |  SPLUS-n18s37 |         |              ABELL 1757 |                     | PSZ2 G315.36+38.54 |                 |          |                   |       |
|  82820 | -155.61026 | -36.00608 | 0.125 | 313.29 |  38.29 |    False |   False |               |         |                         |                     |                    |                 |          |                   |       |
|  57956 | -154.72729 |  -1.85868 | 0.359 | 327.32 |  71.12 |    False |   False |  SPLUS-n02s41 |         |                         | ACT-CL J1340.9-0152 |                    |                 |          |                   |       |
|  57908 | -154.46382 |   2.22521 | 0.078 | 331.07 |  24.52 |    False |   False |  SPLUS-n03n41 |         |              ABELL 1773 |                     | PSZ2 G331.12+62.31 |                 |          |                   |       |
|  86390 | -153.68612 | -40.60215 | 0.122 | 313.85 |  35.26 |    False |   False |               |         |                         |                     |                    |                 |          |                   |       |
|  53344 | -153.48877 |   3.16166 | 0.232 | 333.86 |  55.70 |    False |   False |  SPLUS-n03n42 |         |                         |                     |                    |                 |          |                   |       |
|  75158 | -152.77082 | -25.43151 | 0.124 | 318.94 |  45.04 |    False |   False |  SPLUS-n20s29 |         |              ABELL 1791 |                     |                    |                 |          |                   |       |
|  66817 | -151.94980 |  -9.76187 | 0.203 | 326.77 |  79.04 |    False |    True |  SPLUS-n08s42 |         |              ABELL 1807 |                     | PSZ2 G326.71+50.30 |                 |          |                   |       |
|  66850 | -151.63400 | -12.07610 | 0.198 | 325.93 |  55.32 |    False |   False |  SPLUS-n10s42 |         |                         |                     |                    |                 |          |                   |       |
|  58022 | -151.40682 |  -1.03161 | 0.147 | 333.73 |  51.12 |    False |   False |  SPLUS-n02s44 |         |                         |                     |                    |                 |          |                   |       |
|  53390 | -151.36844 |   4.01875 | 0.257 | 338.77 |  75.21 |    False |    True |  SPLUS-n04n44 |         |              ABELL 1815 | ACT-CL J1354.5+0401 |                    |                 |          |                   |       |
|  58046 | -150.99917 |  -2.41048 | 0.193 | 333.25 |  51.17 |    False |   False |  SPLUS-n03s44 |         |                         |                     |                    |                 |          |                   |       |
|  82800 | -150.97841 | -34.35112 | 0.218 | 317.83 |  75.35 |    False |    True |               |         |                         |                     | PSZ2 G317.79+26.63 |                 |          |                   |       |
|  75219 | -150.34643 | -25.39612 | 0.161 | 321.52 |  39.59 |    False |   False |  SPLUS-n20s31 |         |              ABELL 1822 |                     |                    |                 |          |                   |       |
|  58049 | -149.98664 |  -2.67145 | 0.418 | 334.65 |  80.21 |    False |    True |  SPLUS-n03s45 |         |                         | ACT-CL J1400.0-0241 |                    |                 |          |                   |       |
|  53349 | -149.73888 |   2.88352 | 0.253 | 340.39 | 150.78 |     True |   False |  SPLUS-n03n45 |         |              ABELL 1835 | ACT-CL J1401.0+0252 | PSZ2 G340.36+60.58 |                 |          |                   |       |
|  62548 | -149.34948 |  -4.85291 | 0.131 | 333.87 |  33.81 |    False |   False |  SPLUS-n04s45 |         |              ABELL 1839 |                     |                    |                 |          |                   |       |
|  79188 | -148.77381 | -29.30636 | 0.343 | 321.61 |  71.75 |    False |   False |               |         |                         |                     |                    |                 |          |                   |       |
|  66910 | -148.55070 | -11.82288 | 0.255 | 330.20 |  57.50 |    False |   False |  SPLUS-n10s45 |         |                         |                     |                    |                 |          |                   |       |
|  66925 | -148.54843 | -13.54589 | 0.101 | 329.18 |  24.38 |    False |   False |  SPLUS-n11s45 |         |                         |                     |                    |                 |          |                   |       |
|  62538 | -148.00992 |  -4.31956 | 0.142 | 336.28 |  43.27 |    False |   False |  SPLUS-n04s46 |         |              ABELL 1858 |                     |                    |                 |          |                   |       |
|  79253 | -147.57005 | -30.83141 | 0.354 | 322.15 |  96.90 |    False |    True |               |         |                         |                     |                    |                 |          |                   |       |
