|                name |               Cluster Name |        ra |       dec |     z |  gal_l |  mass | complete | lowmass |                    CHANCES |                   Abell | CODEX |             ACT-DR5 |               PSZ2 |         LoVoCCS | HIFLUGCS |           MeerKAT |  m200 | c200 | r200 |  d200 |
| ACT-CL J0020.6-2543 |                 ABELL 0022 |   5.17490 | -25.71730 | 0.141 |  42.79 |  8.26 |     True |   False |                            |              ABELL 0022 | 76675 | ACT-CL J0020.6-2543 | PSZ2 G042.81-82.97 |                 |          | MCXC J0020.7-2542 | 11.87 | 4.12 | 2.13 | 13.85 |
| ACT-CL J0102.7+0108 |                      55229 |  15.68014 |   1.13817 | 0.143 | 128.87 |  3.00 |    False |   False |                            |                         | 55229 | ACT-CL J0102.7+0108 |                    |                 |          |                   |  4.32 | 4.06 | 1.52 |  9.76 |
| ACT-CL J0505.1-3219 |                 ABELL 3313 |  76.28046 | -32.32715 | 0.144 | 234.81 |  3.05 |    False |   False |                            |              ABELL 3313 | 81372 | ACT-CL J0505.1-3219 |                    |                 |          |                   |  4.39 | 4.06 | 1.53 |  9.77 |
| ACT-CL J0027.3-5014 |                 ABELL 2777 |   6.83348 | -50.24587 | 0.145 | 312.60 |  3.00 |    False |   False |                            |              ABELL 2777 | 91211 | ACT-CL J0027.3-5014 | PSZ2 G312.63-66.40 |                 |          | MCXC J0027.3-5015 |  4.32 | 4.06 | 1.52 |  9.66 |
| ACT-CL J0437.3-4554 |        ACT-CL J0437.3-4554 |  69.33328 | -45.90833 | 0.146 | 251.59 |  2.89 |    False |   False |                            |                         |       | ACT-CL J0437.3-4554 |                    |                 |          |                   |  4.17 | 4.07 | 1.50 |  9.47 |
| ACT-CL J0148.2-3155 |                 ABELL 2943 |  27.06609 | -31.92768 | 0.147 | 237.56 |  2.47 |    False |   False |                            |              ABELL 2943 | 80851 | ACT-CL J0148.2-3155 |                    |                 |          |                   |  3.56 | 4.09 | 1.42 |  8.94 |
| ACT-CL J0506.9+0256 |        ACT-CL J0506.9+0256 |  76.73330 |   2.93753 | 0.147 | 197.58 |  3.36 |    False |    True |                            |                         |       | ACT-CL J0506.9+0256 |                    |                 |          |                   |  4.84 | 4.05 | 1.58 |  9.87 |
| ACT-CL J0547.6-3152 |                 ABELL 3364 |  86.91024 | -31.87595 | 0.148 | 236.94 |  6.00 |    False |    True |                            |              ABELL 3364 | 81557 | ACT-CL J0547.6-3152 | PSZ2 G236.92-26.65 |                 |          |                   |  8.64 | 4.06 | 1.91 | 11.91 |
| ACT-CL J2217.7-3543 |                 ABELL 3854 | 334.43721 | -35.72320 | 0.149 |   8.46 |  4.88 |    False |    True |                            |              ABELL 3854 | 83922 | ACT-CL J2217.7-3543 | PSZ2 G008.47-56.34 |                 |          |                   |  7.03 | 4.04 | 1.78 | 11.06 |
| ACT-CL J2011.9-4129 |                 ABELL 3668 | 302.99424 | -41.49321 | 0.150 | 359.06 |  3.59 |    False |    True |                            |              ABELL 3668 | 87290 | ACT-CL J2011.9-4129 | PSZ2 G359.07-32.12 |                 |          |                   |  5.18 | 4.04 | 1.61 |  9.97 |
