|               name |        ra |       dec |    z |  mass |                    CHANCES |       S-PLUS |
| PSZ2 G355.07+46.20 | 226.02267 |  -2.79844 | 0.22 |  6.67 |           RXC J1504.1-0248 |           NO |
| PSZ2 G053.53+59.52 | 227.55461 |  33.49148 | 0.11 |  5.85 |                            |           NO |
| PSZ2 G006.49+50.56 | 227.72895 |   5.76810 | 0.08 |  7.04 |                            |           NO |
| PSZ2 G346.61+35.06 | 228.75242 | -15.35660 | 0.22 |  8.86 |           RXC J1514.9-1523 |           NO |
| PSZ2 G046.88+56.48 | 231.04689 |  29.91287 | 0.11 |  5.31 |                            |           NO |
| PSZ2 G044.20+48.66 | 239.60047 |  27.21225 | 0.09 |  8.77 |                            |           NO |
| PSZ2 G313.88-17.11 | 240.43891 | -75.75738 | 0.15 |  8.03 |                            |           NO |
| PSZ2 G006.76+30.45 | 243.95488 |  -6.15236 | 0.20 | 16.12 |                            |           NO |
| PSZ2 G315.68-18.04 | 247.83741 | -75.14374 | 0.10 |  6.42 |                            |           NO |
| PSZ2 G021.10+33.24 | 248.19887 |   5.59219 | 0.15 |  7.79 |                            |           NO |
| PSZ2 G097.72+38.12 | 248.97764 |  66.20231 | 0.17 |  6.59 |                            |           NO |
| PSZ2 G324.59-11.52 | 249.57886 | -64.35938 | 0.05 |  7.94 |                            |           NO |
| PSZ2 G072.62+41.46 | 250.09414 |  46.71028 | 0.23 | 11.69 |                            |           NO |
| PSZ2 G328.31-09.71 | 251.65086 | -60.39839 | 0.15 |  6.21 |                            |           NO |
| PSZ2 G110.98+31.73 | 256.10047 |  78.63247 | 0.06 |  6.21 |                            |           NO |
| PSZ2 G093.92+34.92 | 258.18452 |  64.05899 | 0.08 |  5.38 |                            |           NO |
| PSZ2 G055.59+31.85 | 260.61499 |  32.13541 | 0.22 |  7.78 |                            |           NO |
| PSZ2 G046.10+27.18 | 262.92730 |  22.87513 | 0.39 |  8.27 |                            |           NO |
| PSZ2 G332.87-19.26 | 273.30020 | -61.45892 | 0.15 |  5.92 |                            |           NO |
| PSZ2 G075.71+13.51 | 290.28986 |  43.97486 | 0.06 |  8.74 |                            |           NO |
| PSZ2 G347.17-27.36 | 293.72297 | -50.87800 | 0.24 |  7.19 |         PSZ2 G347.17-27.36 |           NO |
| PSZ2 G086.47+15.31 | 294.55455 |  54.17347 | 0.26 |  7.58 |                            |           NO |
| PSZ2 G018.54-25.69 | 300.86557 | -23.39151 | 0.32 |  8.99 |                            |           NO |
