|                name |         ra |       dec |     z |  gal_l |  mass | complete | lowmass |        S-PLUS |            CHANCES |                   Abell |               PSZ2 |
| ACT-CL J0027.6+0432 |    6.92086 |   4.53752 | 0.426 | 111.77 |  2.76 |    False |   False |               |                    |                         |                    |
| ACT-CL J0028.2-4826 |    7.06234 | -48.43909 | 0.387 | 313.34 |  2.39 |    False |   False |  SPLUS-s37s05 |                    |                         |                    |
| ACT-CL J0028.3+0316 |    7.08437 |   3.28221 | 0.362 | 111.66 |  2.66 |    False |   False |               |                    |                         |                    |
| ACT-CL J0028.8-3934 |    7.22492 | -39.56869 | 0.192 | 322.15 |  2.02 |    False |   False |  SPLUS-s31s05 |                    |                         |                    |
| ACT-CL J0029.0-3459 |    7.27165 | -34.98991 | 0.111 | 332.86 |  1.52 |    False |   False |  SPLUS-s27s05 |                    |                         |                    |
| ACT-CL J0029.8-1219 |    7.46241 | -12.32506 | 0.152 | 103.01 |  3.55 |    False |   False |               |                    |              ABELL 0045 |                    |
| ACT-CL J0030.0-2004 |    7.51113 | -20.08060 | 0.208 |  87.01 |  2.45 |    False |   False |  SPLUS-s16s06 |                    |              ABELL 2781 | PSZ2 G086.85-81.39 |
| ACT-CL J0030.3-3424 |    7.59165 | -34.41251 | 0.249 | 333.47 |  2.29 |    False |   False |  SPLUS-s27s06 |                    |              ABELL 2783 |                    |
| ACT-CL J0032.2+0100 |    8.06096 |   1.00557 | 0.387 | 112.84 |  2.41 |    False |   False | STRIPE82_0014 |                    |                         |                    |
| ACT-CL J0032.5-2242 |    8.12912 | -22.70812 | 0.330 |  77.77 |  3.86 |    False |   False |  SPLUS-s18s07 |                    |                         | PSZ2 G078.10-83.83 |
| ACT-CL J0032.5-0914 |    8.13757 |  -9.24999 | 0.130 | 108.04 |  2.80 |    False |   False |               |                    |                         |                    |
| ACT-CL J0032.5-1932 |    8.13883 | -19.54057 | 0.350 |  92.22 |  4.30 |    False |   False |  SPLUS-s15s07 |                    |                         |                    |
| ACT-CL J0033.8-5119 |    8.46250 | -51.33333 | 0.361 | 309.58 |  2.47 |    False |   False |  SPLUS-s40s05 |                    |                         |                    |
| ACT-CL J0033.8-0751 |    8.47006 |  -7.86527 | 0.306 | 109.94 |  5.45 |    False |    True |               |                    |              ABELL 0056 | PSZ2 G109.99-70.28 |
| ACT-CL J0034.2+0212 |    8.57287 |   2.20390 | 0.416 | 114.24 |  3.38 |    False |   False |               |                    |                         |                    |
| ACT-CL J0034.5+0225 |    8.62505 |   2.42285 | 0.388 | 114.40 |  8.12 |    False |    True |               |                    |                         | PSZ2 G114.39-60.16 |
| ACT-CL J0034.5-4318 |    8.63080 | -43.31605 | 0.396 | 313.79 |  2.71 |    False |   False |  SPLUS-s33s06 |                    |                         |                    |
| ACT-CL J0034.7-3831 |    8.69435 | -38.53053 | 0.438 | 318.89 |  2.29 |    False |   False |  SPLUS-s30s06 |                    |                         |                    |
| ACT-CL J0034.8-3411 |    8.70233 | -34.19854 | 0.397 | 328.72 |  2.84 |    False |   False |  SPLUS-s27s06 |                    |                         |                    |
