|     name |         Cluster Name |     z | d200 (arcmin) | N(<5r200) |                                                                                       Separations (arcmin) |                                                      Fraction of r200 included |                                                                                                   redshifts |                                                                                                                                        Names |
|    75206 |           ABELL 3578 | 0.038 |         30.83 |         2 |                                                                                                  10.9,16.4 |                                                                        7.0,5.8 |                                                                                                 0.037,0.038 |                                                                                                                               93213601,75203 |
|    61798 |                61798 | 0.038 |         21.89 |         1 |                                                                                                       46.6 |                                                                            2.6 |                                                                                                       0.032 |                                                                                                                                        61803 |
|    86371 |           ABELL 3570 | 0.038 |         26.11 |         1 |                                                                                                        0.9 |                                                                            5.3 |                                                                                                       0.038 |                                                                                                                                     93243008 |
| 93243008 |           ABELL 3570 | 0.038 |         24.61 |         1 |                                                                                                        0.9 |                                                                            4.7 |                                                                                                       0.038 |                                                                                                                                        86371 |
| 93193803 |             93193803 | 0.038 |         22.05 |         2 |                                                                                                   0.5,86.1 |                                                                        4.1,0.9 |                                                                                                 0.035,0.037 |                                                                                                                                  66875,66889 |
| 93221444 |               A0548W | 0.039 |         21.52 |         8 |                                                                     6.2,14.0,30.9,40.5,43.3,57.2,57.6,64.8 |                                                4.7,4.1,3.9,2.5,2.7,1.8,2.7,1.5 |                                                             0.042,0.041,0.041,0.039,0.039,0.040,0.040,0.040 |                                                                                           77694,77699,77692,77698,93221446,73569,77804,77800 |
| 93225109 |           ABELL 3733 | 0.039 |         23.32 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93221446 |               A0548W | 0.039 |         23.68 |         8 |                                                                   2.8,30.7,43.3,49.2,72.0,98.9,100.9,107.6 |                                                4.3,3.8,3.5,3.2,2.4,0.7,0.9,0.4 |                                                             0.039,0.041,0.039,0.042,0.041,0.040,0.040,0.040 |                                                                                           77698,77699,93221444,77694,77692,73569,77804,77800 |
|    77698 |               A0548W | 0.039 |         27.06 |         8 |                                                                    2.8,27.9,40.5,46.3,69.3,96.1,98.1,104.8 |                                                5.6,4.7,4.4,4.1,3.4,1.4,2.0,1.1 |                                                             0.039,0.041,0.039,0.042,0.041,0.040,0.040,0.040 |                                                                                        93221446,77699,93221444,77694,77692,73569,77804,77800 |
|    81719 |           ABELL 3381 | 0.039 |         19.93 |         1 |                                                                                                        2.3 |                                                                            5.7 |                                                                                                       0.039 |                                                                                                                                     93231510 |
|    82854 |          ABELL S0758 | 0.039 |         23.19 |         1 |                                                                                                      109.8 |                                                                            0.1 |                                                                                                       0.015 |                                                                                                                                     93233312 |
| 93231510 |           ABELL 3381 | 0.039 |         17.18 |         1 |                                                                                                        2.3 |                                                                            4.2 |                                                                                                       0.039 |                                                                                                                                        81719 |
| 93211321 |           ABELL 0533 | 0.039 |         18.38 |         3 |                                                                                              3.9,89.6,91.5 |                                                                    4.5,0.1,0.0 |                                                                                           0.045,0.041,0.042 |                                                                                                                         73414,93211323,73440 |
|    57380 |           ABELL 1139 | 0.039 |         23.17 |         1 |                                                                                                        3.0 |                                                                            5.4 |                                                                                                       0.040 |                                                                                                                                     93173009 |
| 93164212 |             93164212 | 0.039 |         21.75 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
|    77804 |               A0548E |  0.04 |         18.67 |         6 |                                                                              14.0,21.5,34.1,51.8,57.6,70.7 |                                                        2.8,2.6,3.1,1.9,1.7,1.0 |                                                                         0.040,0.040,0.041,0.042,0.039,0.041 |                                                                                                       77800,73569,77692,77694,93221444,77699 |
| 93173009 |           ABELL 1139 |  0.04 |         20.72 |         1 |                                                                                                        3.0 |                                                                            4.3 |                                                                                                       0.039 |                                                                                                                                        57380 |
|    66907 |           ABELL 1836 |  0.04 |         20.05 |         2 |                                                                                                  20.8,86.2 |                                                                        3.8,0.5 |                                                                                                 0.062,0.037 |                                                                                                                                  66902,66889 |
| 93225107 |          ABELL S0894 |  0.04 |         21.53 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
|    73569 |               A0548E |  0.04 |         28.19 |         8 |                                                                    13.3,21.5,26.9,51.1,57.2,71.2,96.1,98.9 |                                                4.5,6.4,5.9,4.1,3.9,3.0,1.7,1.8 |                                                             0.040,0.040,0.041,0.042,0.039,0.041,0.039,0.039 |                                                                                        77800,77804,77692,77694,93221444,77699,77698,93221446 |
| 93190503 |             93190503 |  0.04 |          16.3 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
|    77800 |               A0548E |  0.04 |         28.13 |         8 |                                                                  13.3,14.0,36.6,58.7,64.8,78.6,104.8,107.6 |                                                4.5,6.8,5.4,3.8,3.5,2.7,1.3,1.4 |                                                             0.040,0.040,0.041,0.042,0.039,0.041,0.039,0.039 |                                                                                        73569,77804,77692,77694,93221444,77699,77698,93221446 |
| 93190515 |             93190515 |  0.04 |         23.97 |         1 |                                                                                                        3.5 |                                                                            4.1 |                                                                                                       0.041 |                                                                                                                                        64466 |
|    64466 |                64466 | 0.041 |         28.63 |         1 |                                                                                                        3.5 |                                                                            5.8 |                                                                                                       0.040 |                                                                                                                                     93190515 |
|    77699 |               A0548W | 0.041 |         22.92 |         8 |                                                                    14.0,20.2,27.9,30.7,44.9,70.7,71.2,78.6 |                                                4.7,4.3,3.2,3.5,3.6,2.3,1.5,1.3 |                                                             0.039,0.042,0.039,0.039,0.041,0.040,0.040,0.040 |                                                                                        93221444,77694,77698,93221446,77692,77804,73569,77800 |
|    61427 |                61427 | 0.041 |         18.62 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
|    88901 |          ABELL S0566 | 0.041 |          18.6 |         2 |                                                                                                  21.2,52.9 |                                                                        2.9,1.9 |                                                                                                 0.041,0.048 |                                                                                                                            93251345,93251340 |
| 93251345 |          ABELL S0566 | 0.041 |         24.58 |         2 |                                                                                                  21.2,73.8 |                                                                        5.5,2.3 |                                                                                                 0.041,0.048 |                                                                                                                               88901,93251340 |
|    77692 |               A0548W | 0.041 |         19.42 |         8 |                                                                    24.9,26.9,30.9,34.1,36.6,44.9,69.3,72.0 |                                                3.3,2.5,3.1,3.4,2.2,2.3,1.0,1.1 |                                                             0.042,0.040,0.039,0.040,0.040,0.041,0.039,0.039 |                                                                                        77694,73569,93221444,77804,77800,77699,77698,93221446 |
|    64431 |   PSZ2 G151.86-75.04 | 0.041 |         31.73 |         2 |                                                                                                141.0,142.0 |                                                                        1.1,0.8 |                                                                                                 0.051,0.044 |                                                                                                                                  64354,68612 |
| 93211323 |   PSZ2 G225.18-33.61 | 0.041 |         17.95 |         3 |                                                                                              2.0,89.4,89.6 |                                                                    4.5,0.0,0.0 |                                                                                           0.042,0.045,0.039 |                                                                                                                         73440,73414,93211321 |
|    61823 |                61823 | 0.042 |         18.22 |         1 |                                                                                                       26.2 |                                                                            4.0 |                                                                                                       0.054 |                                                                                                                                        61827 |
| 93170608 |             93170608 | 0.042 |         16.55 |         1 |                                                                                                       34.8 |                                                                            2.2 |                                                                                                       0.043 |                                                                                                                                        55502 |
|    77694 |               A0548W | 0.042 |         21.79 |         8 |                                                                     6.2,20.2,24.9,46.3,49.2,51.1,51.8,58.7 |                                                4.8,3.9,4.3,2.3,2.5,2.1,3.1,1.8 |                                                             0.039,0.041,0.041,0.039,0.039,0.040,0.040,0.040 |                                                                                        93221444,77699,77692,77698,93221446,73569,77804,77800 |
|    73440 |   PSZ2 G225.18-33.61 | 0.042 |         19.71 |         3 |                                                                                              2.0,91.2,91.5 |                                                                    5.4,0.4,0.4 |                                                                                           0.041,0.045,0.039 |                                                                                                                      93211323,73414,93211321 |
|    75025 |          ABELL S0720 | 0.042 |         19.02 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93170303 |                A0147 | 0.043 |         20.26 |         1 |                                                                                                        3.0 |                                                                            4.2 |                                                                                                       0.044 |                                                                                                                                        55215 |
|    55502 |           ABELL 0295 | 0.043 |         22.15 |         1 |                                                                                                       34.8 |                                                                            4.6 |                                                                                                       0.042 |                                                                                                                                     93170608 |
|    60104 |                60104 | 0.043 |         20.34 |         1 |                                                                                                       59.4 |                                                                            1.3 |                                                                                                       0.015 |                                                                                                                                     93180606 |
|    70768 |                70768 | 0.043 |         21.56 |         2 |                                                                                                  61.6,63.4 |                                                                        1.1,0.9 |                                                                                                 0.015,0.016 |                                                                                                                            93203406,93193506 |
| 93170301 |                A0119 | 0.043 |         31.32 |         6 |                                                                            3.1,31.4,50.3,122.8,131.6,137.9 |                                                        4.8,6.1,6.6,1.1,1.4,0.9 |                                                                         0.044,0.044,0.044,0.016,0.050,0.052 |                                                                                                       55260,55264,55251,93170309,59809,59810 |
|    69329 |                69329 | 0.044 |         17.24 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93170421 |                A0168 | 0.044 |         23.51 |         2 |                                                                                                   1.2,20.6 |                                                                        4.7,4.7 |                                                                                                 0.045,0.045 |                                                                                                                                  55320,55327 |
|    55215 |                A0147 | 0.044 |         23.33 |         1 |                                                                                                        3.0 |                                                                            5.6 |                                                                                                       0.043 |                                                                                                                                     93170303 |
|    55260 |                A0119 | 0.044 |         31.83 |         6 |                                                                            3.1,31.5,47.4,123.0,134.0,140.4 |                                                        5.0,6.3,7.0,1.1,1.4,0.9 |                                                                         0.043,0.044,0.044,0.016,0.050,0.052 |                                                                                                    93170301,55264,55251,93170309,59809,59810 |
|    85077 |          ABELL S0555 | 0.044 |         25.43 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
|    55251 |                A0119 | 0.044 |         15.99 |         3 |                                                                                             47.4,50.3,67.5 |                                                                    1.0,0.9,0.6 |                                                                                           0.044,0.043,0.044 |                                                                                                                         55260,93170301,55264 |
| 93244623 |          ABELL S0917 | 0.044 |         21.46 |         1 |                                                                                                       85.3 |                                                                            1.2 |                                                                                                       0.050 |                                                                                                                                     93244637 |
|    55264 |                A0119 | 0.044 |         20.37 |         3 |                                                                                             31.4,31.5,67.5 |                                                                    2.2,2.2,2.1 |                                                                                           0.043,0.044,0.044 |                                                                                                                         93170301,55260,55251 |
|    68612 |                68612 | 0.044 |         21.38 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
|    73374 |   PSZ2 G219.89-34.39 | 0.044 |         19.52 |         3 |                                                                                             10.8,13.8,67.8 |                                                                    4.3,3.9,1.8 |                                                                                           0.035,0.056,0.065 |                                                                                                                         93211311,73376,73375 |
|    66935 |                66935 | 0.045 |         23.09 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
|    70804 |                A1644 | 0.045 |         21.08 |         2 |                                                                                                  59.5,60.4 |                                                                        1.5,1.3 |                                                                                                 0.048,0.046 |                                                                                                                               93203419,70798 |
| 93263701 |          ABELL S0861 | 0.045 |         25.24 |         2 |                                                                                                   1.4,81.5 |                                                                        4.7,2.7 |                                                                                                 0.051,0.064 |                                                                                                                                  93844,93841 |
|    73414 |           ABELL 0533 | 0.045 |         19.43 |         3 |                                                                                              3.9,89.4,91.2 |                                                                    5.1,0.4,0.3 |                                                                                           0.039,0.041,0.042 |                                                                                                                      93211321,93211323,73440 |
|    55320 |                A0168 | 0.045 |         24.99 |         2 |                                                                                                   1.2,21.8 |                                                                        5.3,5.0 |                                                                                                 0.044,0.045 |                                                                                                                               93170421,55327 |
|    57263 |                A0957 | 0.045 |         25.55 |         2 |                                                                                                  0.4,121.1 |                                                                        5.6,0.3 |                                                                                                 0.046,0.035 |                                                                                                                               93172809,57189 |
|    55327 |                A0168 | 0.045 |         20.47 |         2 |                                                                                                  20.6,21.8 |                                                                        3.5,3.2 |                                                                                                 0.044,0.045 |                                                                                                                               93170421,55320 |
|    86313 |           ABELL 3553 | 0.046 |         17.43 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93172809 |                A0957 | 0.046 |         22.78 |         1 |                                                                                                        0.4 |                                                                            4.4 |                                                                                                       0.045 |                                                                                                                                        57263 |
|    75150 |                75150 | 0.046 |         26.93 |         1 |                                                                                                       16.8 |                                                                            5.6 |                                                                                                       0.047 |                                                                                                                                     93213501 |
| 93231303 |          ABELL S0535 | 0.046 |         18.85 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93280911 |             93280911 | 0.046 |         15.96 |         2 |                                                                                                  70.6,78.2 |                                                                        0.3,0.1 |                                                                                                 0.037,0.027 |                                                                                                                            93290819,93280906 |
|    85130 |                A3376 | 0.046 |         28.91 |         1 |                                                                                                        2.2 |                                                                            5.4 |                                                                                                       0.047 |                                                                                                                                     93241301 |
|    70798 |                A1644 | 0.046 |         34.28 |         3 |                                                                                             1.1,60.4,140.1 |                                                                    5.6,5.3,0.7 |                                                                                           0.048,0.045,0.015 |                                                                                                                      93203419,70804,93203406 |
| 93216101 |             93216101 | 0.047 |          16.0 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93241301 |                A3376 | 0.047 |         26.42 |         1 |                                                                                                        2.2 |                                                                            4.5 |                                                                                                       0.046 |                                                                                                                                        85130 |
| 93213501 |             93213501 | 0.047 |         20.96 |         1 |                                                                                                       16.8 |                                                                            3.3 |                                                                                                       0.046 |                                                                                                                                        75150 |
| 93251340 |          ABELL S0574 | 0.048 |         21.64 |         2 |                                                                                                  52.9,73.8 |                                                                        3.0,1.4 |                                                                                                 0.041,0.041 |                                                                                                                               88901,93251345 |
| 93212601 |           ABELL 3429 | 0.048 |         17.55 |         1 |                                                                                                        3.4 |                                                                            4.7 |                                                                                                       0.049 |                                                                                                                                        74556 |
| 93203419 |                A1644 | 0.048 |         30.44 |         3 |                                                                                             1.1,59.5,141.0 |                                                                    4.4,4.4,0.3 |                                                                                           0.046,0.045,0.015 |                                                                                                                         70798,70804,93203406 |
|    79173 |           ABELL 3577 | 0.048 |         25.28 |         1 |                                                                                                        9.9 |                                                                            5.6 |                                                                                                       0.049 |                                                                                                                                        79172 |
| 93263802 |             93263802 | 0.048 |         22.83 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93244601 |          ABELL S0915 | 0.048 |         19.13 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
|    57738 |                57738 | 0.048 |         19.25 |         1 |                                                                                                       68.1 |                                                                            0.2 |                                                                                                       0.004 |                                                                                                                                     93163401 |
|    59097 |              IIZW108 | 0.048 |         26.75 |         1 |                                                                                                        4.3 |                                                                            2.3 |                                                                                                       0.013 |                                                                                                                                     93175729 |
| 93271105 |                A3395 | 0.049 |         27.55 |         2 |                                                                                                 24.9,116.2 |                                                                        5.5,1.2 |                                                                                                 0.051,0.053 |                                                                                                                                  95058,95101 |
|    79172 |           ABELL 3577 | 0.049 |         20.78 |         1 |                                                                                                        9.9 |                                                                            3.7 |                                                                                                       0.048 |                                                                                                                                        79173 |
|    74556 |           ABELL 3429 | 0.049 |         18.08 |         1 |                                                                                                        3.4 |                                                                            5.0 |                                                                                                       0.048 |                                                                                                                                     93212601 |
|    84070 |                A4059 | 0.049 |         35.98 |         2 |                                                                                                 70.6,103.5 |                                                                        6.4,3.1 |                                                                                                 0.057,0.050 |                                                                                                                                  84067,80613 |
|    52808 |   PSZ2 G257.51+57.54 | 0.049 |         22.37 |         1 |                                                                                                        2.6 |                                                                            1.2 |                                                                                                       0.005 |                                                                                                                                     93163105 |
|    80579 |                S0041 |  0.05 |         26.04 |         1 |                                                                                                        1.6 |                                                                            5.8 |                                                                                                       0.051 |                                                                                                                                     93230112 |
|    86315 |          ABELL S0721 |  0.05 |         24.28 |         1 |                                                                                                        8.0 |                                                                            5.0 |                                                                                                       0.051 |                                                                                                                                     93242911 |
|    80613 |                A2717 |  0.05 |         24.85 |         1 |                                                                                                      103.5 |                                                                            0.6 |                                                                                                       0.049 |                                                                                                                                        84070 |
|    59809 |                59809 |  0.05 |         17.66 |         1 |                                                                                                       11.5 |                                                                            3.5 |                                                                                                       0.052 |                                                                                                                                        59810 |
| 93244637 |          ABELL S0922 |  0.05 |         17.88 |         1 |                                                                                                       85.3 |                                                                            0.2 |                                                                                                       0.044 |                                                                                                                                     93244623 |
|    86349 |          ABELL S0727 | 0.051 |         22.56 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93230112 |                S0041 | 0.051 |         22.29 |         1 |                                                                                                        1.6 |                                                                            4.2 |                                                                                                       0.050 |                                                                                                                                        80579 |
