zbin,name,ra,dec,z,gal_l,mass,complete,lowmass,r200,d200,N_SPLUS,f_SPLUS,S-PLUS,CHANCES,Abell,WINGS,ACT-DR5,PSZ2,LoVoCCS,HIFLUGCS,MeerKAT
2,93173203,179.49561,-2.26903,0.021,277.17,0.42,False,False,0.73,27.92,9,13.2,SPLUS-n03s22,,,,,,,,
3,75025,-164.08176,-19.88271,0.042,306.86,1.05,False,False,0.98,19.02,5,15.8,SPLUS-n16s32,,ABELL S0720,,,,,,
3,86313,-160.75448,-37.16193,0.046,308.56,1.01,False,False,0.97,17.43,0,0.0,,,ABELL 3553,,,,,,
3,70916,-153.98157,-19.82512,0.035,319.51,1.1,False,False,1.0,23.34,7,14.7,SPLUS-n16s39,,ABELL S0741,,,,,,
3,93203701,-151.40384,-19.79984,0.034,322.59,0.31,False,False,0.65,15.39,3,14.5,SPLUS-n16s41,,ABELL S0752,,,,,,
3,93213601,-150.1923,-24.39218,0.037,322.08,0.9,False,False,0.93,20.51,6,16.3,SPLUS-n19s31,,,,,,,,
3,66907,-149.55839,-11.47646,0.04,329.08,1.04,False,False,0.98,20.05,5,14.3,SPLUS-n10s44,,ABELL 1836,,,,,,
3,93163901,-141.4473,3.69369,0.031,353.74,1.03,False,False,0.98,25.44,9,15.9,SPLUS-n04n51,,,,,,,,
3,93174301,-118.85742,-1.84742,0.032,8.94,0.79,False,False,0.9,22.98,0,0.0,,,,,,,,,
3,93215409,-42.08242,-23.23155,0.036,24.58,1.18,False,False,1.02,23.25,6,12.7,SPLUS-s18s23,,,,,,,,
3,93215615,-34.99763,-22.50186,0.032,28.1,1.14,False,False,1.01,25.96,8,13.6,SPLUS-s18s28,,ABELL S0963,,,,,,
3,93273701,-17.86173,-58.48449,0.035,328.67,0.74,False,False,0.88,20.16,6,16.9,SPLUS-s45s41,,,,ACT-CL J2248.0-5855,,,,
3,93216101,-3.86499,-23.98526,0.047,40.99,0.83,False,False,0.91,16.0,3,13.4,SPLUS-s19s49,,,,,,,,
3,93260109,1.41978,-50.09994,0.034,320.74,0.86,False,False,0.92,21.88,5,12.0,SPLUS-s39s02,,,,ACT-CL J0005.2-5027,,,,
3,55251,14.1423,-0.44927,0.044,125.79,0.71,False,False,0.86,15.99,3,13.5,STRIPE82_0021,A0119,,,,,,,
3,93190503,24.23584,-13.97463,0.04,164.1,0.57,False,False,0.8,16.3,0,0.0,,,,,,,,,
3,93170608,30.0778,-1.41733,0.042,158.53,0.68,False,False,0.85,16.55,2,8.4,STRIPE82_0043,,,,,,,,
3,93190806,45.07158,-10.79099,0.033,190.86,1.04,False,False,0.98,23.87,0,0.0,,,,,ACT-CL J0259.9-1023,,,,
3,93170901,48.59295,2.65214,0.038,177.77,1.07,False,False,0.99,21.38,0,0.0,,,,,ACT-CL J0313.2+0240,,,,
3,93201002,54.85194,-16.73851,0.035,206.85,0.41,False,False,0.72,16.51,0,0.0,,,,,,,,,
3,93181101,56.78515,-8.49846,0.033,197.2,0.79,False,False,0.9,22.07,0,0.0,,,,,,,,,
3,93251022,71.64676,-44.52929,0.034,249.71,0.78,False,False,0.89,21.55,5,12.3,SPLUS-s34s39,,ABELL S0497,,,,,,
3,93171313,73.02486,1.25906,0.03,197.07,0.79,False,False,0.9,24.3,0,0.0,,,,,,,,,
3,93211311,73.76272,-20.69734,0.035,220.4,0.73,False,False,0.87,20.04,0,0.0,,,,,ACT-CL J0454.7-2016,PSZ2 G219.89-34.39,,,
3,93211321,75.36246,-22.61093,0.039,223.17,0.75,False,False,0.88,18.38,0,0.0,,,ABELL 0533,,,,,,
3,93211309,75.92372,-20.36063,0.032,220.83,0.47,False,False,0.75,19.19,0,0.0,,,,,,,,,
3,93211323,75.98248,-23.9913,0.041,224.95,0.84,False,False,0.91,17.95,0,0.0,,,,,,PSZ2 G225.18-33.61,,,
3,73440,76.00875,-24.01487,0.042,224.99,1.17,False,False,1.02,19.71,0,0.0,,,,,,PSZ2 G225.18-33.61,,,
3,93201404,76.21267,-19.23387,0.03,219.7,0.39,False,False,0.71,19.08,0,0.0,,,,,,,,,
3,69329,79.60578,-15.55386,0.044,217.15,0.87,False,False,0.92,17.24,0,0.0,,,,,,,,,
3,93211401,79.92541,-25.00199,0.035,227.38,0.78,False,False,0.89,20.78,0,0.0,,,,,,,,,
3,73559,79.95176,-25.07184,0.035,227.47,1.1,False,False,1.0,23.13,0,0.0,,,,,,,,,
3,93221403,83.559,-30.62864,0.036,234.67,1.08,False,False,0.99,22.43,0,0.0,,,ABELL S0536,,ACT-CL J0536.0-3054,,,,
3,93221444,86.27201,-25.98547,0.039,230.51,1.18,False,False,1.02,21.52,2,4.9,A0548W_2021B,A0548W,,A0548b,,,,A0548w,
3,77692,86.70733,-25.65022,0.041,230.31,1.05,False,False,0.98,19.42,2,6.1,A0548W_2021B,A0548W,ABELL 0548,,,PSZ2 G230.28-24.42,,A0548w,Abell 548
3,93231413,87.12158,-33.08013,0.037,238.28,0.61,False,False,0.82,17.78,0,0.0,,,ABELL S0546,,,,,,
3,77804,87.31748,-25.79397,0.04,230.66,0.83,False,False,0.91,18.67,2,6.6,A0548E_2021B,A0548E,,,,PSZ2 G230.28-24.42,,A0548e,
3,93271006,90.31789,-58.59858,0.038,267.24,0.96,False,False,0.95,20.66,1,2.7,S0560_2022B,S0560,ABELL S0560,,ACT-CL J0600.7-5836,,,,MCXC J0600.8-5835
3,93280989,90.54805,-60.01706,0.037,268.87,0.75,False,False,0.88,19.35,1,3.1,,,,,,,,,
3,93280911,90.62065,-64.76098,0.046,274.32,0.8,False,False,0.9,15.96,3,13.5,MC0018,,,,,,,,
3,88901,91.79554,-45.07648,0.041,252.29,0.89,False,False,0.93,18.6,0,0.0,,,ABELL S0566,,ACT-CL J0607.6-4448,,,,
3,93231510,92.48755,-33.59644,0.039,240.3,0.61,False,False,0.82,17.18,0,0.0,,,ABELL 3381,,,,,,
3,81719,92.51074,-33.56296,0.039,240.27,0.95,False,False,0.95,19.93,0,0.0,,,ABELL 3381,,,,,,
3,93290801,92.67264,-67.75726,0.036,277.77,0.68,False,False,0.85,19.05,5,15.8,MC0043,,,,,,,,
3,92184,94.02203,-51.85901,0.037,260.03,1.12,False,False,1.0,22.32,0,0.0,,,ABELL S0580,,,,,,
3,93241407,96.26637,-37.34294,0.031,245.18,1.07,False,False,0.99,25.45,0,0.0,,,ABELL 3390,,,,,,
3,93281010,108.00673,-60.54771,0.033,271.3,0.91,False,False,0.94,23.28,0,0.0,,,,,,,,,MCXC J0712.0-6030
3,61427,129.212,-6.00012,0.041,231.21,0.89,False,False,0.93,18.62,0,0.0,,,,,,,,,
3,93212505,144.0862,-21.17663,0.036,253.56,0.54,False,False,0.79,17.66,0,0.0,,,,,,,,,
3,93212503,144.46931,-20.35051,0.035,253.18,1.09,False,False,1.0,23.26,0,0.0,,,ABELL S0617,,,,,,
3,93202606,148.25233,-15.93736,0.033,252.43,1.11,False,False,1.0,24.63,0,0.0,,,,,,,,,
3,93212601,149.89817,-24.95333,0.048,260.59,1.2,False,False,1.02,17.55,2,7.4,,,ABELL 3429,,,,,,
3,93202709,150.61341,-15.34033,0.031,253.8,0.88,False,False,0.93,24.03,4,7.9,SPLUS-n12s01,,ABELL 0911,,,,,,
3,57189,151.53602,-1.56867,0.035,241.98,0.9,False,False,0.93,21.7,6,14.6,SPLUS-n02s02,,,,ACT-CL J1004.8-0137,,,,
3,61823,155.15424,-4.56865,0.042,248.16,0.9,False,False,0.93,18.22,4,13.8,SPLUS-n04s04,,,,,,,,
3,61803,156.77106,-3.31906,0.032,248.43,0.94,False,False,0.95,24.12,5,9.8,SPLUS-n03s05,,,,,,,,
3,61798,157.5288,-3.14367,0.038,248.98,1.16,False,False,1.02,21.89,7,16.7,SPLUS-n03s06,,,,ACT-CL J1031.7-0302,,,,
3,93173009,164.65051,1.60502,0.04,251.5,1.14,False,False,1.01,20.72,6,16.0,SPLUS-n02n11,,ABELL 1139,,,,,,
3,93232703,171.29944,-35.38805,0.035,283.75,0.92,False,False,0.94,21.89,0,0.0,,,ABELL S0665,,,,,,
4,66986,-138.35882,-8.79709,0.065,344.79,2.63,False,False,1.32,17.18,4,15.5,SPLUS-n07s53,,ABELL 1964,,,,,,
4,93796,-65.10453,-53.13527,0.069,344.79,2.71,False,False,1.33,16.27,0,0.0,,,ABELL S0823,,,,,,
4,93841,-53.09711,-52.37941,0.064,346.23,2.43,False,False,1.29,16.81,0,0.0,,,,,,,,,
4,99182,-36.35023,-61.90106,0.056,331.88,1.53,False,False,1.11,16.32,0,0.0,,,ABELL 3782,,,,,,
4,63702,-34.32133,-6.83267,0.053,48.42,1.23,False,False,1.03,16.24,3,13.0,SPLUS-s06s02,,ABELL 2366,,,,,,
4,63778,-31.89284,-7.01187,0.06,49.87,1.31,False,False,1.05,14.63,3,16.1,SPLUS-s06s04,,,,,,,,
4,76356,-29.5559,-22.43558,0.069,30.31,3.31,False,False,1.43,17.33,4,15.3,SPLUS-s18s32,,ABELL S0987,,,,,,
4,84174,9.34682,-39.11816,0.063,315.78,1.82,False,False,1.17,15.5,3,14.3,SPLUS-s30s06,,ABELL 2799,,,,,,
4,64216,10.49399,-9.81745,0.055,115.14,1.13,False,False,1.0,15.12,1,5.0,A0085_2021B,A0085,ABELL 0087,,,PSZ2 G115.25-72.07,,,
4,64217,10.78993,-9.85979,0.055,116.09,1.14,False,False,1.01,15.29,1,4.9,A0085_2021B,A0085,ABELL 0087,,,PSZ2 G116.24-72.94,,,
4,64354,17.82397,-14.03945,0.051,143.41,1.09,False,False,0.99,15.98,0,0.0,,,ABELL 0157,,,,,,
4,77107,36.49013,-29.56372,0.06,225.19,1.19,False,False,1.02,14.21,0,0.0,,,ABELL S0258,,,,,,MCXC J0225.1-2928
4,51178,44.96555,3.57801,0.067,173.19,2.18,False,False,1.24,15.69,0,0.0,,,ABELL 0403,,,,,,
4,77232,47.86198,-26.9204,0.068,220.72,2.8,False,False,1.35,16.62,0,0.0,,A3094,ABELL 3094,,,PSZ2 G220.74-58.91,,,
4,60424,59.30907,-5.38074,0.067,195.3,1.68,False,False,1.14,14.39,0,0.0,,,,,,,,,
4,99823,65.88064,-68.66955,0.064,281.21,1.02,False,False,0.97,12.6,0,0.0,,,ABELL S0450,,,,,,
4,73318,69.72095,-22.11313,0.068,220.57,4.27,False,False,1.55,19.15,1,3.1,A0500_2020B,A0500,ABELL 0500,A0500,,PSZ2 G220.53-38.55,,,
4,73375,72.68426,-20.79288,0.065,220.1,2.22,False,False,1.25,16.25,0,0.0,,,,,,,,,
4,60705,74.54156,-7.59114,0.068,206.6,3.25,False,False,1.42,17.63,0,0.0,,,,,,,,,
4,95198,102.5623,-55.83064,0.051,265.55,1.31,False,False,1.05,16.99,0,0.0,,,,,,,,,
4,65983,139.5993,-12.38769,0.055,243.23,1.41,False,False,1.08,16.19,1,4.4,A0780_2021B,A0780,ABELL 0780,,,,A780,HYDRA-A,
4,66126,147.16399,-10.71003,0.068,247.16,1.49,False,False,1.09,13.55,0,0.0,,,,,,,,,
4,61754,151.68805,-6.36779,0.061,246.84,1.31,False,False,1.05,14.36,3,16.7,SPLUS-n06s02,,,,,,,,
4,93172804,155.11964,-2.62678,0.064,246.19,2.25,False,False,1.26,16.49,3,12.6,SPLUS-n03s04,,,,,,,,
4,57284,155.13706,-2.4641,0.063,246.04,2.27,False,False,1.26,16.83,3,12.1,SPLUS-n03s04,,,,,,,,
4,61827,155.45397,-4.88726,0.054,248.74,1.31,False,False,1.05,16.04,3,13.4,SPLUS-n05s05,,ABELL 0993,,,,,,
