zbin,name,Cluster Name,ra,dec,z,gal_l,mass,complete,lowmass,r200,d200,N_SPLUS,f_SPLUS,S-PLUS,CHANCES,WINGS,Abell,PSZ2,LoVoCCS,HIFLUGCS,MeerKAT
3,93201303,93201303,71.29897,-15.86895,0.036,213.9,1.68,False,True,1.15,25.97,0,0.0,,,,,,,,
3,95010,S0560,90.22685,-58.58243,0.037,267.22,1.59,False,True,1.13,24.55,1,0.08,S0560_2022B,S0560,,ABELL S0560,,,,MCXC J0600.8-5835
3,81439,ABELL 3341,81.39273,-31.59587,0.037,235.17,3.32,False,True,1.44,31.38,0,0.0,,,,ABELL 3341,,,,
3,93231308,ABELL 3341,81.36386,-31.57496,0.037,235.14,2.19,False,True,1.26,27.37,0,0.0,,,,ABELL 3341,,,,
3,69260,69260,71.29229,-15.85379,0.037,213.88,2.58,False,True,1.33,29.09,0,0.0,,,,,,,,
3,93290819,PSZ2 G275.45-28.87,92.22059,-65.72745,0.037,275.45,2.17,False,True,1.25,27.56,9,0.54,MC0027,,,,PSZ2 G275.45-28.87,,,
3,66889,66889,-148.86517,-10.21123,0.037,330.79,1.85,False,True,1.19,26.26,9,0.6,SPLUS-n09s45,,,,,,,
3,55691,ABELL 0451,55.17276,-2.65339,0.037,189.2,2.51,False,True,1.32,29.21,2,0.11,STRIPE82_0079,,,ABELL 0451,,,,
3,85141,ESO 306- G 017 GROUP,85.02079,-40.83635,0.037,246.41,4.2,False,True,1.56,34.24,0,0.0,,,,ESO 306- G 017 GROUP,PSZ2 G246.36-30.27,,S540,MCXC J0540.1-4050
3,86371,ABELL 3570,-153.2698,-37.8832,0.038,314.86,1.98,False,True,1.22,26.11,0,0.0,,,,ABELL 3570,,,,
3,93193803,93193803,-147.97198,-9.07716,0.038,332.75,1.24,False,True,1.04,22.05,7,0.66,SPLUS-n08s45,,,,,,,
3,93243008,ABELL 3570,-153.27143,-37.86752,0.038,314.86,1.72,False,True,1.16,24.61,0,0.0,,,,ABELL 3570,,,,
3,75206,ABELL 3578,-150.37005,-24.4759,0.038,321.85,3.25,False,True,1.43,30.83,10,0.48,SPLUS-n19s31,,,ABELL 3578,,,,
3,51187,51187,48.60555,2.67069,0.038,177.77,1.52,False,True,1.11,23.96,0,0.0,,,,,,,,
3,93290803,93290803,94.03913,-69.84442,0.038,280.17,1.37,False,True,1.07,23.2,6,0.51,MC0068,,,,,,,
3,75203,75203,-150.10028,-24.35737,0.038,322.19,1.46,False,True,1.1,23.78,7,0.57,SPLUS-n19s31,,,,,,,
3,93215401,ABELL 3744,-43.16545,-25.40061,0.038,21.49,1.27,False,True,1.05,22.68,7,0.62,SPLUS-s20s23,,,ABELL 3744,,,,
3,57380,ABELL 1139,164.60129,1.5955,0.039,251.45,1.56,False,True,1.12,23.17,6,0.51,SPLUS-n02n11,,,ABELL 1139,,,,
3,82854,ABELL S0758,-146.92296,-34.33599,0.039,321.38,1.5,False,True,1.11,23.19,0,0.0,,,,ABELL S0758,,,,
3,93164212,93164212,-126.88504,4.71256,0.039,9.91,1.29,False,True,1.05,21.75,0,0.0,,,,,,,,
3,93221446,A0548W,85.48569,-26.13328,0.039,230.41,1.58,False,True,1.13,23.68,2,0.16,A0548W_2021B,A0548W,,,,,,
3,93225109,ABELL 3733,-44.5722,-28.03629,0.039,17.76,1.5,False,True,1.11,23.32,5,0.42,SPLUS-s22s21,,,ABELL 3733,,,,
3,77698,A0548W,85.53684,-26.12276,0.039,230.41,2.37,False,True,1.29,27.06,2,0.13,A0548W_2021B,A0548W,,,,,,
3,93225107,ABELL S0894,-49.13977,-26.4657,0.04,18.39,1.31,False,True,1.06,21.53,0,0.0,,,,ABELL S0894,,,,
3,73569,A0548E,87.15959,-25.46585,0.04,230.27,2.95,False,True,1.39,28.19,2,0.12,A0548E_2021B,A0548E,,ABELL 0548,PSZ2 G230.28-24.42,,A0548e,Abell 548
3,77800,A0548E,87.3773,-25.56728,0.04,230.44,2.94,False,True,1.39,28.13,2,0.12,A0548E_2021B,A0548E,,,PSZ2 G230.28-24.42,,A0548e,
3,93190515,93190515,24.36946,-9.2411,0.04,156.38,1.84,False,True,1.19,23.97,0,0.0,,,,,,,,
3,93251345,ABELL S0566,91.2981,-45.03436,0.041,252.15,2.1,False,True,1.24,24.58,0,0.0,,,,ABELL S0566,,,,
3,64466,64466,24.32244,-9.20692,0.041,156.22,3.22,False,True,1.43,28.63,0,0.0,,,,,,,,
3,77699,A0548W,86.05548,-26.11417,0.041,230.57,1.66,False,True,1.14,22.92,2,0.17,A0548W_2021B,A0548W,,,,,A0548w,
3,64431,PSZ2 G151.86-75.04,20.23699,-13.85308,0.041,151.82,4.62,False,True,1.61,31.73,2,0.09,SPLUS-s13s15,,,,PSZ2 G151.86-75.04,,,
3,77694,A0548W,86.36978,-25.93235,0.042,230.49,1.55,False,True,1.12,21.79,2,0.19,A0548W_2021B,A0548W,A0548b,ABELL 0548,,,A0548w,Abell 548
3,93170303,A0147,17.03786,2.21866,0.043,131.4,1.32,False,True,1.06,20.26,2,0.22,A0147_2021B,A0147,A0147,ABELL 0147,,,,
3,55502,ABELL 0295,30.57455,-1.11818,0.043,159.05,1.73,False,True,1.16,22.15,2,0.19,STRIPE82_0045,,,ABELL 0295,,,,
3,60104,60104,32.69518,-6.58427,0.043,169.06,1.35,False,True,1.07,20.34,0,0.0,,,,,,,,
3,70768,70768,-167.35058,-14.43882,0.043,302.63,1.63,False,True,1.14,21.56,5,0.49,SPLUS-n12s31,,,,,,,
3,93170301,A0119,14.09652,-1.2869,0.043,125.77,5.09,False,True,1.66,31.32,7,0.33,A0119_in,A0119,A0119,ABELL 0119,PSZ2 G125.68-64.12,A119,A0119,
3,93170421,A0168,18.77347,0.32037,0.044,135.6,2.21,False,True,1.26,23.51,5,0.41,STRIPE82_0028,A0168,A0168,ABELL 0168,PSZ2 G135.76-62.03,,,MCXC J0115.2+0019
3,55215,A0147,17.04143,2.16859,0.044,131.42,2.16,False,True,1.25,23.33,2,0.17,A0147_2021B,A0147,A0147,ABELL 0147,,,,
3,55260,A0119,14.08043,-1.23728,0.044,125.73,5.61,False,True,1.72,31.83,7,0.32,A0119_in,A0119,A0119,ABELL 0119,PSZ2 G125.68-64.12,A119,A0119,
3,85077,ABELL S0555,89.29084,-37.47833,0.044,243.55,2.87,False,True,1.37,25.43,0,0.0,,,,ABELL S0555,,,,
3,93244623,ABELL S0917,-44.49832,-38.59012,0.044,4.06,1.73,False,True,1.16,21.46,4,0.4,SPLUS-s30s45,,,ABELL S0917,,,,
3,55264,A0119,13.59327,-1.4314,0.044,124.62,1.48,False,True,1.1,20.37,3,0.33,A0119_in,A0119,,,PSZ2 G125.68-64.12,,,
3,68612,68612,19.05526,-15.92544,0.044,151.36,1.72,False,True,1.16,21.38,3,0.3,SPLUS-s13s15,,,,,,,
3,73374,PSZ2 G219.89-34.39,73.8622,-20.54336,0.044,220.26,1.31,False,True,1.06,19.52,0,0.0,,,,,PSZ2 G219.89-34.39,,,
3,55327,A0168,18.6285,0.00887,0.045,135.42,1.62,False,True,1.13,20.47,4,0.44,STRIPE82_0028,A0168,,ABELL 0168,PSZ2 G135.76-62.03,,,MCXC J0115.2+0019
3,55320,A0168,18.77653,0.34097,0.045,135.59,2.89,False,True,1.38,24.99,6,0.44,STRIPE82_0028,A0168,A0168,ABELL 0168,PSZ2 G135.76-62.03,,,MCXC J0115.2+0019
3,73414,ABELL 0533,75.42997,-22.59081,0.045,223.17,1.35,False,True,1.07,19.43,0,0.0,,,,ABELL 0533,,,,
3,57263,A0957,153.44499,-0.91254,0.045,242.92,3.12,False,True,1.41,25.55,8,0.56,A0957_need,A0957,A0957,ABELL 0957,PSZ2 G243.02+42.87,,,
3,70804,A1644,-166.21254,-18.24891,0.045,304.17,1.7,False,True,1.15,21.08,5,0.52,SPLUS-n14s32,A1644,,ABELL 3529,,,,
3,66935,66935,-144.96676,-9.36847,0.045,336.48,2.22,False,True,1.26,23.09,6,0.52,SPLUS-n08s47,,,,,,,
3,93263701,ABELL S0861,-55.26669,-52.70208,0.045,345.84,2.96,False,True,1.39,25.24,0,0.0,,,,ABELL S0861,PSZ2 G345.82-34.29,,,
3,93172809,A0957,153.4519,-0.91429,0.046,242.93,2.28,False,True,1.27,22.78,8,0.71,A0957_need,A0957,A0957,ABELL 0957,PSZ2 G243.02+42.87,,,
3,75150,75150,-158.19661,-24.85574,0.046,313.15,3.76,False,True,1.5,26.93,7,0.44,SPLUS-n19s26,,,,,,,
3,93231303,ABELL S0535,83.30306,-36.33081,0.046,240.97,1.3,False,True,1.05,18.85,0,0.0,,,,ABELL S0535,,,,
3,85130,A3376,90.41714,-39.99367,0.046,246.51,4.82,False,True,1.63,28.91,1,0.05,A3376_2020B,A3376,,ABELL 3376,PSZ2 G246.50-26.09,,A3376,MCXC J0601.7-3959
3,93241301,A3376,90.37129,-40.00258,0.047,246.51,3.82,False,True,1.51,26.42,1,0.07,A3376_2020B,A3376,A3376,ABELL 3376,PSZ2 G246.50-26.09,,A3376,MCXC J0601.7-3959
3,93213501,93213501,-158.04362,-24.61274,0.047,313.37,1.91,False,True,1.2,20.96,6,0.63,SPLUS-n19s26,,,,,,,
3,59097,IIZW108,-41.51287,2.55329,0.048,53.52,4.37,False,True,1.58,26.75,2,0.13,STRIPE82_0114,,IIZW108,,PSZ2 G053.55-29.85,,IIZw108,
3,57738,57738,-168.69604,1.81996,0.048,299.3,1.62,False,True,1.13,19.25,4,0.49,SPLUS-n02n31,,,,,,,
3,93244601,ABELL S0915,-44.69494,-41.17962,0.048,0.61,1.58,False,True,1.12,19.13,3,0.38,SPLUS-s32s43,,,ABELL S0915,,,,
3,93251340,ABELL S0574,93.03784,-44.98723,0.048,252.42,2.19,False,True,1.25,21.64,0,0.0,,,,ABELL S0574,,,,
3,79173,ABELL 3577,-151.70351,-28.03405,0.048,319.18,3.6,False,True,1.48,25.28,0,0.0,,,,ABELL 3577,,,,
3,93203419,A1644,-165.67686,-17.3992,0.048,304.92,6.29,False,True,1.78,30.44,10,0.49,A1644_in,A1644,A1644,ABELL 1644,PSZ2 G304.91+45.43,A1644,A1644,
3,93263802,93263802,-43.80732,-51.87012,0.048,346.34,2.68,False,True,1.34,22.83,6,0.53,SPLUS-s40s36,,,,,,,
