zbin,name,ra,dec,z,gal_l,mass,complete,lowmass,S-PLUS,CHANCES,Abell,CODEX,ACT-DR5,LoVoCCS,HIFLUGCS,MeerKAT,m200,c200,r200,d200
3,PSZ2 G271.53-56.57,41.3687,-53.04224,0.3,271.54,9.14,False,True,SPLUS-s41s20,PSZ2 G271.53-56.57,ABELL S0295,91486,ACT-CL J0245.5-5302,,,PSZ1 G271.48-56.5,13.0,4.32,2.07,7.51
3,PSZ2 G210.08-60.96,44.41812,-22.1627,0.322,210.09,8.17,False,True,,,ABELL 0402,73057,ACT-CL J0257.7-2209,,,MCXC J0257.6-2209,11.64,4.29,1.98,6.84
3,PSZ2 G294.68-37.01,45.99101,-77.90321,0.274,294.68,9.43,False,True,,,,,,,,MCXC J0303.7-7752,13.42,4.3,2.12,8.17
3,PSZ2 G223.93-60.10,46.75288,-28.68437,0.254,223.94,9.39,False,True,,PSZ2 G223.93-60.10,ABELL 3088,77253,ACT-CL J0307.0-2840,,,,13.4,4.28,2.13,8.7
3,PSZ2 G215.24-26.10,80.1758,-13.46901,0.336,215.25,8.42,False,True,,,,65279,ACT-CL J0520.7-1328,,,PSZ1 G215.29-26.0,11.98,4.32,1.99,6.68
3,PSZ2 G244.37-32.15,82.20119,-39.47749,0.284,244.38,9.99,False,True,,PSZ2 G244.37-32.15,,85000,ACT-CL J0528.8-3927,,,MCXC J0528.9-3927,14.22,4.34,2.15,8.09
3,PSZ2 G241.76-30.88,83.23167,-37.03963,0.271,241.76,9.45,False,True,,PSZ2 G241.76-30.88,,84952,ACT-CL J0532.9-3701,,,,13.45,4.3,2.12,8.26
3,PSZ2 G239.43+47.95,155.92402,4.16626,0.285,239.43,8.8,False,True,SPLUS-n04n05,ZwCl 1021.0+0426,,52661,ACT-CL J1023.6+0411,,,,12.56,4.28,2.06,7.74
3,PSZ2 G266.83+25.08,155.97147,-27.25218,0.254,266.83,9.94,False,True,HYDRA_0034,PSZ2 G266.83+25.08,ABELL 3444,78664,,,,,14.14,4.3,2.17,8.84
3,PSZ2 G000.77-35.69,307.97284,-40.59873,0.342,0.78,8.54,False,True,,RXC J2031.8-4037,,87341,ACT-CL J2031.8-4037,,,,12.16,4.33,1.99,6.63
3,PSZ2 G077.20-65.45,355.3344,-9.01862,0.251,77.2,5.54,False,True,SPLUS-s08s24,,ABELL 2645,68289,ACT-CL J2341.2-0901,,,MCXC J2341.2-0901,7.96,4.1,1.79,7.38
4,PSZ2 G241.11-28.68,85.73781,-35.98426,0.42,241.11,9.93,False,True,,PSZ2 G241.11-28.68,,81661,ACT-CL J0542.9-3559,,,,14.0,4.54,2.03,5.92
4,PSZ2 G257.09+55.61,168.9493,1.49612,0.35,257.09,9.26,False,True,SPLUS-n02n14,MACS J1115.9+0129,,57482,ACT-CL J1115.8+0129,,,,13.13,4.39,2.04,6.67
4,PSZ2 G012.59-20.10,292.97823,-26.56664,0.352,12.59,9.41,False,True,,MACS J1931.8-2638,,,ACT-CL J1931.8-2634,,,,13.35,4.4,2.05,6.68
4,PSZ2 G348.90-67.37,351.28438,-41.21183,0.358,348.91,9.7,False,True,SPLUS-s32s63,PSZ2 G348.90-67.37,ABELL S1121,87763,ACT-CL J2325.2-4111,,,PSZ2 G348.90-67.3,13.74,4.43,2.06,6.65
