zbin,name,Cluster Name,ra,dec,z,gal_l,mass,complete,lowmass,CHANCES,Abell,CODEX,ACT-DR5,PSZ2,LoVoCCS,HIFLUGCS,MeerKAT,m200,c200,r200,d200
1,PSZ2 G198.47-23.69,56036,75.34242,1.15538,0.125,198.48,4.9,False,True,,,56036,ACT-CL J0501.4+0110,PSZ2 G198.47-23.69,,,,7.05,4.04,1.8,12.99
1,PSZ2 G315.36+38.54,ABELL 1757,203.42017,-23.30417,0.126,315.36,5.24,False,True,,ABELL 1757,75132,,PSZ2 G315.36+38.54,,,,7.55,4.04,1.84,13.14
1,PSZ2 G282.12+54.04,ABELL 1448,180.72976,-6.85829,0.127,282.12,6.28,False,True,,ABELL 1448,62255,,PSZ2 G282.12+54.04,,,,9.05,4.06,1.96,13.91
1,PSZ2 G306.50+38.50,ABELL 3541,195.9278,-24.28065,0.129,306.51,5.77,False,True,,ABELL 3541,75079,,PSZ2 G306.50+38.50,,,,8.31,4.05,1.9,13.34
1,PSZ2 G039.98-53.12,ACT-CL J2216.9-1725,334.23695,-17.40761,0.13,39.98,4.69,False,True,,,,ACT-CL J2216.9-1725,PSZ2 G039.98-53.12,,,,6.76,4.04,1.77,12.34
1,PSZ2 G282.67+20.83,86086,168.5496,-38.18372,0.131,282.68,6.0,False,True,,,86086,,PSZ2 G282.67+20.83,,,,8.64,4.06,1.92,13.34
1,PSZ2 G044.07-59.30,ABELL 2478,341.13824,-17.71689,0.132,44.07,4.09,False,True,,ABELL 2478,,,PSZ2 G044.07-59.30,,,,5.9,4.04,1.69,11.6
1,PSZ2 G256.38+44.04,ABELL 1084,161.13657,-7.05995,0.134,256.38,4.3,False,True,,ABELL 1084,61933,,PSZ2 G256.38+44.04,,,,6.19,4.04,1.72,11.65
1,PSZ2 G039.32-59.88,ABELL 2474,340.7698,-20.16404,0.136,39.32,4.31,False,True,,ABELL 2474,,ACT-CL J2243.0-2010,PSZ2 G039.32-59.88,,,,6.2,4.04,1.72,11.53
1,PSZ2 G167.98-59.95,ABELL 0329,33.68422,-4.58562,0.139,167.99,5.81,False,True,,ABELL 0329,60076,ACT-CL J0214.7-0432,PSZ2 G167.98-59.95,,,,8.37,4.06,1.9,12.46
