zbin,name,ra,dec,z,gal_l,mass,complete,lowmass,S-PLUS,CHANCES,Abell,WINGS,ACT-DR5,PSZ2,LoVoCCS,HIFLUGCS,MeerKAT
4,80579,6.37851,-33.0449,0.05,344.81,4.34,False,True,SPLUS-s26s05,S0041,ABELL S0041,,,PSZ2 G344.99-81.88,,,
4,93230112,6.37937,-33.01798,0.051,344.94,2.87,False,True,SPLUS-s26s05,S0041,ABELL S0041,,ACT-CL J0023.2-3251,PSZ2 G344.99-81.88,,,
4,55182,8.55185,-2.12715,0.065,112.83,2.9,False,True,,,,,,PSZ2 G113.02-64.68,RXCJ0034.2-0204,,
4,93170203,8.65106,-2.16165,0.057,113.05,3.16,False,True,,,,,,PSZ2 G113.02-64.68,RXCJ0034.6-0208,,
4,87943,16.02276,-42.84223,0.054,294.45,1.71,False,True,SPLUS-s33s10,,ABELL S0120,,ACT-CL J0103.6-4250,,,,
4,68515,17.20479,-15.41234,0.053,142.83,4.1,False,True,SPLUS-s13s13,A0151,ABELL 0151,A0151,,PSZ2 G143.00-77.70,,,
4,68516,17.21825,-15.63427,0.054,143.22,2.46,False,True,SPLUS-s13s13,A0151,ABELL 0151,,,PSZ2 G143.00-77.70,,,
4,88079,34.17164,-47.81799,0.064,269.82,2.63,False,True,SPLUS-s37s18,,ABELL S0239,,ACT-CL J0216.2-4816,,,,MCXC J0216.3-4816
4,77099,36.28497,-29.47317,0.061,224.94,3.47,False,True,,,ABELL S0258,,,,,,MCXC J0225.1-2928
4,77311,62.05766,-30.91464,0.06,230.18,3.77,False,True,SPLUS-s24s40,A3223,ABELL 3223,,,PSZ2 G230.29-47.13,,,
4,73371,72.0632,-20.47419,0.069,219.5,5.04,False,True,,,ABELL 0514,,,PSZ2 G219.45-35.90,A514,,
4,93241110,75.14084,-38.67012,0.054,242.4,2.52,False,True,SPLUS-s30s44,A3301,ABELL 3301,,,PSZ2 G242.41-37.40,,,
4,84897,75.19086,-38.68486,0.054,242.42,3.45,False,True,SPLUS-s30s44,A3301,ABELL 3301,,,PSZ2 G242.41-37.40,,,
4,84901,75.37919,-38.82643,0.053,242.62,1.81,False,True,,A3301,ABELL 3301,,,PSZ2 G242.41-37.40,,,
4,92012,91.79487,-49.48532,0.053,257.12,1.86,False,True,,,ABELL 3380,,,,,,MCXC J0607.0-4928
4,95058,96.15501,-54.32505,0.051,263.0,2.23,False,True,A3391_2022B,A3395,ABELL 3395,,,PSZ2 G263.19-25.19,A3395,A3395s,MCXC J0627.2-5428
4,95101,98.3592,-56.21471,0.053,265.33,1.58,False,True,,,,,,PSZ2 G265.21-24.83,,,MCXC J0631.3-5610
4,66215,154.14847,-10.62652,0.059,252.83,3.32,False,True,SPLUS-n09s04,A0970,ABELL 0970,,,PSZ2 G253.04+36.83,,,
4,66214,154.33512,-10.68245,0.06,253.04,6.08,False,True,SPLUS-n09s04,A0970,ABELL 0970,A0970,,PSZ2 G253.04+36.83,,,
4,61873,155.00027,-7.88964,0.053,251.15,1.67,False,True,SPLUS-n07s04,,ABELL 0979,,,,,,
4,61853,155.12434,-6.52065,0.054,250.0,2.44,False,True,SPLUS-n06s05,,ABELL 0978,,,,,,
4,78656,156.30867,-26.59525,0.052,266.67,1.42,False,True,HYDRA_0034,,,,,,,,
4,66256,159.93188,-8.68339,0.065,256.59,3.74,False,True,SPLUS-n07s08,A1069,ABELL 1069,A1069,,PSZ2 G256.67+42.05,,,
4,66274,162.05665,-9.98217,0.053,259.89,1.55,False,True,SPLUS-n08s09,,,,,,,,
4,74717,166.37774,-21.09375,0.064,272.25,2.71,False,True,SPLUS-n17s12,,ABELL 1163,,,,,,
4,74741,166.83642,-22.99425,0.062,273.81,3.23,False,True,SPLUS-n18s12,,ABELL S0651,,,,,,
4,82540,176.32998,-34.42533,0.069,287.73,5.18,False,True,A3490_2022B,A3490,ABELL 3490,A3490,,PSZ2 G287.72+26.46,,,
