Cluster Name,RA_J2000,Dec_J2000,z,m200,MergedCat,TargetList,Jan25upload,PSZ2_idx,PSZ2,ACT-DR5_idx,ACT-DR5,SPT-SZ_idx,SPT-SZ,MCXC_idx,MCXC,DECam,S-PLUS,CODEX-DECALS_idx,CODEX-DECALS,MeerKAT_idx,MeerKAT,MKDiffuse_idx,MKDiffuse,XMM_idx,XMM,HIFLUGCS_idx,HIFLUGCS,MENeaCS_idx,MENeaCS,LoVoCCS_idx,LoVoCCS,CLASH-VLT_idx,CLASH-VLT,m500_PSZ2,m500_PSZ2_corr,m500_ACT,m500_SPT,m500_MCXC,m500_MCXC_corr,m500_CODEX,m500,c200,r200,d200,N_first,N_tgss,N_spec,N_spec_z,5d200
Abell1300,172.977,-19.928,0.306,17.09,True,True,True,292,PSZ2 G278.58+39.16,-99,,-99,,283,J1131.9-1955,DR10,YES,1250,126825,-99,,-99,,-99,,-99,,-99,,-99,,-99,,8.97,12.10,-1.00,-1.00,7.60,11.50,14.81,12.10,4.50,2.26,8.10,0,17,393,315,0.67
PSZ2 G286.98+32.90,177.705,-28.077,0.39,27.25,True,True,True,311,PSZ2 G286.98+32.90,-99,,-99,,-99,,DR10,NO,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,14.69,19.82,-1.00,-1.00,-1.00,-1.00,-1.00,19.82,5.18,2.56,7.82,0,37,1051,263,0.65
Abell1437,180.109,3.348,0.134,10.75,True,True,False,284,PSZ2 G273.59+63.27,-99,,-99,,291,J1200.4+0320,DR10,YES,725,107608,-99,,-99,,-99,,-99,,-99,,-99,,-99,,5.54,7.47,-1.00,-1.00,4.12,6.23,8.07,7.47,4.09,2.07,14.02,378,74,5374,1104,1.17
MACS J1206.2-0847,181.551,-8.8,0.441,20.92,True,True,True,302,PSZ2 G284.41+52.45,-99,,-99,,298,J1206.2-0848,DR10,YES,1068,119638,-99,,-99,,-99,,-99,,-99,,-99,,9,MACSJ1206-08,11.18,15.08,-1.00,-1.00,8.40,12.72,14.06,15.08,4.97,2.30,6.52,0,6,1236,853,0.54
Abell1650,194.675,-1.759,0.0845,11.60,True,True,False,343,PSZ2 G306.66+61.06,724,ACT-CL J1258.7-0145,-99,,318,J1258.6-0145,DR10,YES,858,111941,-99,,-99,,-99,,31,A1650,19,A1650,12,A1650,-99,,4.45,6.00,8.05,-1.00,4.12,6.24,11.08,8.05,4.07,2.16,21.92,907,188,14705,4431,1.83
Abell1651,194.867,-4.201,0.0845,9.20,True,True,False,344,PSZ2 G306.77+58.61,726,ACT-CL J1259.3-0410,-99,,320,J1259.3-0411,DR10,YES,953,115913,-99,,-99,,-99,,32,A1651,20,A1651,6,A1651,-99,,5.07,6.84,6.38,-1.00,4.39,6.65,11.40,6.38,4.04,2.00,20.29,752,147,7679,3029,1.69
Abell1689,197.875,-1.335,0.1832,19.95,True,True,True,356,PSZ2 G313.33+61.13,731,ACT-CL J1311.5-0119,-99,,326,J1311.5-0120,DR10,YES,859,111986,-99,,-99,,-99,,-99,,54,A1689,-99,,-99,,8.77,11.83,14.06,-1.00,8.39,12.70,21.73,14.06,4.41,2.50,13.09,321,76,6588,1171,1.09
RXC J1314.4-2515,198.617,-25.261,0.244,12.93,True,True,False,351,PSZ2 G309.49+37.31,-99,,-99,,328,J1314.4-2515,DR10,YES,1372,127032,39,MCXC J1314.4-2515,51,RXC J1314.4-2525,-99,,-99,,-99,,-99,,-99,,6.72,9.06,-1.00,-1.00,6.94,10.50,11.02,9.06,4.25,2.11,8.88,0,35,495,220,0.74
RXC J1347.5-1144,206.877,-11.753,0.4516,-1.00,True,True,True,-99,,-99,,-99,,-99,,DR10,YES,-99,,-99,,-99,,-99,,-99,,96,RXJ1347,-99,,11,RXJ1347-1145,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,0,0,0,0,-0.08
Abell1835,210.218,2.878,0.252,21.40,True,True,True,400,PSZ2 G340.36+60.58,761,ACT-CL J1401.0+0252,-99,,345,J1401.0+0252,DR10,YES,761,107933,-99,,-99,,-99,,-99,,83,A1835,-99,,-99,,9.75,13.15,15.23,-1.00,10.50,15.89,20.78,15.23,4.59,2.49,10.23,167,37,2621,366,0.85
AbellS780,224.872,-18.187,0.236,14.96,True,True,False,402,PSZ2 G340.94+35.07,-99,,-99,,363,J1459.4-1811,DR10,YES,1243,123653,-99,,-99,,-99,,-99,,-99,,-99,,-99,,7.80,10.52,-1.00,-1.00,8.62,13.04,13.27,10.52,4.31,2.22,9.59,0,29,70,17,0.80
RXC J1514.9-1523,228.742,-15.386,0.2226,16.96,True,True,True,413,PSZ2 G346.61+35.06,-99,,-99,,369,J1514.9-1523,DR10,NO,1220,123638,-99,,-99,,-99,,-99,,-99,,-99,,-99,,8.86,11.95,-1.00,-1.00,5.42,8.21,10.38,11.95,4.36,2.33,10.50,0,41,109,25,0.87
Abell2163,243.955,-6.152,0.206,30.27,True,True,True,12,PSZ2 G006.76+30.45,-99,,-99,,379,J1615.7-0608,DR10,NO,987,116445,-99,,-99,,-99,,49,A2163,88,A2163,-99,,-99,,16.12,21.74,-1.00,-1.00,11.05,16.73,21.70,21.74,4.84,2.85,13.60,0,101,768,489,1.13
RXC J2031.8-4037,307.965,-40.621,0.341,14.83,True,True,True,2,PSZ2 G000.77-35.69,833,ACT-CL J2031.8-4037,141,SPT-CL J2031-4037,425,J2031.8-4037,DR10,NO,1640,137700,-99,,-99,,-99,,-99,,-99,,-99,,-99,,6.33,8.54,10.49,9.83,6.62,10.03,12.89,10.49,4.45,2.13,7.09,0,14,311,67,0.59
Abell3695,308.706,-35.825,0.089,8.10,True,True,False,11,PSZ2 G006.68-35.55,-99,,-99,,429,J2034.7-3548,DR10,NO,-99,,-99,,-99,,-99,,-99,,-99,,16,A3695,-99,,4.17,5.62,-1.00,-1.00,3.73,5.65,-1.00,5.62,4.03,1.91,18.53,0,92,1197,691,1.54
MACS J2140.2-2339,325.062,-23.661,0.313,7.59,True,True,True,-99,,890,ACT-CL J2140.2-2339,-99,,460,J2140.2-2339,DR10,YES,-99,,-99,,-99,,-99,,-99,,-99,,-99,,3,MS2137-2353,-1.00,-1.00,5.28,-1.00,4.70,7.11,-1.00,5.28,4.12,1.72,6.07,0,20,254,49,0.51
Abell3822,328.528,-57.863,0.076,5.32,True,True,False,395,PSZ2 G335.58-46.44,902,ACT-CL J2154.0-5751,-99,,469,J2154.1-5751,DR10,YES,1825,145542,-99,,-99,,-99,,-99,,-99,,30,A3822,-99,,4.19,5.65,3.69,-1.00,3.05,4.62,6.19,3.69,4.05,1.67,18.66,0,0,1921,1129,1.56
Abell3827,330.469,-59.939,0.098,12.46,True,True,False,391,PSZ2 G332.23-46.37,909,ACT-CL J2201.8-5956,157,SPT-CL J2201-5956,474,J2201.9-5956,DR10,YES,-99,,-99,,-99,,-99,,-99,,-99,,4,A3827,-99,,5.77,7.78,8.67,9.62,4.59,6.95,-1.00,8.67,4.10,2.20,19.57,0,0,1557,948,1.63
Abell2420,332.569,-12.177,0.085,8.78,True,True,False,56,PSZ2 G046.47-49.44,918,ACT-CL J2210.3-1209,-99,,479,J2210.3-1210,DR10,YES,1141,120960,-99,,-99,,-99,,-99,,33,A2420,23,A2420,-99,,4.39,5.92,6.09,-1.00,3.51,5.32,8.81,6.09,4.04,1.97,19.86,0,139,6831,1551,1.66
RXC J2211.7-0350,332.931,-3.829,0.397,23.98,True,True,True,74,PSZ2 G057.25-45.34,923,ACT-CL J2211.7-0349,-99,,480,J2211.7-0349,DR10,YES,935,117239,-99,,-99,,-99,,-99,,-99,,-99,,-99,,10.50,14.17,17.34,-1.00,18.10,27.40,15.10,17.34,5.03,2.45,7.39,108,13,841,35,0.62
Abell3888,338.608,-37.741,0.151,19.21,False,False,False,7,PSZ2 G003.93-59.41,950,ACT-CL J2234.4-3744,-99,,502,J2234.5-3744,DR10,YES,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,7.19,9.71,13.50,-1.00,5.70,8.62,-1.00,13.50,4.33,2.49,15.30,0,94,2154,967,1.28
Abell3911,341.571,-52.722,0.097,8.32,True,True,False,397,PSZ2 G336.60-55.43,-99,,-99,,512,J2246.3-5243,DR10,YES,-99,,-99,,-99,,-99,,-99,,-99,,25,A3911,-99,,4.28,5.77,-1.00,-1.00,3.40,5.14,-1.00,5.77,4.04,1.92,17.27,0,33,915,544,1.44
RXC J2248.7-4431,342.181,-44.529,0.3475,26.25,True,True,True,420,PSZ2 G349.46-59.95,973,ACT-CL J2248.8-4431,166,SPT-CL J2248-4431,515,J2248.7-4431,DR10,YES,1688,140758,28,MCXC J2248.7-4431,31,Abell S1063,-99,,-99,,-99,,-99,,4,RXJ2248-4431,11.36,15.32,18.97,17.27,11.83,17.91,19.63,18.97,5.02,2.57,8.45,0,34,371,107,0.70
Abell3921,342.456,-64.415,0.094,6.35,True,True,False,371,PSZ2 G321.98-47.96,-99,,167,SPT-CL J2249-6426,516,J2249.9-6425,DR10,NO,1876,147785,-99,,-99,,-99,,-99,,-99,,17,A3921,-99,,4.02,5.43,-1.00,4.41,3.61,5.47,7.32,4.41,4.03,1.76,16.25,0,0,1287,556,1.35
PSZ2 G008.31-64.74,344.678,-34.788,0.312,8.04,True,True,False,15,PSZ2 G008.31-64.74,990,ACT-CL J2258.8-3447,-99,,-99,,DR10,YES,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,7.75,10.45,5.60,-1.00,-1.00,-1.00,-1.00,5.60,4.14,1.76,6.20,0,13,751,335,0.52
PSZ2 G348.90-67.37,351.304,-41.208,0.358,10.84,True,True,False,419,PSZ2 G348.90-67.37,1043,ACT-CL J2325.2-4111,176,SPT-CL J2325-4111,-99,,DR10,YES,1624,138055,29,PSZ2 G348.90-67.3,32,Abell S1121,-99,,-99,,-99,,-99,,-99,,7.19,9.70,7.62,7.55,-1.00,-1.00,10.21,7.62,4.29,1.91,6.15,0,13,147,45,0.51
