|    name |      ra |     dec |     z | m200_listed | MergedCats | TargetLists | Jan25upload |          coords | PSZ2_idx |               PSZ2 | ACT-DR5_idx |             ACT-DR5 | SPT-SZ_idx |            SPT-SZ | MCXC_idx |         MCXC | DECam | S-PLUS | CODEX3-LSDR10_idx | CODEX3-LSDR10 | MeerKAT_idx |           MeerKAT | MKDiffuse_idx |          MKDiffuse | XMM_idx |             XMM | HIFLUGCS_idx | HIFLUGCS | MENeaCS_idx | MENeaCS | LoVoCCS_idx | LoVoCCS | CLASH-VLT_idx | CLASH-VLT | m500_PSZ2 | m500_PSZ2_corr | m500_ACT | m500_SPT | m500_MCXC | m500_MCXC_corr | m500_CODEX3 |  m500 |  m200 |  c200 | r200 |  d200 | N_first | N_tgss | N_spec | N_spec_z | 5d200(deg) |
|   A2870 |  16.933 |   -46.9 | 0.024 |         4.2 |       TRUE |        TRUE |       FALSE |    16.933,-46.9 |      -99 |                    |         -99 |                     |        -99 |                   |      -99 |              |  DR10 |    YES |               -99 |               |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |     -1.00 |          -1.00 |    -1.00 |    -1.00 |     -1.00 |          -1.00 |       -1.00 | -1.00 |  4.20 | -0.79 | 1.57 | 52.21 |       0 |    951 |   9684 |     1247 |       4.35 |
|   A2877 |  17.501 | -45.923 | 0.024 |         4.1 |       TRUE |        TRUE |       FALSE |  17.501,-45.923 |       41 | PSZ2 G293.12-70.85 |         -99 |                     |        -99 |                   |       14 | J0110.0-4555 |  DR10 |    YES |               478 |      93250301 |         -99 |                   |           -99 |                    |      15 |         IC 1633 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |      1.14 |           1.54 |    -1.00 |    -1.00 |      0.71 |           1.08 |        1.57 |  1.57 |  2.23 |  4.30 | 0.83 | 27.69 |       0 |    270 |   3563 |      669 |       2.31 |
|   A3223 |  62.067 | -30.894 |  0.06 |         4.2 |       TRUE |        TRUE |        TRUE |  62.067,-30.894 |      -99 |                    |         -99 |                     |        -99 |                   |       51 | J0408.2-3053 |  DR10 |    YES |               405 |      93231018 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |     -1.00 |          -1.00 |    -1.00 |    -1.00 |      1.53 |           2.32 |        2.95 |  2.95 |  4.24 |  4.09 | 1.01 | 14.11 |       0 |     90 |    697 |      317 |       1.18 |
|   A3266 |  67.804 |  -61.45 | 0.054 |        14.1 |       TRUE |        TRUE |        TRUE |   67.804,-61.45 |       35 | PSZ2 G272.08-40.16 |         -99 |                     |         12 | SPT-CL J0431-6126 |       56 | J0431.4-6126 |  DR10 |     NO |               530 |      93280732 |          63 | MCXC J0431.4-6126 |            75 | J0431.4-6126       |     -99 |                 |           16 |    A3266 |         -99 |         |           5 |   A3266 |           -99 |           |      6.64 |           8.95 |    -1.00 |     4.44 |      4.56 |           6.90 |        9.86 |  9.86 | 14.18 |  4.09 | 1.52 | 23.33 |       0 |      0 |   2864 |     1647 |       1.94 |
|   A3301 |  75.194 | -38.678 | 0.054 |         3.4 |       TRUE |        TRUE |       FALSE |  75.194,-38.678 |       21 | PSZ2 G242.41-37.40 |         -99 |                     |        -99 |                   |       62 | J0500.7-3840 |  DR10 |    YES |               443 |      93241110 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |      1.75 |           2.37 |    -1.00 |    -1.00 |      1.27 |           1.92 |        2.61 |  2.61 |  3.75 |  4.12 | 0.98 | 14.98 |       0 |     32 |    600 |      276 |       1.25 |
|   A3341 |  81.392 | -31.595 | 0.038 |         3.3 |       TRUE |        TRUE |       FALSE |  81.392,-31.595 |      -99 |                    |         -99 |                     |        -99 |                   |       64 | J0525.5-3135 |  DR10 |     NO |               406 |      93231308 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |     -1.00 |          -1.00 |    -1.00 |    -1.00 |      1.09 |           1.65 |        2.32 |  2.32 |  3.32 |  4.16 | 0.94 | 20.18 |       0 |    163 |   6753 |      414 |       1.68 |
|   A3376 |   90.17 | -40.033 | 0.046 |         4.8 |       TRUE |        TRUE |        TRUE |   90.17,-40.033 |      -99 |                    |         -99 |                     |        -99 |                   |      -99 |              |  DR10 |     NO |               -99 |               |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |     -1.00 |          -1.00 |    -1.00 |    -1.00 |     -1.00 |          -1.00 |       -1.00 | -1.00 |  4.80 | -0.79 | 1.63 | 29.04 |       0 |    289 |   7898 |     1202 |       2.42 |
|   A3389 |  95.455 | -64.981 | 0.027 |         1.9 |      FALSE |       FALSE |       FALSE |  95.455,-64.981 |      -99 |                    |         -99 |                     |        -99 |                   |      -99 |              |  DR10 |    YES |               -99 |               |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |     -1.00 |          -1.00 |    -1.00 |    -1.00 |     -1.00 |          -1.00 |       -1.00 | -1.00 |  1.90 | -0.79 | 1.20 | 35.72 |       0 |      0 |   3343 |      795 |       2.98 |
|   A3395 |    96.9 | -54.433 |  0.05 |         4.9 |       TRUE |        TRUE |        TRUE |    96.9,-54.433 |       30 | PSZ2 G263.19-25.19 |         -99 |                     |        -99 |                   |       79 | J0627.2-5428 |  DR10 |     NO |               -99 |               |          80 | MCXC J0627.2-5428 |            82 | J0627.2-5428       |     -99 |                 |          -99 |          |         -99 |         |          69 |   A3395 |           -99 |           |      3.21 |           4.33 |    -1.00 |    -1.00 |      2.40 |           3.63 |       -1.00 |  4.33 |  6.24 |  4.03 | 1.16 | 19.09 |       0 |      3 |   2157 |     1152 |       1.59 |
|   A3490 | 176.333 | -34.333 |  0.07 |         5.1 |       TRUE |        TRUE |       FALSE | 176.333,-34.333 |      -99 |                    |         -99 |                     |        -99 |                   |      -99 |              |  DR10 |     NO |               425 |      93232702 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |     -1.00 |          -1.00 |    -1.00 |    -1.00 |     -1.00 |          -1.00 |        3.59 |  3.59 |  5.18 |  4.05 | 1.08 | 13.03 |       0 |     61 |   4196 |      889 |       1.09 |
