|       Cluster Name | RA_J2000 | Dec_J2000 |     z | Gal_Long | Gal_Lat |    Lx | VST | AAOzs |     DECam |         SPLUS |                      SPLUS comments |                                                   Comments |          coords | PSZ2_idx |               PSZ2 | ACT-DR5_idx |             ACT-DR5 | MCXC_idx |         MCXC | MeerKAT_idx |           MeerKAT | MKDiffuse_idx |          MKDiffuse | XMM_idx |                  XMM | m500_PSZ2 | m500_PSZ2_corr | m500_ACT | m500_MCXC | m500_MCXC_corr |  m500 |  m200 | c200 | r200 |   d200 |  Nspec | Nspec_z |
|             A3528N |    193.5 |    -28.85 | 0.053 |  303.608 |  34.018 |  1.01 |   Y |   627 |      DR10 |       Shapley |                                     |                                                    LoVoCCS |    193.5,-28.85 |      -99 |                    |         -99 |                     |      -99 |              |         -99 |                   |           -99 |                    |     -99 |                      |     -1.00 |          -1.00 |    -1.00 |     -1.00 |          -1.00 | -1.00 |  1.41 | 4.46 | 1.08 |  16.87 |   2702 |    1168 |
|              A3530 |    193.9 |   -30.333 | 0.054 |  303.997 |  32.529 |  0.44 |   Y |   530 |      DR10 |       Shapley |                                     |                                                            |   193.9,-30.333 |      -99 |                    |         -99 |                     |      929 | J1255.5-3019 |         -99 |                   |           -99 |                    |     -99 |                      |     -1.00 |          -1.00 |    -1.00 |      1.56 |           2.36 |  2.36 |  3.39 | 4.15 | 1.45 |  22.18 |   3930 |    1939 |
|              A3532 |  194.337 |    -30.35 | 0.056 |  304.444 |  32.504 |  1.44 |   Y |   250 |      DR10 |       Shapley |                                     |                                                    LoVoCCS |  194.337,-30.35 |     1430 | PSZ2 G304.44+32.48 |         -99 |                     |      937 | J1257.2-3022 |         -99 |                   |           -99 |                    |     -99 |                      |      3.45 |           4.66 |    -1.00 |      2.34 |           3.53 |  4.66 |  6.72 | 4.03 | 1.82 |  26.92 |   4628 |    2337 |
|              A3556 |  201.029 |   -31.666 | 0.049 |  311.017 |  30.691 |  0.48 |   Y |   625 |      DR10 |       Shapley |                                     |                                                            | 201.029,-31.666 |      -99 |                    |         -99 |                     |      -99 |              |         -99 |                   |           -99 |                    |     -99 |                      |     -1.00 |          -1.00 |    -1.00 |     -1.00 |          -1.00 | -1.00 |  1.41 | 4.46 | 1.08 |  18.19 |   4394 |    2206 |
|              A3558 |  201.987 |   -31.483 | 0.048 |  311.988 |  30.745 |   3.2 |   Y |   706 |      DR10 |       Shapley |                                     |                                   LoVoCCS MeerKAT HIFLUGCS | 201.987,-31.483 |     1470 | PSZ2 G311.98+30.71 |         -99 |                     |      998 | J1327.9-3130 |          23 | MCXC J1327.9-3130 |            24 | Abell3558          |     -99 |                      |      4.79 |           6.46 |    -1.00 |      3.97 |           6.02 |  6.46 |  9.32 | 4.03 | 2.03 |  34.77 |  10254 |    4568 |
|              A3560 |   202.97 |   -33.233 | 0.047 |  312.586 |  28.879 |  0.67 |   Y |   580 |      DR10 |       Shapley |                                     |                                                            |  202.97,-33.233 |      -99 |                    |         -99 |                     |      -99 |              |         -99 |                   |           -99 |                    |     -99 |                      |     -1.00 |          -1.00 |    -1.00 |     -1.00 |          -1.00 | -1.00 |  1.41 | 4.47 | 1.08 |  18.93 |   3145 |    1337 |
|              A3562 |  203.395 |   -31.666 |  0.05 |  313.322 |  30.353 |   1.7 |   N |     0 |      DR10 |       Shapley |                                     |                                           MeerKAT HIFLUGCS | 203.395,-31.666 |     1478 | PSZ2 G313.33+30.29 |         -99 |                     |     1015 | J1333.6-3139 |         -99 |                   |           -99 |                    |     -99 |                      |      2.44 |           3.30 |    -1.00 |      2.37 |           3.59 |  3.30 |  4.75 | 4.07 | 1.62 |  26.71 |   6769 |    3522 |
|              A3667 |  303.112 |   -56.816 | 0.053 |  340.879 | -33.383 |  4.47 |   Y |   687 |       DR9 |         2021B |                                     |                      ACT-detected LoVoCCS MeerKAT HIFLUGCS | 303.112,-56.816 |     1590 | PSZ2 G340.88-33.36 |        3391 | ACT-CL J2012.4-5649 |     1485 | J2012.5-5649 |          25 | MCXC J2012.5-5649 |            27 | Abell 3667         |     -99 |                      |      7.04 |           9.49 |     5.67 |      5.17 |           7.82 |  5.67 |  8.18 | 4.03 | 1.94 |  30.28 |   3176 |    1435 |
|              A3716 |  312.875 |   -52.716 | 0.045 |  345.555 | -39.233 |  0.52 |   Y |   609 |       DR9 |            NO |       Yara Jaffe SPLUS 2022B target |                                                            | 312.875,-52.716 |      -99 |                    |         -99 |                     |      -99 |              |         -99 |                   |           -99 |                    |     -99 |                      |     -1.00 |          -1.00 |    -1.00 |     -1.00 |          -1.00 | -1.00 |  1.41 | 4.47 | 1.08 |  19.73 |   1824 |    1078 |
|              A3809 |  326.745 |   -43.883 | 0.063 |  356.096 | -49.531 |  1.15 |   Y |   695 |       DR9 |     SPLUS obs |                                     |                                                            | 326.745,-43.883 |     1637 | PSZ2 G356.04-49.50 |         -99 |                     |     1564 | J2146.9-4354 |         -99 |                   |           -99 |                    |     -99 |                      |      1.67 |           2.25 |    -1.00 |      1.73 |           2.61 |  2.25 |  3.22 | 4.15 | 1.42 |  18.84 |   2347 |     793 |
|              A4059 |   359.25 |   -34.759 | 0.048 |  356.414 |  -76.08 |  1.58 |   Y |   686 |      DR10 |     SPLUS obs |                    LoVoCCS HIFLUGCS |                                                            |  359.25,-34.759 |     1640 | PSZ2 G356.25-76.07 |        4182 | ACT-CL J2357.0-3445 |     1738 | J2357.0-3445 |         -99 |                   |           -99 |                    |     -99 |                      |      2.47 |           3.33 |     4.26 |      2.67 |           4.03 |  4.26 |  6.14 | 4.04 | 1.77 |  30.27 |  13576 |    2281 |
|              S0041 |    6.385 |   -33.047 | 0.049 |  344.773 | -81.854 | 0.537 |   N |     0 |       DR9 | SPLUS partial |   3 SPLUS-main tiles need observing |                                                            |   6.385,-33.047 |     1608 | PSZ2 G344.99-81.88 |         -99 |                     |       38 | J0025.5-3302 |         -99 |                   |           -99 |                    |      21 | 2PI0.050J0024.8-3309 |      1.45 |           1.96 |    -1.00 |      1.29 |           1.95 |  1.96 |  2.81 | 4.20 | 1.36 |  22.86 |  11896 |    1451 |
|              A3094 |   47.854 |     -26.8 | 0.068 |  220.674 | -58.925 | 0.362 |   N |     0 |       DR9 |            NO |                                     |                                                            |    47.854,-26.8 |      -99 |                    |         -99 |                     |      -99 |              |         -99 |                   |           -99 |                    |     -99 |                      |     -1.00 |          -1.00 |    -1.00 |     -1.00 |          -1.00 | -1.00 |  1.41 | 4.44 | 1.08 |  13.32 |   2368 |    1108 |
|              A3122 |   50.577 |   -41.359 | 0.064 |  247.581 | -56.069 | 0.642 |   N |     0 |       DR9 |     SPLUS obs |                                     |                                                            |  50.577,-41.359 |     1123 | PSZ2 G247.56-56.06 |         -99 |                     |      262 | J0322.3-4121 |         -99 |                   |           -99 |                    |     -99 |                      |      1.80 |           2.43 |    -1.00 |      1.42 |           2.16 |  2.43 |  3.49 | 4.13 | 1.46 |  19.06 |   1176 |     540 |
|              A3223 |   62.067 |   -30.894 |  0.06 |  230.151 | -47.144 | 0.722 |   N |     0 |       DR9 | SPLUS partial | Partially outside SPLUS main survey |                                                            |  62.067,-30.894 |      -99 |                    |         -99 |                     |      317 | J0408.2-3053 |         -99 |                   |           -99 |                    |     -99 |                      |     -1.00 |          -1.00 |    -1.00 |      1.53 |           2.32 |  2.32 |  3.33 | 4.15 | 1.43 |  19.94 |   1229 |     452 |
|            J0413.9 |   63.487 |     -38.1 |  0.05 |   240.79 | -46.521 | 0.789 |   N |     0 |       DR9 |     SPLUS obs |                                     |                                                            |    63.487,-38.1 |     1087 | PSZ2 G240.80-46.51 |         -99 |                     |      319 | J0413.9-3805 |         -99 |                   |           -99 |                    |     -99 |                      |      1.52 |           2.05 |    -1.00 |      1.62 |           2.46 |  2.05 |  2.93 | 4.19 | 1.38 |  22.75 |   1965 |     879 |
