Cluster Name,RA_J2000,Dec_J2000,z,Gal_Long,Gal_Lat,PSZ2,M_500,ACT name,ACTDR5,M500Cal,VISTA,DECam,SPLUS,Comments,coords,PSZ2_idx,ACT-DR5_idx,ACT-DR5,MCXC_idx,MCXC,MeerKAT_idx,MeerKAT,MKDiffuse_idx,MKDiffuse,XMM_idx,XMM,m500_PSZ2,m500_PSZ2_corr,m500_ACT,m500_MCXC,m500_MCXC_corr,m500,m200,c200,r200,d200,Nspec,Nspec_z
PSZ2 G259.98-63.43,38.078,-44.345,0.284,259.959,-63.448,PSZ2 G259.98-63.43,7.451,J0232.2-4421,1003,12.295,P109,DR9,SPLUS obs,MeerKAT MUSE GMRT-SUCCESS,"38.078,-44.345",1194,1002,ACT-CL J0232.2-4421,203,J0232.2-4420,52,MCXC J0232.2-4420,63,J0232.2-4420,-99,,7.54,10.17,12.30,6.13,9.28,12.30,17.39,4.48,2.30,8.65,197,26
PSZ2 G205.05-62.95,41.615,-20.535,0.31,205.075,-62.949,PSZ2 G205.05-62.95,7.635,J0246.4-2033,1121,5.698,P109,DR9,,,"41.615,-20.535",925,1120,ACT-CL J0246.4-2033,-99,,-99,,-99,,-99,,7.64,10.30,5.70,-1.00,-1.00,5.70,8.18,4.14,1.77,6.27,44,3
Abell3444,155.962,-27.259,0.2542,266.827,25.078,PSZ2 G266.83+25.08,7.258,Outside ACT,0,,P109,DR10,SPLUS obs,MUSE,"155.962,-27.259",1234,-99,,676,J1023.8-2715,-99,,-99,,-99,,7.37,9.94,-1.00,7.71,11.67,9.94,14.14,4.30,2.17,8.84,158,17
MACS J1115.9+0129,168.967,1.498,0.352,257.114,55.626,PSZ2 G257.09+55.61,6.864,J1115.8+0129,2335,9.796,P109,DR9,SPLUS obs,WAVES CLASH-VLT MUSE,"168.967,1.498",1185,2334,ACT-CL J1115.8+0129,737,J1115.8+0129,-99,,-99,,-99,,6.86,9.26,9.80,7.27,11.00,9.80,13.88,4.42,2.08,6.76,1831,204
MACS J1206.2-0847,181.551,-8.8,0.44,284.398,52.436,PSZ2 G284.41+52.45,11.176,Outside ACT,0,,P109,DR9,SPLUS obs,CLASH-VLT,"181.551,-8.8",1321,-99,,838,J1206.2-0848,-99,,-99,,-99,,11.18,15.08,-1.00,8.40,12.72,15.08,20.92,4.97,2.30,6.54,1236,853
MACS J1311.0-0311,197.758,-3.177,0.494,312.553,59.329,,3.51,J1311.0-0310,2672,4.948,P109,DR9,SPLUS obs,CLASH-VLT,"197.758,-3.177",-99,2671,ACT-CL J1311.0-0310,961,J1311.0-0310,-99,,-99,,-99,,-1.00,-1.00,4.95,4.15,6.28,4.95,7.06,4.23,1.57,4.18,502,113
RXC J1314.4-2515,198.617,-25.261,0.244,309.482,37.317,PSZ2 G309.49+37.31,6.717,Outside ACT,0,,P109,DR10,SPLUS obs,MeerKAT,"198.617,-25.261",1461,-99,,975,J1314.4-2515,39,MCXC J1314.4-2515,51,RXC J1314.4-2525,-99,,6.72,9.06,-1.00,6.94,10.50,9.06,12.93,4.25,2.11,8.88,495,220
PSZ2 G325.70+17.34,221.861,-40.346,0.3155,325.707,17.34,PSZ2 G325.70+17.34,7.57,Outside ACT,0,,P109,NO,,,"221.861,-40.346",1533,-99,,-99,,-99,,-99,,-99,,7.57,10.21,-1.00,-1.00,-1.00,10.21,14.49,4.40,2.14,7.48,264,3
AbellS0780,224.872,-18.187,0.236,340.91,35.074,PSZ2 G340.94+35.07,7.796,Outside ACT,0,,P109,DR10,,MUSE,"224.872,-18.187",1591,-99,,1141,J1459.4-1811,-99,,-99,,-99,,7.80,10.52,-1.00,8.62,13.04,10.52,14.96,4.31,2.22,9.59,70,17
PSZ1 G008.31-64.31,344.678,-34.788,0.312,8.318,-64.747,PSZ2 G008.31-64.74,7.746,J2258.8-3447,3854,5.597,P109,DR10,SPLUS obs,Outside eROSITA,"344.678,-34.788",28,3853,ACT-CL J2258.8-3447,-99,,-99,,-99,,-99,,7.75,10.45,5.60,-1.00,-1.00,5.60,8.04,4.14,1.76,6.20,751,335
PSZ2 G348.90-67.37,351.304,-41.208,0.358,348.894,-67.388,PSZ2 G348.90-67.37,7.194,J2325.2-4111,3990,7.619,P109,DR9,SPLUS obs,MeerKAT,"351.304,-41.208",1623,3989,ACT-CL J2325.2-4111,-99,,29,PSZ2 G348.90-67.3,32,Abell S1121,-99,,7.19,9.70,7.62,-1.00,-1.00,7.62,10.84,4.29,1.91,6.15,147,45
Abell0521,73.538,-10.239,0.2475,208.829,-30.66,PSZ2 G208.80-30.67,7.255,J0454.1-1013,1675,6.612,HiLx,DR9,,MeerKAT,"73.538,-10.239",939,1674,ACT-CL J0454.1-1013,352,J0454.1-1014,9,MCXC J0454.1-1014,7,Abell521,-99,,7.26,9.79,6.61,5.82,8.81,6.61,9.50,4.14,1.90,7.92,1425,606
Abell0901,149.11,-10.07,0.163,248.112,33.591,,3.22,Outside ACT,0,,HiLx,DR10,,,"149.11,-10.07",-99,-99,,621,J0956.4-1004,-99,,-99,,-99,,-1.00,-1.00,-1.00,5.23,7.92,7.92,11.37,4.13,2.09,12.01,185,71
