|               name |      ra |     dec |     z |   MSZ |                                 coords | PSZ2_idx |               PSZ2 | ACT-DR5_idx |             ACT-DR5 | SPT-SZ_idx |            SPT-SZ | CODEX_idx |  CODEX | DECam | MCXC_idx |         MCXC | S-PLUS | CODEX-DECALS_idx | CODEX-DECALS | MeerKAT_idx |           MeerKAT | MKDiffuse_idx |          MKDiffuse | XMM_idx |    XMM | HIFLUGCS_idx | HIFLUGCS | MENeaCS_idx | MENeaCS | LoVoCCS_idx | LoVoCCS | CLASH-VLT_idx |    CLASH-VLT | m500_PSZ2 | m500_PSZ2_corr | m500_ACT | m500_SPT | m500_MCXC | m500_MCXC_corr | m500_CODEX |  m500 |  m200 | c200 | r200 |  d200 | N_first | N_tgss | N_spec | N_spec_z | 5d200 |
| PSZ2 G026.73-38.94 | 316.843 | -21.184 | 0.202 |  5.41 | 316.84284134452037,-21.184006693794945 |       37 | PSZ2 G026.73-38.94 |         863 | ACT-CL J2107.4-2110 |        -99 |                   |       -99 |        |  DR10 |      -99 |              |    YES |              -99 |              |         -99 |                   |           -99 |                    |     -99 |        |          -99 |          |         -99 |         |         -99 |         |           -99 |              |      5.41 |           7.30 |     2.53 |    -1.00 |     -1.00 |          -1.00 |      -1.00 |  2.53 |  3.64 | 4.07 | 1.41 |  6.83 |       0 |     12 |    107 |       31 |  0.57 |
| PSZ2 G028.77-33.56 | 312.061 | -17.809 | 0.147 |  4.51 | 312.06144705809277,-17.808966087468985 |       39 | PSZ2 G028.77-33.56 |         -99 |                     |        -99 |                   |       -99 |        |  DR10 |      433 | J2048.1-1750 |     NO |              -99 |              |         -99 |                   |           -99 |                    |     -99 |        |          -99 |          |         -99 |         |         -99 |         |           -99 |              |      4.51 |           6.09 |    -1.00 |    -1.00 |      3.64 |           5.52 |      -1.00 |  6.09 |  8.77 | 4.07 | 1.92 | 12.03 |       0 |     36 |    479 |      172 |  1.00 |
| PSZ2 G033.97-76.61 | 357.927 | -26.095 | 0.226 |  7.56 |    357.927359081219,-26.09530292746981 |       41 | PSZ2 G033.97-76.61 |        1091 | ACT-CL J2351.6-2604 |        -99 |                   |       -99 |        |  DR10 |      552 | J2351.6-2605 |    YES |              -99 |              |          15 | MCXC J2351.6-2605 |            12 | Abell2667          |     -99 |        |          -99 |          |         -99 |         |         -99 |         |           -99 |              |      7.56 |          10.19 |     8.78 |    -1.00 |      7.90 |          11.96 |      -1.00 |  8.78 | 12.57 | 4.22 | 2.11 |  9.37 |       0 |     28 |   2349 |      853 |  0.78 |
| PSZ2 G037.69-46.87 | 327.618 | -16.399 | 0.263 |  5.17 | 327.61754418771966,-16.399162266623723 |       43 | PSZ2 G037.69-46.87 |         899 | ACT-CL J2150.5-1622 |        -99 |                   |       -99 |        |  DR10 |      -99 |              |    YES |              -99 |              |         -99 |                   |           -99 |                    |     -99 |        |          -99 |          |         -99 |         |         -99 |         |           -99 |              |      5.17 |           6.98 |     4.71 |    -1.00 |     -1.00 |          -1.00 |      -1.00 |  4.71 |  6.78 | 4.08 | 1.69 |  6.73 |       0 |     20 |    273 |       33 |  0.56 |
| PSZ2 G039.85-39.96 | 321.751 | -12.162 | 0.176 |  5.92 | 321.75144413127316,-12.161665094165599 |       46 | PSZ2 G039.85-39.96 |         876 | ACT-CL J2127.0-1210 |        -99 |                   |       -99 |        |  DR10 |      451 | J2127.1-1209 |     NO |             1139 |       120842 |         -99 |                   |           -99 |                    |     -99 |        |          -99 |          |         -99 |         |         -99 |         |           -99 |              |      5.92 |           7.98 |     4.17 |    -1.00 |      4.14 |           6.27 |       7.93 |  4.17 |  6.00 | 4.04 | 1.68 |  9.08 |       0 |     28 |    157 |       61 |  0.76 |
| PSZ2 G044.58-20.46 | 306.281 |   0.519 | 0.275 |  5.65 |   306.2812057381181,0.5188418500982125 |       52 | PSZ2 G044.58-20.46 |         826 | ACT-CL J2025.2+0031 |        -99 |                   |       -99 |        |  DR10 |      -99 |              |    YES |              -99 |              |         -99 |                   |           -99 |                    |     -99 |        |          -99 |          |         -99 |         |         -99 |         |           -99 |              |      5.65 |           7.62 |     6.49 |    -1.00 |     -1.00 |          -1.00 |      -1.00 |  6.49 |  9.30 | 4.16 | 1.87 |  7.22 |      99 |     11 |     50 |        3 |  0.60 |
| PSZ2 G047.71-59.47 | 342.121 | -16.108 | 0.247 |  4.61 | 342.12059586101503,-16.108442734213188 |       57 | PSZ2 G047.71-59.47 |         972 | ACT-CL J2248.5-1606 |        -99 |                   |       -99 |        |  DR10 |      514 | J2248.5-1606 |    YES |              -99 |              |          12 | MCXC J2248.5-1606 |           -99 |                    |     -99 |        |          -99 |          |         -99 |         |         -99 |         |           -99 |              |      4.61 |           6.22 |     4.99 |    -1.00 |      4.38 |           6.62 |      -1.00 |  4.99 |  7.19 | 4.08 | 1.74 |  7.22 |       0 |     23 |    874 |      292 |  0.60 |
| PSZ2 G048.21-65.00 | 347.440 | -18.310 | 0.420 |  5.60 |  347.4397250833755,-18.310016321628666 |       60 | PSZ2 G048.21-65.00 |        1008 | ACT-CL J2309.8-1819 |        -99 |                   |       -99 |        |  DR10 |      -99 |              |    YES |              -99 |              |         -99 |                   |           -99 |                    |     -99 |        |          -99 |          |         -99 |         |         -99 |         |           -99 |              |      5.60 |           7.55 |     5.85 |    -1.00 |     -1.00 |          -1.00 |      -1.00 |  5.85 |  8.35 | 4.24 | 1.71 |  4.98 |       0 |      8 |    359 |        3 |  0.42 |
| PSZ2 G048.91-25.55 | 312.679 |   1.396 | 0.333 |  5.44 |    312.6791238511879,1.396000260511738 |       61 | PSZ2 G048.91-25.55 |         848 | ACT-CL J2050.7+0122 |        -99 |                   |       -99 |        |  DR10 |      435 | J2050.7+0123 |    YES |              802 |       112975 |         -99 |                   |           -99 |                    |     -99 |        |          -99 |          |         -99 |         |         -99 |         |           -99 |              |      5.44 |           7.34 |     6.69 |    -1.00 |      3.61 |           5.46 |       6.99 |  6.69 |  9.57 | 4.22 | 1.85 |  6.24 |      56 |     21 |    416 |       76 |  0.52 |
| PSZ2 G049.80-25.16 | 312.771 |   2.284 | 0.321 |  6.39 |   312.7712804838371,2.2844662490077923 |       63 | PSZ2 G049.80-25.16 |         850 | ACT-CL J2051.1+0215 |        -99 |                   |       -99 |        |  DR10 |      436 | J2051.1+0216 |     NO |              767 |       112969 |         -99 |                   |           -99 |                    |     -99 |        |          -99 |          |         -99 |         |         -99 |         |           -99 |              |      6.39 |           8.62 |     6.16 |    -1.00 |      4.06 |           6.15 |       7.67 |  6.16 |  8.82 | 4.17 | 1.81 |  6.25 |      55 |     17 |    595 |       78 |  0.52 |
