name,ra,dec,z,Gal_Long,Gal_Lat,PSZ2,M_500,ACT name,ACTDR5,M500Cal,VISTA**,DECam,SPLUS,Comments,Complete sample,Low-mass sample,Below low-mass,Missing altogether,coords,PSZ2_idx,ACT-DR5_idx,ACT-DR5,SPT-SZ_idx,SPT-SZ,MCXC_idx,MCXC,S-PLUS,CODEX-DECALS_idx,CODEX-DECALS,MeerKAT_idx,MeerKAT,MKDiffuse_idx,MKDiffuse,XMM_idx,XMM,HIFLUGCS_idx,HIFLUGCS,MENeaCS_idx,MENeaCS,LoVoCCS_idx,LoVoCCS,CLASH-VLT_idx,CLASH-VLT,m500_PSZ2,m500_PSZ2_corr,m500_ACT,m500_SPT,m500_MCXC,m500_MCXC_corr,m500_CODEX,m500,m200,c200,r200,d200,N_first,N_tgss,N_spec,N_spec_z,5d200
PSZ2 G262.27-35.38,79.153,-54.52,0.2952,262.254,-35.38,PSZ2 G262.27-35.38,8.759,J0516.6-5430,1737,6.159,VHS,DR9,,MeerKAT MUSE Foex+2017 SPT-CL J0516-5430 Ruel+2014,PSZ,ACT,CODEX,,"79.153,-54.52",253,574,ACT-CL J0516.6-5430,98,SPT-CL J0516-5430,191,J0516.6-5430,NO,1789,143963,66,MCXC J0516.6-5430,78,J0516.6-5430,-99,,-99,,-99,,-99,,-99,,8.76,11.82,6.16,7.10,7.72,11.69,11.38,6.16,8.83,4.16,1.83,6.69,0,0,604,355,0.56
PSZ2 G244.37-32.15,82.221,-39.471,0.2839,244.374,-32.141,PSZ2 G244.37-32.15,7.406,J0528.8-3927,1777,8.976,VHS,DR9,,MeerKAT MUSE GMRT-SUCCESS,,"ACT, PSZ",CODEX,,"82.221,-39.471",199,593,ACT-CL J0528.8-3927,-99,,198,J0528.9-3927,NO,1608,135723,68,MCXC J0528.9-3927,81,J0528.9-3927,-99,,-99,,-99,,-99,,-99,,7.41,9.99,8.98,-1.00,7.55,11.42,15.43,8.98,12.79,4.29,2.07,7.81,0,37,376,243,0.65
PSZ2 G241.76-30.88,83.233,-37.026,0.2708,241.747,-30.879,PSZ2 G241.76-30.88,7.004,J0532.9-3701,1787,10.487,VHS,DR9,,MUSE,,,,,"83.233,-37.026",191,596,ACT-CL J0532.9-3701,-99,,203,J0532.9-3701,NO,1571,135682,-99,,-99,,-99,,-99,,-99,,-99,,-99,,7.00,9.45,10.49,-1.00,5.11,7.73,10.41,10.49,14.90,4.35,2.19,8.54,0,25,210,25,0.71
PSZ2 G241.11-28.68,85.738,-35.984,0.42,241.112,-28.681,PSZ2 G241.11-28.68,7.361,J0542.9-3559,1807,7.122,P108,DR9,,,,,,,"85.738,-35.984",190,602,ACT-CL J0542.9-3559,-99,,-99,,NO,1548,132802,-99,,-99,,-99,,-99,,-99,,-99,,-99,,7.36,9.93,7.12,-1.00,-1.00,-1.00,8.88,7.12,10.13,4.33,1.82,5.32,0,20,363,3,0.44
PSZ2 G271.18-30.95,87.326,-62.083,0.3755,271.192,-30.964,PSZ2 G271.18-30.95,7.373,Outside ACT,0,,P108,DR10,,,,,,,"87.326,-62.083",277,-99,,105,SPT-CL J0549-6205,-99,,NO,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,7.37,9.95,-1.00,12.40,-1.00,-1.00,-1.00,12.40,17.43,4.64,2.22,6.94,0,0,180,34,0.58
MACS J0553.4-3342,88.363,-33.715,0.43,239.291,-26.002,PSZ2 G239.27-26.01,8.772,J0553.4-3342,1838,15.4,GCAV,DR9,,MUSE,,,,,"88.363,-33.715",184,617,ACT-CL J0553.4-3342,-99,,-99,,NO,1507,132747,-99,,-99,,-99,,-99,,-99,,-99,,-99,,8.77,11.83,15.40,-1.00,-1.00,-1.00,14.07,15.40,21.37,4.97,2.32,6.70,0,15,772,8,0.56
RXC J0600.1-2007,90.071,-20.104,0.46,225.915,-19.983,,10.731,J0600.2-2007,1851,13.624,GCAV,DR10 edge,,MUSE,,,,,"90.071,-20.104",-99,-99,,-99,,-99,,NO,1279,125869,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,14.23,-1.00,-1.00,-1.00,-1.00,-1.00,0,0,0,0,-0.08
PSZ2 G263.14-23.41,99.725,-53.981,0.2266,263.149,-23.418,PSZ2 G263.14-23.41,6.826,J0638.7-5358,1893,12.543,VHS,DR10,,MeerKAT,ACT,"PSZ, CODEX",,,"99.725,-53.981",258,635,ACT-CL J0638.7-5358,119,SPT-CL J0638-5358,228,J0638.7-5358,NO,1792,144174,83,MCXC J0638.7-5358,86,J0638.7-5358,-99,,-99,,-99,,-99,,-99,,6.83,9.21,12.54,12.01,6.88,10.41,13.10,12.54,17.79,4.40,2.37,10.51,0,0,223,50,0.88
PSZ2 G263.68-22.55,101.372,-54.219,0.1644,263.67,-22.546,PSZ2 G263.68-22.55,7.964,J0645.4-5413,1896,11.181,VHS,DR10,,Abell 3404 MeerKAT MUSE,"ACT, PSZ, CODEX",,,,"101.372,-54.219",260,636,ACT-CL J0645.4-5413,121,SPT-CL J0645-5413,230,J0645.4-5413,NO,1774,144181,84,MCXC J0645.4-5413,87,J0645.4-5413,-99,,-99,,-99,,-99,,-99,,7.96,10.74,11.18,10.55,5.82,8.80,10.85,11.18,15.96,4.25,2.33,13.35,0,0,336,118,1.11
ClG 0657-56 Bullet cluster,104.629,-55.947,0.2965,266.025,-21.247,PSZ2 G266.04-21.25,13.1,J0658.5-5557,1901,16.061,P108,DR10,,"MeerKAT Foex+2017, MUSE data avilable for one field.","ACT, PSZ, CODEX",,,,"104.629,-55.947",265,640,ACT-CL J0658.5-5557,128,SPT-CL J0658-5556,231,J0658.5-5556,NO,1808,144305,85,MCXC J0658.5-5556,33,Bullet,-99,,-99,,-99,,-99,,-99,,13.10,17.67,16.06,16.86,10.36,15.68,19.97,16.06,22.47,4.73,2.49,9.10,0,0,575,329,0.76
