|               name |      ra |     dec |     z |  MSZ |                                 coords | PSZ2_idx |               PSZ2 | ACT-DR5_idx |             ACT-DR5 | SPT-SZ_idx |            SPT-SZ | CODEX_idx |  CODEX | DECam | MCXC_idx |         MCXC | S-PLUS | CODEX-DECALS_idx | CODEX-DECALS | MeerKAT_idx |           MeerKAT | MKDiffuse_idx |          MKDiffuse | XMM_idx |                  XMM | HIFLUGCS_idx | HIFLUGCS | MENeaCS_idx | MENeaCS | LoVoCCS_idx |         LoVoCCS | CLASH-VLT_idx | CLASH-VLT | m500_PSZ2 | m500_PSZ2_corr | m500_ACT | m500_SPT | m500_MCXC | m500_MCXC_corr | m500_CODEX | m500 |  m200 | c200 | r200 |  d200 | N_first | N_tgss | N_spec | N_spec_z | 5d200 |
|              A3301 |  75.204 | -38.675 | 0.054 | 1.75 |  75.20352562417197,-38.674947301010754 |       21 | PSZ2 G242.41-37.40 |         -99 |                     |        -99 |                   |       -99 |        |  DR10 |       62 | J0500.7-3840 |    YES |             1591 |       135635 |         -99 |                   |           -99 |                    |     -99 |                      |          -99 |          |         -99 |         |         -99 |                 |           -99 |           |      1.75 |           2.37 |    -1.00 |    -1.00 |      1.27 |           1.92 |       3.05 | 2.37 |  3.40 | 4.15 | 1.45 | 22.36 |       0 |     94 |   1156 |      481 |  1.86 |
| PSZ2 G243.02+42.87 | 153.505 |  -0.959 | 0.045 | 1.71 |  153.5054258564868,-0.9589483899669564 |       22 | PSZ2 G243.02+42.87 |         -99 |                     |        -99 |                   |       -99 |        |  DR10 |      -99 |              |    YES |              826 |       111440 |         -99 |                   |           -99 |                    |     -99 |                      |          -99 |          |         -99 |         |         -99 |                 |           -99 |           |      1.71 |           2.30 |    -1.00 |    -1.00 |     -1.00 |          -1.00 |       2.38 | 2.30 |  3.30 | 4.16 | 1.44 | 26.46 |    1299 |    337 |  24134 |     3899 |  2.21 |
| PSZ2 G246.36-30.27 |  85.037 | -40.793 | 0.036 | 1.13 |   85.03748907377341,-40.79343053180869 |       23 | PSZ2 G246.36-30.27 |         -99 |                     |        -99 |                   |       -99 |        |  DR10 |       66 | J0540.1-4050 |     NO |             1609 |       135848 |          69 | MCXC J0540.1-4050 |           -99 |                    |     -99 |                      |          -99 |          |         -99 |         |         -99 |                 |           -99 |           |      1.13 |           1.52 |    -1.00 |    -1.00 |      1.22 |           1.85 |       3.75 | 1.52 |  2.16 | 4.30 | 1.25 | 28.35 |       0 |    258 |   1624 |      434 |  2.36 |
| PSZ2 G246.50-26.09 |  90.426 | -39.985 | 0.047 | 2.38 |  90.42563377202926,-39.985063129361095 |       24 | PSZ2 G246.50-26.09 |         -99 |                     |        -99 |                   |       -99 |        |  DR10 |       73 | J0601.7-3959 |     NO |             1611 |       135838 |          22 | MCXC J0601.7-3959 |            22 | Abell 3376         |     -99 |                      |           18 |    A3376 |         -99 |         |         -99 |                 |           -99 |           |      2.38 |           3.22 |    -1.00 |    -1.00 |      1.98 |           2.99 |       4.39 | 3.22 |  4.63 | 4.08 | 1.61 | 28.23 |       0 |    272 |   7690 |     1197 |  2.35 |
|              A3122 |  50.584 | -41.350 | 0.064 | 1.80 |    50.5840355756171,-41.34969990654941 |       25 | PSZ2 G247.56-56.06 |         -99 |                     |        -99 |                   |       -99 |        |  DR10 |       34 | J0322.3-4121 |    YES |             1605 |       135494 |         -99 |                   |           -99 |                    |     -99 |                      |          -99 |          |         -99 |         |         -99 |                 |           -99 |           |      1.80 |           2.43 |    -1.00 |    -1.00 |      1.42 |           2.16 |       2.75 | 2.43 |  3.49 | 4.13 | 1.46 | 18.98 |       0 |    112 |   1167 |      543 |  1.58 |
|              A0970 | 154.327 | -10.694 | 0.059 | 2.30 | 154.32661568212313,-10.693875729102546 |       26 | PSZ2 G253.04+36.83 |         -99 |                     |        -99 |                   |       -99 |        |  DR10 |       96 | J1017.3-1040 |    YES |             1099 |       119328 |         -99 |                   |           -99 |                    |     -99 |                      |          -99 |          |         -99 |         |         -99 |                 |           -99 |           |      2.30 |           3.11 |    -1.00 |    -1.00 |      1.85 |           2.80 |       5.17 | 3.11 |  4.48 | 4.08 | 1.58 | 22.51 |       0 |    220 |   1390 |      768 |  1.88 |
|              A1069 | 159.993 |  -8.713 | 0.065 | 1.80 |  159.99253202710557,-8.712726571782271 |       27 | PSZ2 G256.67+42.05 |         -99 |                     |        -99 |                   |       -99 |        |  DR10 |       99 | J1039.7-0841 |    YES |             1031 |       119364 |         -99 |                   |           -99 |                    |     -99 |                      |          -99 |          |         -99 |         |         -99 |                 |           -99 |           |      1.80 |           2.43 |    -1.00 |    -1.00 |      1.46 |           2.21 |       2.57 | 2.43 |  3.49 | 4.13 | 1.46 | 18.79 |     164 |    139 |   1219 |      497 |  1.57 |
| PSZ2 G257.51+57.54 | 170.363 |   2.842 | 0.047 | 1.52 |    170.36273688572953,2.84215132218649 |       28 | PSZ2 G257.51+57.54 |         -99 |                     |        -99 |                   |       -99 |        |  DR10 |      106 | J1121.7+0249 |    YES |              756 |       107446 |         -99 |                   |           -99 |                    |      18 |      RXCJ1121.7+0249 |          -99 |          |         -99 |         |         -99 |                 |           -99 |           |      1.52 |           2.05 |    -1.00 |    -1.00 |      0.92 |           1.40 |       2.07 | 2.05 |  2.93 | 4.19 | 1.38 | 24.22 |    1131 |    287 |  18430 |     2747 |  2.02 |
|              A3391 |  96.580 | -53.689 | 0.051 | 2.82 |   96.5800417359072,-53.689022033237364 |       29 | PSZ2 G262.36-25.15 |         -99 |                     |        -99 |                   |       -99 |        |  DR10 |       77 | J0626.3-5341 |     NO |              -99 |              |          79 | MCXC J0626.3-5341 |           -99 |                    |     -99 |                      |           19 |    A3391 |         -99 |         |         -99 |                 |           -99 |           |      2.82 |           3.80 |    -1.00 |    -1.00 |      2.16 |           3.27 |      -1.00 | 3.80 |  5.48 | 4.05 | 1.70 | 27.28 |       0 |     61 |   3081 |     1410 |  2.27 |
|              A3395 |  96.786 | -54.430 | 0.051 | 3.21 |   96.78599315275115,-54.43000820098417 |       30 | PSZ2 G263.19-25.19 |         -99 |                     |        -99 |                   |       -99 |        |  DR10 |       79 | J0627.2-5428 |     NO |              -99 |              |          80 | MCXC J0627.2-5428 |            82 | J0627.2-5428       |     -99 |                      |          -99 |          |         -99 |         |          69 |           A3395 |           -99 |           |      3.21 |           4.33 |    -1.00 |    -1.00 |      2.40 |           3.63 |      -1.00 | 4.33 |  6.24 | 4.03 | 1.77 | 28.93 |       0 |     29 |   3146 |     1524 |  2.41 |
