| Cluster Name | RA_J2000 | Dec_J2000 |      z |  m200 | MergedCats | TargetLists | Jan25upload | PSZ2_idx |               PSZ2 | ACT-DR5_idx |             ACT-DR5 | SPT-SZ_idx |            SPT-SZ | MCXC_idx |         MCXC | DECam | S-PLUS | CODEX-DECALS_idx | CODEX-DECALS | MeerKAT_idx |           MeerKAT | MKDiffuse_idx |          MKDiffuse | XMM_idx |             XMM | HIFLUGCS_idx | HIFLUGCS | MENeaCS_idx | MENeaCS | LoVoCCS_idx | LoVoCCS | CLASH-VLT_idx | CLASH-VLT | m500_PSZ2 | m500_PSZ2_corr | m500_ACT | m500_SPT | m500_MCXC | m500_MCXC_corr | m500_CODEX |  m500 |  c200 |  r200 |   d200 | N_first | N_tgss | N_spec | N_spec_z | 5d200 |
|        A3376 |    90.17 |   -40.033 |  0.046 | -1.00 |       True |        True |        True |      -99 |                    |         -99 |                     |        -99 |                   |      -99 |              |  DR10 |     NO |              -99 |              |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |     -1.00 |          -1.00 |    -1.00 |    -1.00 |     -1.00 |          -1.00 |      -1.00 | -1.00 | -1.00 | -1.00 |  -1.00 |       0 |      0 |      0 |        0 | -0.08 |
|        AS560 |   90.201 |   -58.587 |  0.037 |  2.14 |       True |        True |       False |      -99 |                    |           4 | ACT-CL J0600.7-5836 |        -99 |                   |       72 | J0600.8-5835 |  DR10 |     NO |             1822 |       144145 |          74 | MCXC J0600.8-5835 |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |     -1.00 |          -1.00 |     5.67 |    -1.00 |      0.43 |           0.65 |       1.51 |  1.51 |  4.30 |  1.25 |  27.37 |       0 |      0 |   1521 |      434 |  2.28 |
|        A3389 |   95.455 |   -64.981 |  0.026 |  1.98 |      False |       False |       False |      -99 |                    |         -99 |                     |        -99 |                   |      -99 |              |  DR10 |    YES |             1872 |       148386 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |     -1.00 |          -1.00 |    -1.00 |    -1.00 |     -1.00 |          -1.00 |       1.39 |  1.39 |  4.35 |  1.22 |  37.56 |       0 |      0 |   3637 |      805 |  3.13 |
|        A3395 |     96.9 |   -54.433 |   0.05 |  6.24 |       True |        True |        True |       30 | PSZ2 G263.19-25.19 |         -99 |                     |        -99 |                   |       79 | J0627.2-5428 |  DR10 |     NO |              -99 |              |          80 | MCXC J0627.2-5428 |            82 | J0627.2-5428       |     -99 |                 |          -99 |          |         -99 |         |          69 |   A3395 |           -99 |           |      3.21 |           4.33 |    -1.00 |    -1.00 |      2.40 |           3.63 |      -1.00 |  4.33 |  4.03 |  1.77 |  29.26 |       0 |     32 |   3158 |     1515 |  2.44 |
|        A0754 |  137.133 |    -9.616 |  0.054 | -1.00 |       True |        True |        True |      -99 |                    |         -99 |                     |        -99 |                   |      -99 |              |  DR10 |     NO |              -99 |              |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |           7 |    A754 |         -99 |         |           -99 |           |     -1.00 |          -1.00 |    -1.00 |    -1.00 |     -1.00 |          -1.00 |      -1.00 | -1.00 | -1.00 | -1.00 |  -1.00 |       0 |      0 |      0 |        0 | -0.08 |
|        A0780 |  139.525 |   -12.083 |  0.057 | 27.20 |       True |        True |        True |      -99 |                    |         -99 |                     |        -99 |                   |       90 | J0918.1-1205 |  DR10 |     NO |             1127 |       119122 |         -99 |                   |           -99 |                    |     -99 |                 |           23 |  HYDRA-A |           8 |    A780 |          22 |    A780 |           -99 |           |     -1.00 |          -1.00 |    -1.00 |    -1.00 |      3.62 |           5.49 |      19.18 | 19.18 |  4.42 |  2.89 |  42.18 |       0 |    442 |   3872 |     1645 |  3.51 |
|        A0957 |  153.408 |    -0.916 |  0.045 |  3.42 |       True |        True |        True |      -99 |                    |         -99 |                     |        -99 |                   |       95 | J1013.6-0054 |  DR10 |    YES |              826 |       111440 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |     -1.00 |          -1.00 |    -1.00 |    -1.00 |      1.14 |           1.72 |       2.38 |  2.38 |  4.15 |  1.45 |  26.48 |    1299 |    340 |  24327 |     3900 |  2.21 |
|        A0970 |  154.391 |   -10.666 |  0.059 |  7.46 |       True |        True |        True |       26 | PSZ2 G253.04+36.83 |         -99 |                     |        -99 |                   |       96 | J1017.3-1040 |  DR10 |    YES |             1099 |       119328 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |      2.30 |           3.11 |    -1.00 |    -1.00 |      1.85 |           2.80 |       5.17 |  5.17 |  4.03 |  1.88 |  26.52 |       0 |    319 |   1709 |      929 |  2.21 |
|       Antlia |  157.514 |   -35.323 |  0.012 |  1.58 |      False |       False |       False |       37 | PSZ2 G272.88+19.14 |         -99 |                     |        -99 |                   |      -99 |              |    NO |    YES |              -99 |              |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |      0.83 |           1.11 |    -1.00 |    -1.00 |     -1.00 |          -1.00 |      -1.00 |  1.11 |  4.46 |  1.14 |  74.51 |       0 |   1992 |   9364 |     1329 |  6.21 |
|        Hydra |  159.174 |   -27.524 |  0.012 |  2.14 |       True |        True |        True |      -99 |                    |         -99 |                     |        -99 |                   |       98 | J1036.6-2731 |  DR10 |    YES |              -99 |              |         -99 |                   |           -99 |                    |       0 |      ABELL 1060 |           24 |    A1060 |         -99 |         |         -99 |         |           -99 |           |     -1.00 |          -1.00 |    -1.00 |    -1.00 |      0.99 |           1.51 |      -1.00 |  1.51 |  4.33 |  1.26 |  82.53 |       0 |   2498 |  10977 |     1538 |  6.88 |
|        A1069 |  159.929 |    -8.683 |  0.062 |  3.70 |       True |        True |        True |       27 | PSZ2 G256.67+42.05 |         -99 |                     |        -99 |                   |       99 | J1039.7-0841 |  DR10 |    YES |             1031 |       119364 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |      1.80 |           2.43 |    -1.00 |    -1.00 |      1.46 |           2.21 |       2.57 |  2.57 |  4.12 |  1.48 |  20.02 |     205 |    158 |   1340 |      532 |  1.67 |
|        A3490 |  176.333 |   -34.333 |  0.069 | -1.00 |       True |        True |       False |      -99 |                    |         -99 |                     |        -99 |                   |      -99 |              |  DR10 |     NO |              -99 |              |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |     -1.00 |          -1.00 |    -1.00 |    -1.00 |     -1.00 |          -1.00 |      -1.00 | -1.00 | -1.00 | -1.00 |  -1.00 |       0 |      0 |      0 |        0 | -0.08 |
