name,ra,dec,z,m200_listed,MergedCats,TargetLists,Jan25upload,coords,PSZ2_idx,PSZ2,ACT-DR5_idx,ACT-DR5,SPT-SZ_idx,SPT-SZ,MCXC_idx,MCXC,DECam,S-PLUS,CODEX_idx,CODEX,CODEX3-LSDR10_idx,CODEX3-LSDR10,MeerKAT_idx,MeerKAT,MKDiffuse_idx,MKDiffuse,XMM_idx,XMM,HIFLUGCS_idx,HIFLUGCS,MENeaCS_idx,MENeaCS,LoVoCCS_idx,LoVoCCS,CLASH-VLT_idx,CLASH-VLT,m500_PSZ2,m500_PSZ2_corr,m500_ACT,m500_SPT,m500_MCXC,m500_MCXC_corr,m500_CODEX,m500_CODEX3,m500_CODEX3_corr,m500,m200,c200,r200,d200,N_first,N_tgss,N_spec,N_spec_z,5d200(deg)
A3223,62.067,-30.894,0.06,4.2,TRUE,TRUE,TRUE,"62.067,-30.894",-99,,-99,,-99,,51,J0408.2-3053,DR10,YES,2695,129034,405,93231018,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-1.00,-1.00,-1.00,-1.00,1.53,2.32,2.91,2.95,3.12,2.91,4.19,4.09,1.01,14.05,0,89,695,317,1.17
A3266,67.804,-61.45,0.054,14.1,TRUE,TRUE,TRUE,"67.804,-61.45",35,PSZ2 G272.08-40.16,-99,,12,SPT-CL J0431-6126,56,J0431.4-6126,DR10,NO,3347,146114,530,93280732,63,MCXC J0431.4-6126,75,J0431.4-6126,-99,,16,A3266,-99,,5,A3266,-99,,6.64,8.95,-1.00,4.44,4.56,6.90,11.30,9.86,10.45,11.30,16.23,4.13,1.59,24.41,0,0,3013,1704,2.03
A3301,75.194,-38.678,0.054,3.4,TRUE,TRUE,FALSE,"75.194,-38.678",21,PSZ2 G242.41-37.40,-99,,-99,,62,J0500.7-3840,DR10,YES,2889,135635,443,93241110,-99,,-99,,-99,,-99,,-99,,-99,,-99,,1.75,2.37,-1.00,-1.00,1.27,1.92,3.05,2.61,2.77,3.05,4.39,4.09,1.03,15.77,0,39,638,293,1.31
A3341,81.392,-31.595,0.038,3.3,TRUE,TRUE,FALSE,"81.392,-31.595",-99,,-99,,-99,,64,J0525.5-3135,DR10,NO,2700,132603,406,93231308,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-1.00,-1.00,-1.00,-1.00,1.09,1.65,2.78,2.32,2.46,2.78,3.99,4.11,1.00,21.43,0,190,7391,456,1.79
A3376,90.17,-40.033,0.046,4.8,TRUE,TRUE,TRUE,"90.17,-40.033",-99,,-99,,-99,,-99,,DR10,NO,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,4.80,-0.79,1.63,29.04,0,289,7898,1202,2.42
A3389,95.455,-64.981,0.027,1.9,FALSE,FALSE,FALSE,"95.455,-64.981",-99,,-99,,-99,,-99,,DR10,YES,3401,148386,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.39,-1.00,-1.00,1.39,1.98,4.35,0.80,23.71,0,0,1516,485,1.98
A3395,96.9,-54.433,0.05,4.9,TRUE,TRUE,TRUE,"96.9,-54.433",30,PSZ2 G263.19-25.19,-99,,-99,,79,J0627.2-5428,DR10,NO,-99,,-99,,80,MCXC J0627.2-5428,82,J0627.2-5428,-99,,-99,,-99,,69,A3395,-99,,3.21,4.33,-1.00,-1.00,2.40,3.63,-1.00,-1.00,-1.00,4.33,6.24,4.03,1.16,19.09,0,3,2157,1152,1.59
A3490,176.333,-34.333,0.07,5.1,TRUE,TRUE,FALSE,"176.333,-34.333",-99,,-99,,-99,,-99,,DR10,NO,-99,,425,93232702,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,3.59,3.81,3.59,5.18,4.05,1.08,13.03,0,61,4196,889,1.09
A3497,180.016,-31.383,0.061,4.4,TRUE,TRUE,FALSE,"180.016,-31.383",40,PSZ2 G290.19+30.16,-99,,-99,,108,J1200.0-3124,DR10,NO,2712,133582,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,2.25,3.04,-1.00,-1.00,1.56,2.37,3.01,-1.00,-1.00,3.01,4.33,4.09,1.02,13.98,0,54,4654,755,1.17
A3526,192.199,-41.308,0.011,3.2,FALSE,FALSE,FALSE,"192.199,-41.308",42,PSZ2 G302.41+21.60,-99,,-99,,116,J1248.7-4118,DR10,NO,-99,,-99,,99,MCXC J1248.7-4118,-99,,-99,,29,A3526,-99,,-99,,-99,,1.32,1.79,-1.00,-1.00,1.62,2.45,-1.00,-1.00,-1.00,1.79,2.55,4.26,0.87,62.39,0,1541,7871,1328,5.20
